hnit	ຊົ່ວ
tsep	ແມງ​ຕັກ​ແຕນ
slos	ສັງຄົມນິຍົມ
nwim	ໂປຣໄຟລຫຼັກຖານປະສາດສໍາຜັດ
tlop	tablecloth
trus	controversial
pwot	leash
djot	ການຕົກຕະກອນ
nloc	ປະຕິເສດ
mwon	ພາສາ
hjek	jockey
crom	ການຮ່ວມມື
myon	ປອດອັກເສບ
twec	ຕັ້ງຢູ່
ryek	ລູກ
dlic	ເງິນປັນຜົນ
kwet	skate
bwen	obsession
plon	ການແບ່ງສ່ວນ
syon	pant
djis	ດິຈິຕອນ
byut	bitch
hyep	ຫນັງຕາ
dwon	ຂວາງ
byis	subconscious
brec	eyebrow
cyec	ຈາມ
hwop	ວັດ
clus	hilarious
kfun	ປະກອບອາຊີບ
nwum	hinduism
fyim	ຊາວອົບພະຍົບ
cwos	ລົດຮັບສົ່ງ
tfoc	undefined
pwon	ທາດໂປຼຕີນ
sraf	undefined
hbom	ຮາກ
gyen	ເຊື້ອ
drim	freshman
trem	accoutrements
tsup	shatter
slok	ສັງຄົມ
kwoc	squash
bwam	ຜູ້ລົງຄະແນນ
mlok	ການເຄື່ອນໄຫວ
kyen	ລະດັບພາກພື້ນ
hmop	motionuphill
rwek	retrospective
kfup	cube
grok	carrot
drap	undefined
lwis	ໂມເລກຸນ
ksuc	ບັນຊີ
tsop	stink
kyok	ແຕງ
nroc	orgy
jlot	solvent
psof	ຟອສເຟດ
hgif	fascinate
kfim	ເປັນດ່າງ
psos	gymnastics
pfen	ການຢັ້ງຢືນ
kcom	ເສດຖະສາດ
krom	ຈຸດ
tluk	wriggle
hyom	ທາດໄອໂອດິນ
nwuc	ການເຄື່ອນໄຫວdownhill
gjac	ການຫຼຸລູກ
pcom	ຝັກ
dzic	ການອອກແບບ
grun	bragging
dzot	ຜູ້ໃຫ້ທຶນ
hzek	ແມງການີສ
kfot	keyboard
jlas	ບໍ່ຫນ້າເຊື່ອຖື
lyim	elite
jyen	yen
pcaf	ວົງເລັບ
rwip	rugby
blip	ຄໍາພີໄບເບິນ
kyoc	ສາເຫດ
lyon	ແຜ
flis	ງໍ
nrif	nibble
kfam	quantum
swes	sweater
lwon	ວິວັຖນາ
drec	ການຜ່າຕັດ
gjap	ສະປາ
lyec	ເສັ້ນ
tyom	ພວງ
pwuk	ກໍລະນີsuperessive
flaf	ບໍ່ມີເພດ;
myim	ພູມຕ້ານທານ
pcek	ການລັກພາຕົວ
bjac	ເບຍ
bzac	ເຮັດໃຫ້ສັ້ນ
bzak	ຖົງຕີນ
twes	ໂທລະທັດ
dwut	ສາ​ລະ​ຄະ​ດີ
ksom	cosmos
lyis	ປ່າໄມ້
lwim	ອາລູມິນຽມ
ksok	horoscope
sruc	ເລັ່ງ
dlif	dolphin
byik	killer
tfec	ເຄື່ອງ
hjaf	mammal
ryok	ອະນຸສັນຍາ
dwis	dioxide
jlon	ຈໍ້າສອງເມັດ
brus	bureaucracy
gjak	galaxy
lyip	ທາງດ້ານການຊ່ວຍ
ryem	radium
href	rarefied
prok	ຕູ້ເຢັນ
slep	undefined
dret	iteration
kluk	ໂບຮານຄະດີ
dlis	ນິໄສແປກ
kfip	ຍອມຮັບ
mlec	ບໍລິການນວດ
pfif	ຂໍ້ມູນ
nrec	sensory
pfet	ໃບຍ່ອຍ
hzoc	ສະທ້ອນ
dlam	ໂດຍສະເພາະ
nlec	ມະນຸດວິທະ
kluc	ມີລົດຊາດ
dyet	ເກັງ
tyif	ການຜ່ານແດນ
krus	ຫົດນ້ອຍລົງ
nluc	sunflower
lyun	ion
zrot	extradition
ksif	ປອມແປງ
psif	ການປ່ອຍອາຍພິດ
crup	ກັນ
fret	ຄົ້ນຫາ
grut	invert
ksec	classmate
jric	ການເດີນທາງ
mrop	ໄມໂຄເວຟ
srus	oust
gyas	hairdresser
floc	folklore
plek	capillary
nwop	ກົ້ນ
nrom	ການຄວບຄຸມ
twos	ການກໍ່ການຮ້າຍ
lwok	ຄໍາຂວັນ
dwet	ລ່ວງ​ເວ​ລາ
slem	ລະເຫີດ
grip	grill
gwas	wow
kwok	cobalt
gwon	oat
hdop	motionupriver
glam	ຮູທະວານ
bwot	bovine
bren	ລໍາໃສ້
byot	ວິດີໂອ
bjik	boycott
kwim	ຕອບຄໍາຖາມ
cwek	hockey
grif	guerrilla
hgem	magnesium
hyes	ປູກຈິດສໍານຶກ
fram	ຮ້ານຂາຍຢາ
nwos	undefined
ryap	ຈັດຮຽງ
cwim	ຄວາມຫນ້າເຊື່ອຖື
klep	ສາຫລ່າຍທະເລ
psec	ຊໍາລະເງິນຄືນ
djic	ໃນທົ່ວໂລກ
kfut	curfew
crep	ແຮມເບີເກີ
frim	ທິດສະດີບົດ
gjas	ຈຸດ
hdef	ເດບິດ
ryum	uranium
pluk	ການປະເມີນ
krop	ການປະສານງານ
nraf	ເສຍພາສີ
tyes	ປະສົມປະສານ
plip	Opin
hgom	gamma
hgus	ຄ່າສໍາປະສິດ
cwuc	ເຄື່ອງເຮັດຄວາມຮ້ອນ
zret	ການຫັກລົບ
nles	ນັກວິເຄາະ
trof	intransitive
hmof	ສູນການຄ້າ
hzim	bismuth
dzac	diner
psok	postcard
blon	convergence
djet	ນອກເລື່ອງ
ksum	ຜູ້ຖືຫຸ້ນ
mrup	ຈຸລິນຊີ
clif	helix
cloc	morphological
tfes	caterer
gjis	jeans
jren	ການຈັດຕໍາແຫນ່ງ
tlep	ຖານຂໍ້ມູນ
kcup	coupon
glot	ແຮງດັນໄຟຟ້າ
glut	ເຄື່ອງຄິດເລກ
srep	ອິນເຕີແນັດ
nwes	ນັກລົງທຶນ
ksef	xray
bzis	ວີຊ່າ
frut	ພື້ນຖານໂຄງລ່າງ
nyuk	ຫິ່ງຫ້ອຍ
dyik	ເຄື່ອງກວດຈັບ
plec	splice
brom	ໂບລະມີນ
plop	palladium
zlik	ຊິລິຄອນ
flut	volt
ksop	ເຄື່ອງສໍາອາງ
gjun	ເຄື່ອງແຕ່ງກາຍ
kfok	hiccup
hpof	popcorn
hzuk	zoo
nyoc	connotation
jwak	yoga
brim	barium
kles	ຕັດຫົວ
mwam	ແລ້ວ
fwik	firework
djas	jazz
dyim	ສຽງ
tsum	tungsten
drip	ລ້ຽງລູກ
lyaf	alimony
prom	programmer
nrup	ການປ້ອນຂໍ້ມູນ
hfes	ສະທ້ອນ
rwaf	chrysanthemum
dlen	ເອກະສານ
byas	ສັກຢາວັກຊີນ
fron	heroin
dluk	ຕັດການເຊື່ອມຕໍ່
dyun	ການວິນິດໄສ
flap	ໂຟນເດີ
kfet	cathode
dlim	ອຸດົມການ
prek	ສະຖານີຈອດ
syoc	ພາບຖ່າຍ
slus	ການເຂົ້າເຖິງ
nlos	anticlimax
mlen	selenium
pres	cortex
hlof	ຊູນຟູຣິກ
nlek	ເຄື່ອງຫມາຍຄວາມສໍາພັນກັນໃນປັດຈຸບັນ
gwot	ສະຫນາມບິນ
mwip	imposter
klop	cockroach
kwom	chromium
hl6t	ລິດ
nwec	ຢ່າງໃດກໍ່ຕາມ
glip	cyclic
nrop	ເງິນເດືອນ
crum	ຮໍໂມນ
dlep	ການພັດທະນາ
frot	ຮູ
bwoc	sabotage
fwis	feminist
djok	conjugate
draf	ທັນສະໄຫມ
trum	extremist
graf	ຂັ້ນຕອນວິທີ
lwes	laser
mlem	ມີລີແມັດ
flen	flex
zlot	anode
swok	ແນບ
klec	undefined
pwim	ທີ່ໃຊ້ເວລາສ່ວນຫນຶ່ງ
htuf	tuna
fyis	ກັ່ນ
lwet	ທີ່ລະອຽດອ່ອນ
mrem	mainframe
jwic	rejuvenation
droc	ສາທິດ
clem	helium
dzik	ສອງພາສາ
psem	plasma
hjom	ໂຄໂມໂຊມ
rwuc	ພິທີການ
tyus	ຈໍານວນເຕັມ
klom	ກິໂລເມດ
hfos	fax
nwek	ພັນ
jrap	screwdriver
zwas	ເປັນຕາຫນ້າກິນ
bwok	ບອກໂຄລີ
dwap	ອະແດບເຕີ
syem	ຂີ້ເຫຍື້ອ
blek	vector
tlus	ມີສິດເທົ່າທຽມ
pyif	ບໍ່ໄດ້ລະບຸ
cwoc	ດີແລ້ວ
mrep	ແອມ
hbem	ວິຕາມິນ
hxan	ເຝົ້າປະຕູ
hxut	ຖະ
hk6m	ແຄດມຽມ
hxin	ພ້ອມກັນ
txin	titanium
kxin	undefined
klum	ເພດສໍາພັນ
xlis	hourglass
hqak	syntactic
hxat	ຄວາມຄິດສ້າງສັນ
hxik	ປື້ມ
hxas	ຖານທີ່ເຮັດວຽກ
bxon	boron
dxin	undefined
hxit	helicopter
tlum	ເທນລູລຽມ
txit	ມື້​ກໍາ​ນົດ​ສົ່ງ
kxat	oxidize
hvik	ວາງ
nluk	ການປຽບທຽບ
nyem	ຊັງຕີແມັດ
hm6t	ໂມລິບດີນໍາ
hl6m	lithium
ht6t	ມັນຕິມີເດຍ
xlit	ພະລັງງານ
ryop	ຫຸ່ນຍົນ
pxas	ແພດການຢາ
hxak	ວຽກ​ບ້ານ
lwif	ຕໍາແຫນ່ງ
grim	ໂລກາ
hqat	mantis
qlit	ລະບົບນິເວດ
xlik	ຄວາມຊັບຊ້ອນ
mlep	ແມ່ແບບ
hqit	radioactivity
kxim	ກິໂລ
hxen	ຜູ້ເຊົ່າ
hxot	ກິນຫລາຍເກີນໄປ
kyif	ເຄື່ອງຖ່າຍເອກສານ
fwet	freeware
txet	ຍ່ອຍ
hs6n	ຕາມລໍາດັບ
hxet	ແອບຟັງ
xrat	haircut
hqan	impound
hr6t	iridium
bxat	ວາງຂອງສັນຍານ
dxet	desktop
hxis	ທີ່ອະທິບາຍ
hxok	ສໍາ​ນັກ​ງານ​ໃຫຍ່
hxek	misplaced
srem	cerium
hp6t	ການແບ່ງປັນ
pxik	ກໍລະນີການແບ່ງປັນ
kxet	ເທບ
pruk	ສັບພະສິນຄ້າ
hvit	ເຫດການສໍາVideo
xlin	ອອຟໄລ
frip	ການເຂົ້າລະຫັດ
hvep	ຄ່າຈ້າງ
hxon	ປະສານ
kxit	ເພີ່ມ
hqin	ການສໍາມະນາ
tr6n	stereo
ht6n	ກູ
hvat	ທີ່ຈະເກີດຂຶ້ນ
sl6s	Celsius
hn6n	neon
ts6t	ເວ​ລາ​ຈິງ
hvin	ປັບປຸງ
pxat	ຫນັງສືພິມ
myoc	ໂມດູນ
ps6s	pasta
bwek	ກະເປົາມືຖື
dlok	deluxe
fraf	ໂຄງການ
hr6k	ປອມ
txat	ກາງວັນ
hqon	oregano
pxun	plutonium
ks6n	ເວີກສະເຕຊັນ
slef	escalator
xrit	lifeguard
hvut	ແຫນ້ນເກີນໄປ
xrim	ອິດເທລີຍົມ
hx6t	ຂະຫຍາຍ
hqum	ຊື່ຜູ້ໃຊ້
hl6n	salespeople
gron	argon
pxan	ສົ່ງເສີມການຂາຍ
hvac	ເຄື່ອງ​ລ້າງ​ຈານ
xlan	ໂລກາພິວັດ
txon	wavelength
xrik	recycle
hxap	backpack
hxac	ເລີ່ມ​ຕົ້ນ​ໃຫມ່
xyat	ຕັບອັກເສບ
cwep	ການຈ່າຍເງິນ
hxos	torus
txif	ອັກສອນ
qlat	realtor
txot	ກາງດູໃບໄມ້ລົ່ນ
hxam	milligram
pxis	pixel
pwif	preview
txam	tantalum
myek	ອຸນ
hbop	ທໍາລາຍໃນ
hqot	ຕົວລະລາຍ
xlic	ລໍ້ເຫຼື່ອນ
gxit	genocide
hvan	ການດັບເພີງ
glim	ແກລະລຽມ
pfop	ເດັ້ງ​ຂຶ້ນ
hzum	zirconium
xlon	ສາຍດ່ວນ
qlin	nonlinear
kxam	Scandium
blim	ເບລິລະລຽມ
kxik	ກໍາຫນົດຄ່າ
nr6n	neuron
hpef	ຢາ
hruf	router
kxan	ປັດໄຈ
hxic	ບົດແນະນໍາ
xlip	volleyball
dyek	debug
hxop	ໂມງຂໍ້ມື
qrot	neutron
nwip	niobium
hs6t	ຫ້ອງນ້ໍາ
grem	germanium
tles	metalloid
hp6k	ກໍລະນີProl
qyin	ຊີວະນາໆພັນ
txak	ຢາຕ້ານເຊື້ອ
mlun	immobilization
txan	actinium
xran	ນັກອາວະກາດ
dres	ຂະຫຍາຍ
tr6t	extraterrestrial
hk6t	octet
hxus	opensource
xlat	crackpots
mraf	marathon
ts6n	ກາງພາກຮຽນspring
ht6s	autism
nlif	ionize
txut	ຄວາມເດັ່ນ
hm6n	emitting
kxis	ສິນລະປະclip
xrin	ຂະບວນການ
xren	ປ່ຽນເສັ້ນທາງ
bxak	Bookmark
pfos	ປະໂຫຍກສໍາລັບການ
hvis	ອາຈົມ
hd6n	ຕົວຫານ
brum	ຫ້ອງປະຊຸມ
hqis	chauvinistic
hk6n	ສັງລວມ
xyit	ທີ່ສໍາຄັນການປ່ຽນແປງ
xyin	ຫນຶ່ງຄັ້ງທີສອງ
hxun	ແບບກຸ້ມຕົນເອງ
hvas	ພາລະບົດບາດ
glok	blog
hvak	meandering
pxit	ທີ່ຢູ່IP
hvet	ຕໍ່​ໄປ
xram	safflower
hc6n	ແນ່ນອນ
qran	ອານ
zyen	xenon
hqas	ສາບານໃນ
bzas	Blase
hj6n	ມະນຸດບໍ່
hnof	nonremittal
txas	ຜູ້ຜະລິດ
hbum	buddhism
ts6s	quarreling
pxin	ສ່ວນປະ​​ກອບສໍາ
hr6n	ອັດຕາ
hxim	ກາງsummer
dxit	ລະດູຫນາວກາງ
hxaf	ຂຸດຄົ້ນ
nlus	houseplant
txap	ແຖບສະຖານະ
vrit	ghostwriter
kxak	foolປະມານ
bxin	ຮ່າງ​ກາຍ​ຂອງ​ມະ​ນຸດ
hqik	ເສື້ອກັນຝົນ
hxes	hertz
hxif	hypnothize
xras	ຊົ່ວໂມງ
pl6k	paralegal
dxat	ຜື່ນ
hxip	ພູມຕ້ານທານ
vrat	ສັ້ນ
hqek	ການກໍ່ຮ່າງໃຫມ່
qrit	ກະແສໄຟຟ້າ
pxot	ຫ້ອງ​ການ​ໄປ​ສະ​ນີ
hxom	ຈົດ​ຫມາຍ​ຂີ້​ເຫຍື້ອ
hqic	ການທົບທວນຄືນ
lwun	ສີຟ້າjean
hp6n	ການເຕີບໂຕເຕັມ
dxan	ການຄັດຕິດ
xrak	ພາລະບົດບາດລະຄອນຜູ້ຊາຍ
dxak	ອຸປະຕິເຫດ
hven	ຊະນະບັນຈຸ
mwap	ກາຕູນ
qlan	ຕາ​ບອດ​ສີ
xros	ເຈາະຮ່າງກາຍ
srom	showroom
hc6t	ການສົນທະນາ
qrat	ປີ້ນ​ກັບ
hn6t	inhibition
hqet	ເວັບໄຊຕ໌
fres	fundraise
froc	forging
xlak	hyperlink
vlat	volubility
dvan	disembarking
gxin	ເອົາຊະນະ
ryes	receptionist
kxot	ການເຊື່ອມຕໍ່
xyan	ການກໍານົດເຂດ
vlan	ການໂຄສະນາ
ryom	ປະລໍາມະນູthorium
hluf	ອາຍຸສູງສຸດມີອາຍຸ
hquk	ສັກ
lyum	thuliumປະລໍາມະນູ
tyem	terbiumປະລໍາມະນູ
hp6m	praseodymium
txic	ຫນ້າທໍາອິດ
mros	motorist
dyam	ໂລດຽມປະລໍາມະນູ
pc6n	ຈໍານວນການທົດລອງ
nyos	inbox
pyek	projector
kxon	krypton
hxuc	ການຊ່ອຍກູ້
qrik	ກໍລະນີສູນກາງ
xwin	ຂາດປະສົບການ
kxic	extinguisher
hvot	ແຜນພູມິ
dxot	ນົມສົ້ມ
hqut	ອອກ​ຈາກ​ລະ​ບົບ
pxen	departmental
drok	ຜົນກະທົບຕໍ່ເປົ້າຫມາຍ
flon	ໂທລະ​ສັບ​ມື​ຖື
txos	ສຽງລະດັບກາງ
hqok	ກໍລະນີສະຫຼຽງ
xwik	ກໍລະນີຄົນເຈັບ
hx6n	prehodiernal
txik	ນິ້ວມືດັດຊະນີ
hqen	ຜູ້ສົ່ງ
mlap	malware
hvun	suasion
hvon	ໃສ່ອອກ
vran	ສົ່ງຈົດຫມາຍ
pfes	ອາຈານ
pwip	ນັກກະວີ
hqam	ອອກ​ກໍາ​ລັງ​ກາຍ
gxat	ກົດຫມາຍ
ks6t	ສາເຫດ
vrin	ການທົດແທນທີ່
kxip	ຄະນະກໍາມະclip
sr6n	ບໍ່ພໍໃຈ
vlit	ປະເມີນ
tyup	ເຂດຊານເມືອງ
mrom	ຫນ່ວຍ
xron	headphone
gxak	ຄ່າໃຊ້ຈ່າຍ
hrof	ມ້າtrojan
xlas	ເປັນອໍາມະພາດ
dzet	redecorate
txac	ຍອມຈໍານົນ
xrot	ບໍ່ໄດ້ໃຊ້
txis	dotມາຕຣິກເບື້ອງ
syif	ຫນ່ວຍsi
xrac	ເປັນເລື່ອງແປກທີ່
brif	ຄ່າໄບນາລີ
dlos	ກໍລະນີmodal
txun	ຄຸນລັກສະນະ
dvat	ບໍ່ດີນິ
psom	ມືຄັ້ງທໍາອິດ
gjek	elseif
nlem	ຫນ່ວຍບໍລິການຂອງມະຫາຊົນ
qret	ຮ້ານຄ້າປີກ
txip	ຈຸດtriple
dlek	ເປັນສ່ວນບຸກຄົນ
lwut	ການໄຫຼໃນປັດຈຸບັນ
dxis	ລະຄອນ
hs6m	ຊີເຊຍ
vlak	ກີ້
hn6m	Netium
kxap	cardboard
bxan	ຈະອອກເດີນທາງ
myem	ເດືອນພຶດສະພາ
gxik	ສິດທິພົນລະເຮືອນ
hxoc	ຜົນບັງຄັບໃຊ້ທາງອາກາດ
xrok	coworker
kr6t	screenshot
txok	ອັດຕະໂນມັດ
hxep	skateboard
srop	ໂທລະສັບສະຫຼາດ
pxak	capslock
hk6k	ດົນຕີພື້ນເມືອງ
hl6k	Eulerຈໍານວນ
pyom	ປະລໍາມະນູpolonium
xyam	ປະລໍາມະນູລລຽມ
hvic	invading
lyok	ກໍລະນີຕໍາແຫນ່ງ
xlot	ແປ
txen	restatement
kxac	counterattack
qrak	strikebreakers
hbup	ສະ​ລອຍ​ນ​້​ໍ​າ
txuk	ວົງຈອນ
tsef	tapered
bxit	ການເປັນເຈົ້າພາບເວັບໄຊຕ໌
ksem	ອ່ານ​ຢ່າງ​ດຽວ
byim	ປະລໍາມະນູຮູບິດຽມ
hvam	ວານາດຽມປະລໍາມະນູ
lw6n	lanthanum
frum	ປະລໍາມະນູfluorine
nyom	neodymium
mlom	ຈໍານວນmultal
kxas	ຄົນ
xret	terabyte
hs6k	ເຄື່ອງມືຄົ້ນຫາ
frus	corroding
gxan	galaxyບົດບາດຍິງຊາຍ
vlas	vocalizations
glet	ຄັນ​ເລັ່ງ
hvim	runtime
bxip	bitmap
qrin	ບົດບາດຍິງຊາຍstar
bvak	ກໍລະນີabessive
pxon	ບໍ່ມີເລີຍ
dvik	ກໍລະນີadessive
dvek	ກໍລະນີຕົວແທນ
hlef	ຜົນກະທົບຕໍ່ຕົວແທນ
kwek	ກັບກໍລະນີ
kxen	ບົດບາດຍິງຊາຍທົ່ວໄປ
ht6m	ຮູບແບບການຂຽນກ່າວອ້າງ
tsuf	ເລກtrans
hf6n	ລະອຽດ
tc6t	ຈຸດປະສົງໂດຍກົງ
gvik	ກໍລະນີergative
gxon	fragmentation
ksep	receptor
vyin	ໂຮງ​ຮູບ​ເງົາ
pyos	ສຽງຕົວຕັ້ງຕົວຕີ
hnef	ພາສາທີ່ຈໍາກັດ
xwit	ຈຸດປະສົງຕົ້ນຕໍ
hqim	ໂປຣໄຟລgnomic
jlak	ການຜະລິດ
vrik	ອະນຸພາກສຸດທ້າຍ
qyan	ຫນ່ວຍບໍລິການຈິນຕະນາການ
kxaf	ຄວາມໄວຂອງແສງສະຫວ່າງ
xyic	phishing
qyit	ຈຸດສໍາຄັນ
hvek	ກໍລະນີEvit
bvik	ກໍລະນີsubessive
hzes	ກໍລະນີຄອບຄອງ
prus	ເຊື້ອໄວຣັສຄອມພິວເຕີ
ples	ໂຮງງານຜະລິດ
pxif	ເຈົ້າ​ຫນ້າ​ທີ່​ຕໍາ​ຫຼວດ
dvak	ກໍລະນີlative
brun	ການທ່ອງທ່ຽວ
tsi_k	ກໍລະນີantessive
tyum	ປະລໍາມະນູruthenium
vyak	ກໍລະນີadverbial
pxim	ນາ​ຍົກ​ລັດ​ຖະ​ມົນ​ຕີ
syum	ປະລໍາມະນູstrontium
sy6n	ສົງໃສ
hy6n	ຊີວິດບົດບາດຍິງຊາຍ
pxac	ຄວາມສຸກຮ່ວມຄວາມຮູ້ສຶກ
vlin	ຍານພາຫະນະບົດບາດຍິງຊາຍ
qwin	ແຮ່ທາດບົດບາດຍິງຊາຍ
hr6s	ການສົ່ງຕໍ່
tf6n	ຫມຶກ
xris	ການໂຕ້ຕອບຜູ້ໃຊ້
hw6n	swearing
xlen	ພາສາພາດ
pyec	ລາງ
vlim	ຫນ່ວຍຄວາມຈໍາvirtual
bres	ໂຮງງານຜະລິດຄໍາ
hqip	ຄອມພິວເຕີ້ຟັງ
vlic	ເຄື່ອງvirtual
pfam	spammer
dyap	ພາສາທີສອງ
txek	ຮາກnth
dxen	ຂຸດຄົ້ນບໍ່ແຮ່ຂໍ້ມູນ
byip	ບຸກຄົນທຸລະກິດ
hs6c	ຫມັ້ນ​ໃຈ​ຕົນ​ເອງ
txim	ໂດຍອ້າງອີງໃສ່
hb6t	ການປ່ຽນແປງຂອງເຫດການ
hdem	ຊື່ໂດເມນ
dxon	ກໍລະນີທີ່ແຕກຕ່າງກັນ
lwaf	flashdrive
sl6t	crastinalຄໍາ
xyik	ແຜ່ນfloppy
fyif	ສຽງສະທ້ອນ
bvin	ຈັກກະວານບົດບາດຍິງຊາຍ
hm6p	motherboard
tfip	transitiveverb
jlen	ທ້ອງຖິ່ນບົດບາດຍິງຊາຍ
xrap	ເສັ້ນດ່າງ
tc6n	ການຄົ້ນຄວ້າບົດບາດຍິງຊາຍ
sl6n	ບົດບາດຍິງຊາຍສິລະປະ
xrek	ຜົນກະທົບຕໍ່ຄົນເຈັບ
xwan	ບົດບາດຍິງຊາຍບໍ່ມີຕົວຕົນ
dxif	videoconference
dyip	ການປາກເວົ້າທາງອ້ອມ
zrek	ກໍລະນີexocentric
hvuk	evoking
xwat	ທີ່ດີເລີດທີ່ຜ່ານມາ
hr6m	ລີນຽມ
txaf	ຜົນກະທົບ
hmef	ພາສາບໍ່ມີຕົວຕົນ
tx6t	ແກ້ໄຂຂໍ້ຄວາມ
txes	ພາສາການລວບລວມ
bvat	ເອົາລັດເອົາປຽບ
bvuk	ກໍລະນີAbsolutive
ry6t	ເລເດຍ
vlis	ຄວາມເປັນຈິງແລ້ວvirtual
qren	ບົດບາດຍິງຊາຍຂອງດາວເຄາະ
gvak	ກໍລະນີgrammatical
bxok	bald
mrum	ໂຄງການຄອມພິວເຕີ
ps6t	ລະ​ບົບ​ປະ​ຕິ​ບັດ​ການ
hfom	ກ່ຽວກັບສັດ
tlem	ອ່ານຄວາມຊົງຈໍາເທົ່າ
pwam	spyware
kfif	ກຸສົນcore
qwit	ສົມເຫດສົມຜົນ
nlaf	ການຕິດຕັ້ງ
nwok	ກໍລະນີສະມາຄົມ
dzas	ບໍ່ພໍໃຈ
swuk	ກໍລະນີສູງສຸດ
syos	ສັງລວມ
kr6n	ປັດຈຸບັນໄຟຟ້າ
dvin	ບົດບາດຍິງຊາຍມີຊີວິດ
pxom	ໂປຣໄຟລຂໍ້ສະເຫນີ
vris	ສຽງຊຶ່ງກັນແລະກັນ
rwos	aerosol
dr6t	ລວງ
ht6k	ໂທລະຄົມນາຄົມ
slaf	ເຄືອຂ່າຍສັງຄົມ
lyuk	ຂໍ້ສົບຜົນສໍາເລັດ
qras	ດີກວ່າ
ty6n	TEMINAL
gwet	ທັນທີທີ່ອະນາຄົດ
hp6s	ສຽງຄໍາຮ້ອງສະຫມັກ
tsof	ສຽງantipassive
ht6p	ລັກສະນະcontinutive
hn6f	ໂປຣໄຟລຈໍາເປັນ,
pfip	ຄໍາຕົວຕັ້ງຕົວຕີ
glap	ແຖບເຄື່ອງມື
sy6k	ອານຸປະໂຫຍດexistential
qyat	ສຸມluminous
hy6t	ຈຸດປະສົງຫລັກໄວຢາກອນ
vyan	Pronouncing
sluf	ຈໍານວນsingulative
dvit	ໄລຍະເວລາຫຼາຍເກີນໄປ
qyak	ຄໍາດໍາເນີນການດຽວ
bzik	ຟີຊິກ
xlet	ລະດັບສູງສຸດ
hqap	ປະຈຸບັນຄໍາ
qwat	ຈໍານວນເງິນຂອງສານເສບຕິດ
qyik	ເຂົ້າເຊື່ອມຕໍ່
sr6t	ນ້ໍາsupercritical
hfem	ຫນ່ວຍepenthetic
tl6t	ໃນອະນາຄົດຫ່າງໄກສອກຫຼີກຄໍາ
mrif	microphone
pcuk	ກໍລະນີpostpositional
tfim	ຫນ່ວຍຄວາມຈໍາຊົ່ວຄາວ
fwim	ethium
ly6t	ຂໍ້ຕົກລົງallocutive
hvap	ແຖບເລື່ອນ
hfep	ລັກສະນະທີ່ພົບເລື້ອຍ
bvan	ຄໍາສັບພະນາມdistributive
fyun	ຈໍານວນຂອງຈຸດທີ່ເລື່ອນໄດ້
xyas	ລົບ
hvif	ພາສາຕິດ
xyis	ຄໍາຕົວຕັ້ງຕົວຕີທີ່ຜ່ານມາ
tl6n	ຫນ່ວຍ​ປະ​ມວນ​ຜົນ​ສູນ​ກາງ
tfok	ກໍລະນີທາງຕໍາແຫນ່ງ
qwan	ຄໍາ​ຖາມ​ທີ່​ຖືກ​ຖາມ​ເລື້ອຍໆ
