hnit	bấtđịnhcách
slaf	xãhộimạng
lyuk	kếtiếpđiềukhoản
qras	cấptrên
ty6n	thiếtbịđầucuối
gwet	SớmTươnglaicăng
hp6s	applicativegiọngnói
tsof	antipassivegiọngnói
ht6p	vừaliêntụcdiệnmạo
hn6f	necessitativetâmtrạng
pfip	thụđộngphântừ
glap	thanhcôngcụ
sy6k	hiệnsinhđiềukhoản
qyat	chóilọicườngđộ
hy6t	ngữpháp,đốitượng
vyan	sựphátâm
sluf	singulativeconsố
dvit	quáđángthờigian
qyak	Độcthânhoạtđộngđộngtừ
bzik	vậtlí
xlet	tốithượngtrìnhđộ
hqap	hiệntạiphântừ
qwat	lượngcủavậtchất
qyik	liênkếthạt
sr6t	siêu-chấtlỏng
hfem	tháptựhìnhvị
tl6t	xaTươnglaicăng
mrif	microphone
pcuk	postpositionaltrườnghợp
tfim	ngẫunhiêntruycậpkýức
fwim	ethidium
ly6t	đoạnvănđồngý
hvap	cuộngiấyquánba
hfep	liêndiểndiệnmạo
bvan	phânphốiđạidanhtừ
fyun	floating-point-số
xyas	tẩyxoá
hvif	verb-hậutố
xyis	quákhứthụđộngphântừ
tl6n	TrungtâmChếbiếnđơnvị
tfok	trườngsởcáchhướngtrườnghợp
qwan	thườngxuyênhỏicâuhỏi
