hnit	क्रियाकासाधारणरूप
prus	कंप्यूटरवायरस
ples	प्रोसेसर
pxif	पुलिसअफ़सर
dvak	lativeमामला
brun	पर्यटन
tsi_k	antessiveमामला
tyum	दयातापरमाणु
vyak	क्रिया-विशेषण-संबंधीमामला
pxim	प्रधानमंत्री
syum	स्ट्रोंटियमपरमाणु
sy6n	शक्कीपन
hy6n	चेतनलिंग
pxac	empatheticहर्ष
vlin	वाहनलिंग
qwin	खनिजलिंग
hr6s	रेफरल
tf6n	टोनर
xris	उपयोगकर्ताइंटरफेस
hw6n	शपथ-ग्रहण
xlen	मौखिकसंज्ञा
pyec	स्प्रेडशीट
vlim	वास्तविकयाद
bres	शब्दप्रोसेसर
hqip	बादलकंप्यूटिंग
vlic	वास्तविकमशीन
pfam	स्पैमर
dyap	दूसराभाषा
txek	वेंजड़
dxen	जानकारीखनिज
byip	व्यापारव्यक्ति
hs6c	स्वयंआत्मविश्वास
txim	जिक्र
hb6t	परिवर्तनकाघटना
hdem	डोमेननाम
dxon	अलगघटना
lwaf	फ़्लैशचलाना
sl6t	crastinalकाल
xyik	फ्लॉपीडिस्क
fyif	कर्मकर्त्ताआवाज़
bvin	ब्रम्हांडलिंग
hm6p	मदरबोर्ड
tfip	सकर्मकक्रिया
jlen	इलाकेलिंग
xrap	धारीदार
tc6n	अनुसंधानलिंग
sl6n	कलात्मकलिंग
xrek	मरीजट्रिगर
xwan	सारलिंग
dxif	वीडियोसम्मेलन
dyip	अप्रत्यक्षभाषण
zrek	exocentricमामला
hvuk	evoking
xwat	अतीतसाधक
hr6m	रेनीयाम
txaf	ट्रिगर
hmef	अवैयक्तिकक्रिया
tx6t	टेक्स्टसंपादक
txes	सामूहिकसंज्ञा
bvat	mistreating
bvuk	absolutiveमामला
ry6t	कांति
vlis	वास्तविकवास्तविकता
qren	ग्रहोंलिंग
gvak	व्याकरण-मामला
bxok	गंजा
mrum	कंप्यूटरकार्यक्रम
ps6t	ऑपरेटिंगप्रणाली
hfom	स्वनिम
tlem	पढ़नाकेवलयाद
pwam	स्पायवेयर
kfif	कोरbenefactive
qwit	चेतना
nlaf	स्थापित
nwok	जोड़नेवालामामला
dzas	नाराज़करना
swuk	अतिशयोक्तिमामला
syos	सारांश
kr6n	बिजलीवर्तमान
dvin	अचेतनलिंग
pxom	propositiveमनोदशा
vris	पारस्परिकआवाज़
rwos	एयरोसोल
dr6t	विचलित
ht6k	दूरसंचार
slaf	सामाजिकनेटवर्किंग
lyuk	क्रमिकधारा
qras	वरिष्ठों
ty6n	टर्मिनल
gwet	शीघ्रभविष्यकाल
hp6s	अनुप्रयोगीआवाज़
tsof	antipassiveआवाज़
ht6p	सततपहलू
hn6f	necessitativeमनोदशा
pfip	निष्क्रियकृदंत
glap	उपकरणपट्टी
sy6k	अस्तित्वधारा
qyat	प्रकाशयुक्ततीव्रता
hy6t	व्याकरण-वस्तु
vyan	शब्दबोलनेकाढ़ंग
sluf	singulativeसंख्या
dvit	अत्यधिकअवधि
qyak	एककार्यक्रिया
bzik	भौतिकविज्ञान
xlet	अतिशयोक्तिउपाधि
hqap	वर्तमानकृदंत
qwat	रकमकापदार्थ
qyik	संयोजीकण
sr6t	सुपरतरल
hfem	epentheticशब्दकाभाग
tl6t	दूरस्थभविष्यकाल
mrif	माइक्रोफ़ोन
pcuk	पूछेमामला
tfim	बिनासोचेसमझेपहुंचयाद
fwim	ethidium
ly6t	व्याख्यानसमझौता
hvap	पुस्तकबार
hfep	किसीकार्यकीपुनरावृत्तिदिखानेवालापहलू
bvan	बांटनेवालासर्वनाम
fyun	चलबिन्दुसंख्या
xyas	मिटा
hvif	क्रिया-प्रत्यय
xyis	अतीतनिष्क्रियकृदंत
tl6n	केंद्रीयप्रसंस्करणइकाई
tfok	लोकैटिवदिशात्मकमामला
qwan	बारबारसेपूछाप्रशन
