hnit	ક્રિયાપદનુંમૂળરૂપ
hbop	તોડી
hqot	દ્વાવ્યનું
xlic	વ્હીલચેર
gxit	નરસંહાર
hvan	અગ્નિશમન
glim	ગેલિયમ
pfop	પ્રગટથવું
hzum	ઝિર્કોનિયમ
xlon	હોટલાઇન
qlin	અરૈખિક
kxam	Scandium
blim	બેરિલિયમ
kxik	રૂપરેખાંકિત
nr6n	ચેતાકોષ
hpef	predicative
hruf	રાઉટર
kxan	કારણદર્શી
hxic	માર્ગદર્શિકા
xlip	વૉલીબૉલ
dyek	ડિબગ
hxop	કાંડાઘડિયાળ
qrot	ન્યુટ્રોન
nwip	niobium
hs6t	રેસ્ટરૂમ
grem	જર્મેનિયમ
tles	ઉપધાતુ
hp6k	prolativeકેસ
qyin	જૈવવિવિધતા
txak	એન્ટિબાયોટિક
mlun	હલનચલનરોકવુ
txan	actinium
xran	અવકાશયાત્રી
dres	વિસંકુચિત
tr6t	બહારનીદુનિયાના
hk6t	ઑક્ટેટ
hxus	ખુલ્લાસ્ત્રોત
xlat	crackpot
mraf	મેરેથોન
ts6n	મધ્યવસંત
ht6s	ઓટીઝમ
nlif	ionize
txut	ઘણુંબધુંલખ્યું
hm6n	સ્ત્રાવ
kxis	ક્લિપઆર્ટ
xrin	હેઠળ
xren	પુનઃદિશામાન
bxak	બુકમાર્ક
pfos	પ્રોમહાવરો
hvis	મળ
hd6n	છેદ
brum	boardroom
hqis	રાષ્ટ્રાભિમાની
hk6n	કમ્પાઇલ
xyit	Shiftકી
xyin	એકબીજા
hxun	જીવતા
hvas	ભૂમિકા
glok	બ્લોગ
hvak	સર્પાકાર
pxit	IPસરનામું
hvet	પછીનું
xram	કુસુમ
hc6n	સ્પષ્ટતા
qran	મુસલમાનોનોમુખ્યધર્મગ્રંથ
zyen	ક્ષેનોન
hqas	માંશપથ
bzas	કંટાળેલું
hj6n	બિનમાનવ
hnof	nonremittal
txas	ઉત્પાદકો
hbum	બોદ્ધધર્મ
ts6s	quarreling
pxin	ઘટકો
hr6n	રેશન
hxim	ઉનાળાનામધ્યમાં
dxit	મધ્યશિયાળો
hxaf	ખાડોખોદવો
nlus	ઘરનાછોડવા
txap	સ્થિતિસૂચક
vrit	ghostwriter
kxak	આસપાસમૂર્ખ
bxin	માનવશરીર
hqik	રેઇનકોટ
hxes	હર્ટ્ઝની
hxif	hypnothize
xras	કલાકદીઠ
pl6k	પેરાલિગલ
dxat	અવિચારીપણું
hxip	એન્ટીબોડી
vrat	શોર્ટ્સ
hqek	પુનઃરચના
qrit	વલણ
pxot	ટપાલખાતાનીકચેરી
hxom	નકામોમેઇલ
hqic	સમીક્ષક
lwun	બ્લુજીન
hp6n	પરિપક્વતા
dxan	જોડાણ
xrak	અભિનેતાભૂમિકા
dxak	અકસ્માત
hven	કન્ટેનર
mwap	કોમિકસ્ટ્રીપ
qlan	રંગઅંધ
xros	undressing
srom	શોરૂમ
hc6t	ચેટિંગ
qrat	ઊલટું
hn6t	નિષેધ
hqet	વેબસાઇટ
fres	ભંડોળઉભું
froc	ફોર્જિંગ
xlak	હાયપરલિંક
vlat	વાચાળતા
dvan	ઉતારતાં
gxin	વિજય
ryes	રીસેપ્શનીસ્ટ
kxot	કનેક્ટર્સ
xyan	સીમાંકન
vlan	જાહેરાતકર્તા
ryom	થોરિયમAtom
hluf	ઉંમરલાયક
hquk	પિચકારીની
lyum	થુલીયમAtom
tyem	TerbiumAtom
hp6m	Praseodymium
txic	ઘરપાનું
mros	મોટરચાલક
dyam	ઢોળAtom
pc6n	ટ્રાયલનંબર
nyos	ઇનબૉક્સ
pyek	પ્રોજેક્ટર
kxon	ક્રિપ્ટોન
hxuc	રાહતઆપવાને
qrik	સેન્ટ્રીકકેસ
xwin	બિનઅનુભવી
kxic	અગ્નિશામક
hvot	ફ્લોચાર્ટ
dxot	દહીં
hqut	લૉગઆઉટ
pxen	ખાતાકીય
drok	ધ્યેયટ્રિગર
flon	મોબાઇલફોન
txos	મધ્યઅવાજ
hqok	ત્રાંસુકેસ
xwik	દર્દીકેસ
hx6n	prehodiernal
txik	તર્જની
hqen	પ્રેષક
mlap	મૉલવેર
hvun	suasion
hvon	બહારપહેરવા
vran	સંદેશવાહક
pfes	પ્રોફેસર
pwip	કવિ
hqam	બહારકામ
gxat	કાયદેસરતા
ks6t	કારક
vrin	નિમણૂક
kxip	ક્લિપબોર્ડ
sr6n	ઠેરવવા
vlit	મૂલ્યાત્મક
tyup	ઉપનગર
mrom	રૂપાત્મકતત્ત્વ
xron	હેડફોન
gxak	ખર્ચાળ
hrof	ટ્રોજનહોર્સ
xlas	લકવો
dzet	redecorate
txac	શરણાગતિ
xrot	નહિંવપરાયેલ
txis	કોઈમેટ્રિક્સ
syif	જોએકમો
xrac	આશ્ચર્યજનક
brif	બાઈનરીકિંમત
dlos	મોડલકેસ
txun	લક્ષણો
dvat	ખરાબસ્વભાવનું
psom	પ્રથમહાથ
gjek	બીજુંજો
nlem	માસએકમ
qret	છૂટકહાટડી-અથવાછૂટક
txip	ત્રિબિંદુ
dlek	વ્યક્તિગતરીતે
lwut	પ્રવાહચાલુ
dxis	નાટકીય
hs6m	સીઝીયમ
vlak	railcar
hn6m	netium
kxap	કાર્ડબોર્ડ
bxan	પ્રસ્થાન
myem	મેમહિનામાં
gxik	નાગરિકઅધિકાર
hxoc	વાયુસેના
xrok	સહકર્મીને
kr6t	સ્ક્રીન
txok	આપોઆપ
hxep	સ્કેટબોર્ડ
srop	સ્માર્ટફોન
pxak	કેપ્સલોક
hk6k	લોકસંગીત
hl6k	eulersનંબર
pyom	poloniumAtom
xyam	થાલિયમAtom
hvic	આક્રમણ
lyok	locativeકેસ
xlot	ફ્લેટ
txen	restatement
kxac	વળતોહુમલો
qrak	strikebreaker
hbup	સ્નાનાગાર
txuk	શોર્ટસર્કિટ
tsef	tapered
bxit	વેબયજમાન
ksem	ફક્તવાંચી
byim	રુબિડીયમઅણુ
hvam	વેનેડિયમઅણુ
lw6n	lanthanum
frum	ફ્લોરિનAtom
nyom	નિયોડીમીયમમાં
mlom	multalનંબર
kxas	વ્યક્તિગત
xret	ટેરાબાઈટ
hs6k	શોધએન્જિન
frus	corroding
gxan	ગેલેક્સીલિંગ
vlas	બોલવું
glet	ગેસપેડલ
hvim	રનટાઈમે
bxip	બીટમેપ
qrin	સ્ટારલિંગ
bvak	abessiveકેસ
pxon	અનુપલબ્ધ
dvik	adessiveકેસ
dvek	agentiveકેસ
hlef	એજન્ટટ્રિગર
kwek	કેસ
kxen	સામાન્યલિંગ
ht6m	સંદર્ભફોર્મ
tsuf	ટ્રાન્સઆંકડો
hf6n	fining
tc6t	સીધાપદાર્થ
gvik	ergativeકેસ
gxon	વિભાજન
ksep	રીસેપ્ટર
vyin	સિનેમાઘર
pyos	નિષ્ક્રિયઅવાજ
hnef	મર્યાદિતક્રિયાપદ
xwit	પ્રાથમિકપદાર્થ
hqim	માર્મિકમૂડ
jlak	સામાન્યીકરણ
vrik	અંતિમસૂક્ષ્મ
qyan	કાલ્પનિકએકમ
kxaf	પ્રકાશનીઝડપ
xyic	ફિશીંગ
qyit	જટિલમુદ્દો
hvek	evitativeકેસ
bvik	subessiveકેસ
hzes	કબજામાંકેસ
prus	કમ્પ્યુટરવાયરસ
ples	પ્રોસેસર
pxif	પોલીસઅધિકારી
dvak	lativeકેસ
brun	ટુરીંગ
tsi_k	antessiveકેસ
tyum	rutheniumAtom
vyak	ક્રિયાવિશેષકકેસ
pxim	પ્રધાનમંત્રી
syum	સ્ટ્રોન્ટીયમAtom
sy6n	વહેમી
hy6n	લિંગસજીવ
pxac	empatheticઆનંદ
vlin	વાહનલિંગ
qwin	ખનિજલિંગ
hr6s	રેફરલ
tf6n	ટોનર
xris	વપરાશકર્તાઈન્ટરફેસ
hw6n	swearing
xlen	મૌખિકવ્યાકરણ
pyec	સ્પ્રેડશીટ
vlim	વર્ચ્યુઅલમેમરી
bres	વર્ડપ્રોસેસર
hqip	મેઘકમ્પ્યુટિંગ
vlic	વર્ચ્યુઅલમશીન
pfam	સ્પામર
dyap	બીજીભાષા
txek	nthરુટ
dxen	માહિતીખાણકામ
byip	બિઝનેસવ્યક્તિ
hs6c	આત્મવિશ્વાસ
txim	ઉલ્લેખ
hb6t	ઘટનાફેરફાર
hdem	ડોમેનનામ
dxon	અલગઘટના
lwaf	ફ્લેશડ્રાઇવ
sl6t	crastinalતંગ
xyik	ફ્લોપીડિસ્ક
fyif	કર્તૃત્વવાચકઅવાજ
bvin	બ્રહ્માંડલિંગ
hm6p	મધરબોર્ડ
tfip	સકર્મકક્રિયાપદ
jlen	સ્થાનિકત્વલિંગ
xrap	બીજારંગનાપટાવાળું
tc6n	સંશોધનલિંગ
sl6n	કલાત્મકલિંગ
xrek	દર્દીટ્રિગર
xwan	અમૂર્તલિંગ
dxif	વીડિયોકૉન્ફરન્સ
dyip	પરોક્ષભાષણ
zrek	exocentricકેસ
hvuk	evoking
xwat	છેલ્લાપર્ફેક્ટિવ
hr6m	Rhenium
txaf	કારણભૂત
hmef	સામાન્યક્રિયાપદ
tx6t	લખાણસંપાદક
txes	સમૂહવાચકસંજ્ઞા
bvat	સતાવણી
bvuk	absolutiveકેસ
ry6t	સમત્રિજ્યાકોણ
vlis	વર્ચ્યુઅલવાસ્તવિકતા
qren	ગ્રહોનીલિંગ
gvak	વ્યાકરણીયવિભક્તિ
bxok	બાલ્ડ
mrum	કમ્પ્યુટરપ્રોગ્રામ
ps6t	ઓપરેટિંગસિસ્ટમ
hfom	ઉચ્ચારણ
tlem	માત્રમેમરીવાંચી
pwam	સ્પાયવેર
kfif	કોરલાભદાયી
qwit	સમજદારી
nlaf	સ્થાપનકરીરહ્યાછીએ
nwok	સમૂહનોકેસ
dzas	અપ્રસન્નકરવું
swuk	ઉત્તમકેસ
syos	સારાંશ
kr6n	વીજપ્રવાહ
dvin	નિર્જીવલિંગ
pxom	propositiveમૂડ
vris	પારસ્પરિકઅવાજ
rwos	એરોસોલ
dr6t	distractor
ht6k	દૂરસંચાર
slaf	સામાજિકનેટવર્કિંગ
lyuk	ક્રમિકકલમ
qras	ઉપરીઅધિકારીઓ
ty6n	teminal
gwet	ટૂંકસમયમાંભવિષ્યમાંતંગ
hp6s	applicativeઅવાજ
tsof	antipassiveઅવાજ
ht6p	continutiveપાસા
hn6f	necessitativeમૂડ
pfip	કર્મણિકૃદંત
glap	ટૂલબાર
sy6k	અસ્તિત્વનેકલમ
qyat	તેજસ્વીતીવ્રતા
hy6t	વ્યાકરણપદાર્થ
vyan	પ્રોનાઉન્સિંગ
sluf	singulativeનંબર
dvit	અતિશયસમયગાળો
qyak	એકક્રિયાવિશેષણ
bzik	ભૌતિકશાસ્ત્ર
xlet	ઉત્તમડિગ્રી
hqap	હાજરકૃદંત
qwat	પદાર્થજથ્થો
qyik	જોડાયેલીસૂક્ષ્મ
sr6t	સુપરક્રિટિકલફ્લુઇડ
hfem	epentheticરૂપાત્મકતત્ત્વ
tl6t	દૂરસ્થભવિષ્યમાંતંગ
mrif	માઇક્રોફોન
pcuk	postpositionalકેસ
tfim	રેન્ડમઍક્સેસમેમરી
fwim	ethium
ly6t	allocutiveકરાર
hvap	સ્ક્રોલપટ્ટી
hfep	frequentativeપાસા
bvan	વિતરણસર્વનામ
fyun	અપૂર્ણાંકબિંદુનંબર
xyas	ભૂંસીનાખી
hvif	ક્રિયાપદલગાડવું
xyis	છેલ્લાકર્મણિકૃદંત
tl6n	સેન્ટ્રલપ્રોસેસિંગયૂનિટ
tfok	locativeદિશાકેસ
qwan	વારંવારપૂછાતાપ્રશ્નો
