hnit	ﺭﺪﺼﻣ
hlec	ﻞﻔﻠﻓ
mlot	ﯼﺩﻮﻠﻣ
zrat	ﺩﺰﻣﺎﻧ
proc	حامی
flik	ﻩﺎﺑﻭﺭ
cyet	پشیمان
hgim	ﺶﮐﺩﻭﺩ
slet	ﻦﯿﭼﺮﭘ
tcok	ﺖﻗﺩ
bjit	ﻖﺑﺎﺳﻩﺪﺷﺕﻮﻓ
brot	ﻪﻧﺍﻮﺟ
bwat	ﻮﺘﭘ
hdus	ﮎﻮﺧ
gwat	ﺝﺎﻋ
kret	ﻥﺩﺮﮐﺝﺍﺮﺨﺘﺳﺍ
nwet	ﻩﺪﻨﻨﮐﻩﺪﻫﺎﺸﻣ
jwan	ﻥﺎﺑﺎﯿﺧ
nwis	ﻦﺧﺎﻧ
mwic	ﺭﻮﺒﻧﺯ
bzat	ﺮﮕﯾﺯﺎﺑ
gyan	ﻕﺮﻋ
zyit	ﯽﯾﺍﺮﺟﺍ
blic	ﻝﺎﯿﺧ
pcet	ﺪﯾﺩﺮﺗ
tsot	ﻥﺩﺮﮐﺎﺗ
bwit	ﺯﺮﻣ
tres	ﺱﺮﺘﺳﺍ
hkof	ﻑﺮﺼﻣ
nyen	ﻪﻟﺎﻧ
hles	ﻪﯿﺒﺷ
cyek	ﻪﺴﯿﮐ
hjis	ﻥﺯﻮﺳ
gjan	ﻩﺪﯾﺪﭘ
prec	ﻥﺩﺮﻛﺭﺎﺘﻓﺭ
drot	ﻝﺮﺘﻨﮐ
kcek	ﯽﻨﺤﻨﻣ
twic	ﻪﺟﻮﺟ
brak	ﻪﮑﺸﺑ
zwat	ﯽﮕﺸﯿﻤﻫ
clap	ﯽﮕﺸﯿﻤﻫﻪﺒﻨﺟ
tsec	ﺱﺎﻨﺷﺭﺎﮐ
bwin	ﻦﺘﺷﺍﺬﮔﺮﯿﺛﺎﺗ
cwet	محدود
hbek	نانوا
zlin	ﻥﻮﺘﯾﺯ
mron	ﻥﻭ
drin	ﻥﺩﺍﺩﺹﺎﺼﺘﺧﺍ
psap	ﻦﺘﺷﺍﺬﮔﺽﺮﻌﻣﺭﺩ
gjin	ﺪﻟﻮﺗﺯﻭﺭ
clut	ﺶﮑﭼ
cwun	ﺮﻄﻌﻣ
twaf	ﯽﻬﯾﺪﺑ
pcot	ﯽﮕﻧﺎﺧﻥﺍﻮﯿﺣ
krok	ﻪﻤﺠﻤﺟ
dlik	ﻪﻨﻨﻘﻣﻩﻮﻗ
cwic	خوشبختانه
srun	ﻢﺧﺍ
crec	ازبینبردن
jlan	ﻪﯿﺷﺎﺣ
kcip	ﻥﺎﻣﺮﻬﻗ
blin	ﻥﻮﯿﻠﯿﺑ
ryik	ﯽﯾﺎﯿﻤﯿﺷ
mlas	ﺾﺒﻧ
flit	ﻥﺎﺒﻠﺧ
hzet	ﻩﺮﮔ
cwik	باشکوه
twet	ﻦﻣﺍﺩ
mwik	ﯽﮕﺘﻔﻫ
tfis	ﯽﻨﻓ
tlon	ﻪﯿﻠﻘﻧﻪﻠﯿﺳﻭ
cram	چاپلوس
grac	ﺖﯾﻮﻘﺗ
kraf	ﻍﻼﮐ
trup	ﺖﻔﺻ
hduk	ﺏﻼﻗ
cruk	ﺮﺒﺑ
nrap	خانهدار
crot	ﻩﺍﺮﮔﺭﺰﺑ
mlip	ﯽﻣﺎﻈﻧﻪﺒﺷ
hfoc	ﺲﮑﻋ
nres	ﺖﯿﻣﺎﻤﺗ
plos	ﻩﻭﻼﻌﺑ
tfam	ﻑﺎﻔﺷ
nlic	ﻩﺩﺯﻮﻧ
hwok	ﻂﯾﺍﺮﺷﺪﺟﺍﻭ
nlen	ﻪﻟﺎﻘﻣ
fyic	ﯼﺭﻭﻩﺮﻬﺑ
hwuk	ﺩﺮﻔﺑﺮﺼﺤﻨﻣ
hgok	ﯽﻟﺍ
flic	ﺕﺎﯿﻬﻟﺍ
flot	ﺭﻭﺎﻨﺷ
hboc	وادارکردن
hwoc	ﻩﺮﺣﺎﺳ
syot	ﻩﺎﮔﺭﺎﮐ
cwip	ﻦﯾﺎﭙﻣﺎﺷ
hbes	ﻢﭼﺮﭘ
lwic	ﻕﻼﻃ
blot	ﭻﯿﭘ
cwot	اسارت
cwam	ﺪﯾﺭﻭ
prik	ﻝﺎﻌﻓﺮﯿﻏ
hfum	ﻒﮐ
grik	ﻩﺰﯾﺭﮓﻨﺳ
zrin	ﺪﻨﺒﺸﯿﭘ
gren	ﻩﺭﺎﯿﺳ
hfuc	رستاخیز
claf	ﻪﭽﻗﺎﺗ
flas	ﻪﮑﻨﭘ
hjot	ﯼﺮﯿﺴﻣﺮﮔ
hbim	ﻩﺍﻮﺨﻟﺩ
krek	ﻩﻮﯿﺟ
hbec	خیراندیش
tsaf	ﺭﺎﺤﺘﻧﺍ
pwas	ﺕﺍﺮﺟﻭﻝﺩ
plot	ﺭﺎﮕﻧﺮﺒﺧ
kfak	صرف
blak	ﻦﮑﻟﺎﺑ
hdos	ﻪﮑﻟ
kwis	ﮏﯿﺳﻼﮐ
kcos	ﻥﺩﺮﮐﻢﻬﺘﻣ
psen	ﯽﮕﺘﺴﺸﻧﺯﺎﺑﻕﻮﻘﺣ
kres	ﻞﻌﻓ
hzon	ﻥﻮﻤﯿﻣ
srim	ﺎﻀﻣﺍ
glin	ﯽﻠﯿﻣﯽﺑ
mlut	ﻡﺎﻧﺪﺑ
myot	ﻥﺩﺮﻛﺩﺭﺍﻭ
fwac	موسس
troc	ﻞﻌﺸﻣ
hgaf	ﻥﺎﺑﺯﺭﻮﺘﺳﺩ
hyop	ﯽﻧﺎﺑﺩﺎﺑﻖﯾﺎﻗ
ksip	ﻩﺪﺷﺽﺮﻘﻨﻣ
sres	گردش
hnup	ﺪﺒﻨﮔ
hzun	ﻖﺷﻪﻠﮐ
mric	ﻪﻠﻀﻋ
gjat	ﻩﺯﺍﺪﻧﺍ
hros	ﻥﺪﯿﻟﺎﻣ
zrac	ﺲﻔﻨﻟﺍﻒﯿﻌﺿ
tros	ﺖﺴﺗﻥﺎﻧ
myus	ﺱﻭﺎﻣ
dwac	ﺩﻮﻨﺷﻭﺖﻔﮔ
byak	ﺰﺑ
htef	ﻁﺎﯿﺧ
hfek	ﻥﺪﺷﺎﻓﻮﮑﺷ
dzan	ﻞﯿﻤﺤﺗ
nyon	ﺱﺎﻨﺷﺎﻧ
zrit	ﯽﻤﺳﺭﻡﺎﻧﺖﺒﺛ
pcos	ورزشها
hjec	ﻥﺪﺷﺏﻭﺫ
dlas	ﻥﺩﺮﮐﻑﺬﺣ
mras	ﺮﺘﭼ
mram	ﯽﻧﺪﻌﻣ
cwut	ﻪﮐﺭﺎﺘﻣ
hbok	ﮎﺩﺭﺍ
swun	ﻥﻮﺑﺎﺻ
dwak	ﮏﺳﻭﺮﻋ
plif	ﻼﯾﻭ
slon	ﯽﮔﺪﻧﺯﻭﺩ
tfut	ﻦﺘﻔﮔﮏﯾﺮﺒﺗ
djac	ﻥﺩﺍﺩﯽﺘﺷﺁ
hjas	ﻥﺩﺮﮐﺏﻮﮐﺮﺳ
kric	ﺵﻮﮔﺮﺧ
kwot	ﺮﺘﺴﮐﺭﺍﺮﺒﻫﺭ
gzan	ﺖﻧﺎﻤﺿ
clot	ﻦﮑﯾﺯﺎﺑ
ksek	ﻩﺮﺸﺣ
psam	ﺖﻟﺎﺣ
mwut	ﺪﻐﺟ
htem	بهطوردائم
clon	ﻦﻟﻮﯾﻭ
dzin	ﻦﮐﺎﺳ
rwim	ﺐﯿﺗﺮﺗﻪﺑ
hyof	سودمند
dron	ﺎﻫﺩﮊﺍ
dwit	ﯽﻌﻤﺳﯽﮐﺭﺪﻣ
sroc	صادرات
hzot	ختم
djik	ﻥﺪﻧﺎﻣﺮﻈﺘﻨﻣ
kfik	ﮏﻫﻼﮐ
ryun	ﺕﺍﺭﺮﻘﻣ
hmes	ﺭﺍﺩﺮﻬﺷ
rwac	ﺭﺍﺰﻓﺍﺖﺨﺳ
sruk	سیرک
sros	ﺖﯿﻠﻗﺍ
bzan	ﺵﺭﻮﺷ
kset	ﺮﺘﺴﮐﺭﺍ
bjon	ﻦﮑﯿﺑ
hjut	نامحدود
tfen	دفاعکردن
zwac	ﺭﺮﺿ
dyin	شور
myis	ﻥﺍﺩﯽﻘﯿﺳﻮﻣ
mlis	ﯽﻨﻫﺫ
pret	ﻩﺪﻨﺴﺑﺎﻧ
tsek	ﺭﺎﻤﻌﻣ
hlom	ﻮﻤﯿﻟ
ksos	ﻥﺩﺮﮐﻪﻓﺮﺳ
crok	ﺩﺭﺩﺮﺳ
flin	ﯼﺭﻭﺭﺎﺑ
mrun	ﺭﺎﺠﻧ
swec	ﯽﻓﺩﺎﺼﺗ
syuk	ﻖﺷﺎﻗ
blun	ﻥﻮﻟﺎﺑ
tcep	ﭻﮔ
fric	رفعخستگی
rwik	ﯼﺩﻮﻤﻋ
rwen	جلوگیری
flet	ﯽﻃﺎﺒﻨﺘﺳﺍﯽﮐﺭﺪﻣ
pfac	ﺮﺷﺎﻧ
srek	ﻪﮐﺮﺳ
tfun	ﻞﻧﻮﺗ
pwet	ﻝﺯﺎﭘ
gyik	ﺕﺎﯿﺿﺎﯾﺭ
fwot	ﻥﺪﺷﻮﺤﻣ
lwin	ﻝﺩﺎﻌﺘﻣ
jwin	ﺪﺒﮐ
bwik	sublativeﺩﺭﻮﻣ
hdup	ﺐﯿﺷ
hnop	ﺭﺎﺼﺤﻧﺍ
bwic	ﯽﯾﺎﯾﺭﺩﺮﯾﺯ
ryen	ﻦﺘﻓﺮﮔﺮﻈﻧﺭﺩﻥﻭﺪﺑ
hcem	ﻪﻟﺰﻟﺯ
hbos	ﻩﺎﮕﺸﯾﺎﻣﺯﺁ
nrek	ﺮﮔﺭﺎﮐ
ryim	ﻢﺘﯾﺭ
nyic	ﺮﯿﺴﻔﺗ
dwas	ﺕﺭﺎﻔﺳ
rwok	ﮏﯾﺮﺤﺗ
kram	ﺰﺠﻋ
ksim	ﯽﻧﻼﻋﺍﺖﻟﺎﺣ
clok	ﺕﻼﮑﺷ
pcec	ﺯﺎﺘﻤﻣ
nyis	ﻦﯿﺸﻧﻪﺷﻮﮔ
tyoc	ﯽﻗﺎﻔﺗﺍ
grak	ﺵﺍﺮﺧ
zlat	ﺶﮑﺘﺳﺩ
hjuk	ﻥﺩﺯﻮﻧﺍﺯ
trif	ﺎﯿﻓﺍﺮﻐﺟ
djit	ﯽﻟﻮﺻﺍ
pson	شکستناپذیر
mwis	ﯼﺭﺍﺬﮔﻪﯾﺎﻣﺮﺳ
cwec	ﯽﻫﺎﻔﺷ
hdek	ﺭﻻﻮﮑﺳ
blik	ﻦﯿﻫﺎﺷ
sloc	ﯽﺳﺎﻨﺷﻥﺍﻭﺭ
brap	ﻪﺿﺍﺮﻗ
jlat	ﯽﯾﺎﯾﺭﺩﺩﺯﺩ
dros	ﺭﺍﺪﻘﻣ
slam	ﺩﺍﺯﺁﯽﻫﺎﻣ
pwun	ﮓﻨﯾﺩﻮﭘ
gwik	ﯽﺴﯿﻃﺎﻨﻐﻣ
pcop	ﻪﺒﻤﻠﺗ
myen	ﻪﺑﺎﺸﻣﺭﻮﻃﻪﺑ
ksen	ﻥﮋﯿﺴﮐﺍ
mrap	مباشر
tfot	ﻪﻣﺎﻧﯽﻫﺍﻮﮔ
ksus	ﻪﺷﻮﺧ
trok	ﯽﻇﺎﻔﻟ
tloc	ﻪﻠﭘ
zyan	ﻭﺭﺎﭘ
nlun	ﺩﻭﺭﻭ
hlop	ﭖﻮﮑﺴﻠﺗ
jlin	ﯽﺠﻫ
lyut	ابری
hsof	ﺭﺎﻨﮐﺎﯾﺭﺩﺏﺍﺰﯿﺧ
fyik	ﯽﮑﺴﯾﻭ
klet	ﯽﺒﺴﻧﺭﻮﻃﻪﺑ
hwof	ﺪﯿﺑ
hlum	ﺮﺘﺷ
myet	ﺭﻮﺗﺎﻣﺁ
klis	ﺍﻭﺰﻧﺍ
hbaf	ﻪﻣﺎﻨﯿﮔﺪﻧﺯ
gwac	ﺮﺧ
hwum	ﻪﻌﯾﺎﺷ
pwik	ﺯﺍﺪﻧﺍﻢﺸﭼ
pron	ﺭﺍﺰﻓﺍﻡﺮﻧ
myes	ﻪﻧﺎﯿﻫﺎﻣ
mwen	خیال
kfic	ﺕﻼﯿﻄﻌﺗ
klek	ﮏﯿﻠﮐ
cwon	ﯽﻀﯿﺑ
lyak	ﻥﺎﺴﺸﮐ
kwon	ﺖﻐﻟﮓﻨﻫﺮﻓ
hjam	ﻥﻮﺒﻣﺍﮊ
rwon	ﻥﺎﻤﻛﻦﻴﮕﻧﺭ
crip	بدینوسیله
zwan	رخ
srok	سرمقاله
craf	بدنی
tlok	ﻥﺰﺨﻣ
brip	ﻪﻧﺍﻭﺮﭘ
tfap	ﯽﻧﺎﻣﺯﺎﺳﺕﺭﺎﭼ
jwat	ﻮﻠﻗﻭﺩ
pros	عملیاتی
psun	فال
clet	بدبختی
hbus	ﻥﺍﺭﺰﯿﺧﺏﻮﭼ
dyas	ﻝﻻﺩ
klun	ﯽﮕﺘﺷﺎﺒﻧﺍ
jlit	ﻝﻮﻘﻟﺍﻖﻔﺘﻣ
hdom	ﺱﻮﺑﺎﮐ
kron	ﻦﺑﺮﮐ
hzam	ﺎﺑﺮﻣ
cyot	ﻩﺪﻧﻮﻨﺷ
hmem	ﻩﺯﻮﻣ
lwam	ﺎﺒﻔﻟﺍ
fras	ﻥﺩﺮﮐﺶﺨﭘ
psoc	ﺖﺸﻣ
hgum	ﺲﻣﺍﺩﺁ
brek	ﺰﻣﺮﺗ
glit	ﺕﺎﺒﺛ
frun	ﻥﺪﺷﺪﺳﺎﻓ
gris	ﺰﯿﻣﺁﺖﻧﻮﺸﺧ
mroc	ﮎﺎﮑﻄﺻﺍ
bzit	ﺕﻮﺒﮑﻨﻋ
plut	ﯽﻨﯿﻣﺯﺐﯿﺳ
glac	ﺯﺁﻭﺹﺮﺣ
gzac	ﻥﺩﺮﮐﺮﯿﺜﮑﺗ
prun	ﺶﺧﺮﭼ
jlet	ﻢﯾﻮﻘﺗ
nyim	ﯼﺩﺰﻣﺎﻧ
tlos	ﻥﻮﯿﻠﯾﺮﺗ
slut	ﺩﻻﺎﺳ
fwit	ﺖﺒﺜﻣﺖﻟﺎﺣ
pyen	ﯼﺩﺮﺑﺭﺎﮐﯼﺎﻫﻪﻣﺎﻧﺮﺑ
nlon	ﯽﻤﺳﺍ
dren	ﻥﺩﺍﺩﻥﺎﺸﻧ
drun	ﯽﺘﯾﺎﺿﺭﺎﻧ
cyok	ﻦﺘﺧﺍﺪﻧﺍﻻﺎﺑﺍﺭﻪﻧﺎﺷ
hfop	ﻝﺎﺒﺗﻮﻓ
ryac	ﺖﮐﺭﺎﺸﻣ
gzin	ﻡﺎﮕﺸﯿﭘ
hgip	ﻢﻠﮐ
tyet	ﯽﺷﺯﺭﻭ
hdof	ﺎﻫﺍﺪﺻﺩﻮﺧ
hwup	فوقالعادهگرانبها
lwek	ﻡﺮﻫﺍ
syec	ﺭﻮﺗﺎﻨﺳ
jyak	تطبیق
mlim	ﻪﭼﺭﻮﻣ
fwic	ﺮﺛﻮﻣﺭﻮﻃﻪﺑ
gzit	ﻪﻠﻣﺎﺣ
blas	ﺩﺎﻤﺘﻋﺍ
jrin	ﺯﻭﺭﺮﻫ
gwak	ﺎﭘﭻﻣ
drik	ﺐﯿﺠﻋ
prif	ﺮﯿﻐﺘﻣ
jwit	ﻉﻮﻨﺗ
krip	ﺾﯿﻌﺒﺗ
ryot	انگشتحیرتبهدهان
nwut	ﻭﺭﻩﺩﺎﯿﭘ
kcif	ﻪﻧﻻﺎﻌﻓ
jrak	ﻪﻏﺎﺑﺭﻮﻗ
twek	ﻩﺯﺍﺪﻧﺍﺯﺍﺶﯿﺑﺩﺭﻮﻣ
psot	کفاره
pfon	ﺞﻨﻔﺳﺍ
sluk	ﺏﺎﺠﻨﺳ
nlim	irrealisﺖﻟﺎﺣ
ksaf	کمیابی
glak	ﻥﺎﺸﻔﺸﺗﺍ
plen	ﻝﺩﺎﻌﺗ
kfaf	ﯼﺮﺳﻭﺭ
kyon	ﯼﺭﺍﺩﺮﺑﻩﺮﻬﺑ
jlik	ﯽﺳﺎﻨﺷﻦﯿﻣﺯ
psop	ﻪﻣﺎﻧﺭﺬﮔ
kfis	جایخالی
fyon	ﯽﮕﺘﺴﺑﺍﻭ
nram	ﺪﺳﺎﻓ
hbuk	ﺖﯾﻮﮑﺴﯿﺑ
gras	ﯽﺷﻮﻬﯿﺑ
hyos	نگران
flim	ﻢﻠﯿﻓ
plet	ﺹﺮﻗ
rwam	ﻢﺗﺍ
blis	ﻞﯿﻧﺍﻭ
zlit	ﺯﺪﯾﺍ
fyut	ﺪﻨﺴﭘﻞﮑﺸﻣ
crim	ﻡﺮﻫ
hjif	ﯽﻧﻮﻧﺎﻗﺮﯿﻏ
crif	ﯽﯾﻭﺮﻤﮐ
lwap	ﺩﻮﻋ
tyon	ﯽﺳﺎﻨﺷﻩﺭﺎﺘﺳ
mrim	ﻢﺧﻭﭻﯿﭘ
drut	توصیفی
nrim	ﯽﻠﯿﺼﺤﺗﺱﺭﻮﺑ
kruc	ﺖﺸﭘﮎﻻ
kwam	ﺭﻭﺎﺸﻣ
jrik	ﮎﺮﯿﺟﺮﯿﺟ
dlut	ﻥﺩﺮﮐﯽﻨﻌﻣ
pyot	ﺮﺗﻮﺒﮐ
dyon	ﻕﺎﺒﻄﻧﺍ
prap	ﺭﻮﺗﺍﺮﭘﺍ
bzin	ﻥﺎﺸﻧ
tyek	ﺵﻮﮔﻪﺳ
trec	ﺭﺍﺩﻪﻧﺍﺰﺧ
nron	ﻥﮊﻭﺭﺪﯿﻫ
pyet	ﺮﮕﭘﺎﭼ
tsok	ﻥﺩﺮﮐﻪﻔﺧ
zyin	ﻦﻣﺰﻣ
slek	ﻪﺧﺮﭼﻭﺩ
jyin	ﯽﺳﺪﻨﻬﻣ
ryas	ﻝﺎﻘﺘﻧﺍ
zrak	تازهکردن
nyas	ﺹﺎﻗﺭ
gric	ﭺﻮﮐ
zlak	ﺾﻘﻧ
tces	ﺲﯿﻨﺗ
hjun	پرباد
twen	ﺖﻓﺎﺑ
kyet	جمعکننده
gwit	ﺕﺍﺮﻘﻓﻥﻮﺘﺳ
kyot	ﺮﺗﻭ
fwin	ﺲﻧﺎﮐﺮﻓ
tfuc	ﯽﺟﺎﺴﻧ
dlet	ﺎﻤﻨﻫﺍﺭﺖﺳﺮﻬﻓ
pfik	ﺯﺍﺩﺮﭘﻩﺪﯾﺍ
bjet	ﻪﺟﺩﻮﺑ
trek	ﯼﮋﺗﺍﺮﺘﺳﺍ
kros	ﺰﺗﺭﺍﻮﮐ
gjit	ﯽﭽﯿﻗ
gwic	ﭻﯿﺋﻮﺳ
frik	ﯼﺮﻈﻧ
tluc	ﻪﻟﻮﺣ
pruc	ﺖﺸﮔ
glic	ﯽﻌﯿﺒﻃﻝﺎﭽﺨﯾ
krun	کمال
bjin	ﯽﻨﯿﺑﺶﯿﭘ
tlaf	ﻥﺩﺮﮐﺖﮐﺮﺷ
tfet	ﻩﺪﻧﺯﺎﺳ
bras	ﯽﺒﻧﺎﺟ
dwik	ﻊﻓﺍﺪﻣ
clec	ﺯﻭﺰﮔﺍ
cres	ﺞﻧﺮﻄﺷ
tcef	ﺱﻼﯿﮔ
tcom	ﻥﺩﺭﻮﺧﻮﻠﺗﻮﻠﺗ
nyot	مترجم
tyok	ﻥﻮﯿﻣﺎﮐ
cyip	فراتر
grot	ﻝﺩﺮﺧ
bris	ﻢﻴﺳﻲﺑ
nlam	ﺝﺍﺮﺣ
slif	ﻝﺎﺑﺮﻏ
hgos	ﮓﻧﺯ
swoc	ﻥﺍﺯﺮﻟ
jyat	ورشکسته
slum	ﻡﻼﺳﺍ
hjes	ﯼﺭﺎﻤﺷﺮﺳ
dzat	ﻪﺠﻨﭘﮎﻮﻧ
slun	ﻥﺩﺮﮐﻖﻠﻌﻣ
nwot	ﯽﮕﺘﺳﻮﯿﭘ
gyic	ﺭﺎﺘﯿﮔ
pfas	ﺐﺼﻌﺗ
zyik	ﯼﻭﺭﺰﻠﻓ
blen	ﻕﺍﺮﺑ
hyem	ﺰﻣﺮﻗﻥﻭﺭﺎﻧ
hnep	ﺵﻼﺗ
nyut	ﯽﻨﺘﻓﺎﺑ
ryam	ﺮﯿﻤﺿﺮﮕﻧﺎﺸﻧ
clim	ﻪﯾﻭﺩﺍ
jret	هشیاری
tfon	ﻦﺘﺧﺍﺪﻧﺍﺖﺳﺩﺍﺭﯽﺴﮐ
jwac	ﻩﻭﺎﺟ
hrep	ﻞﻤﻌﻟﺍﺭﻮﺘﺳﺩ
dyac	ﻥﺩﺍﺩﯼﺍﺭﻖﺣ
myip	ﺮﺘﻣ
rwis	ﯼﺩﺍﮋﻧ
hkem	ﺭﺍﺩﻪﻟﺎﺒﻧﺩﻩﺭﺎﺘﺳ
nwon	ﯼﺭﻭﺁﻮﻧ
zwin	ﻥﺩﺮﮐﻊﻨﻣ
dyis	ﯽﻄﺳﻭﻥﻭﺮﻗ
mrec	ﮏﺸﺠﻨﮔ
fyot	ﯽﻗﺭﻭﺎﭘ
mlon	ﯼﺮﯿﮔﻩﺯﺍﺪﻧﺍ
pfis	تصویب
rwot	ﺭﺍﺪﻣ
hfok	ﻪﻓﺮﺻﺎﺑ
glof	ﻒﻠﮔ
zron	ﺮﻔﺻ
hzip	ﭗﯾﺯ
hwom	بیخانمان
bjic	جویدن
pcim	ﻡﺎﺠﻧﺍ
hjip	ﻪﺷﺍﺮﺗ
bwac	ﻩﺯﺎﯿﻤﺧ
mlos	ﻝﺎﺧ
mrip	ﯼﺮﮕﻟﺎﻔﺳ
bron	ﻦﯿﻨﺟ
ksoc	ﺮﺴﮐ
cyum	ﺮﻤﺨﻣ
jyan	ﻒﻨﺻﮏﯾﺹﻮﺼﺨﻣﺕﺎﺣﻼﻄﺻﺍ
plim	ﻮﻟﺁ
mwet	قبرستان
ryet	ﻞﯿﺼﺤﺘﻟﺍﻍﺭﺎﻓ
glik	ﯼﺭﺎﯿﺑﺍ
plap	ﺭﺍﺩﻪﯾﺎﻣﺮﺳ
tsif	ﯽﻋﺎﺠﺗﺭﺍﺖﯿﻠﺑﺎﻗ
gyak	ﯽﻫﺎﻣﻪﺳﻮﮐ
djon	ﺽﺮﻓﺶﯿﭘﺭﻮﻃﻪﺑ
nwun	وقتشناس
cles	ﯽﯾﺍﺮﮔﻊﻗﺍﻭ
dris	ﻩﺪﻨﯾﺍﺰﻓﺭﻮﻃﻪﺑ
hkef	ﻪﻓﺎﮐ
blus	ﺲﻧﻻﻮﺒﻣﺍ
blap	ﻝﻮﭘﻒﯿﮐ
bjak	نشئهشده
klim	ﻝﻮﺻﺍﻭﺍﺩﺍ
gyac	ﺪﻨﻤﺸﻧﺍﺩ
jyit	ﺖﻧﺎﺘﻣ
dzit	ﻦﯿﺑﻊﻗﺍﻭ
bwak	ﻝﺰﻨﻣﺯﺍﺝﺭﺎﺧ
dyot	ﻮﯾﺩﺍﺭ
bwon	ﺕﺎﺑﻮﺒﺣ
fris	ﯽﻤﺳﺭﺮﯿﻏ
klut	ﻥﺪﯿﺸﯾﺪﻧﺍ
tfek	ﮏﯿﺘﺳﺍ
nrok	ﻥﮊﻭﺮﺘﯿﻧ
zyat	ﯽﺷﺍﺮﺗﺕﺭﻮﺻﻎﯿﺗ
bram	ﺮﻏﺮﻏ
ryis	مقدماتی
nlip	ﻞﯿﻠﺤﺗﻭﻪﯾﺰﺠﺗ
nros	ﺩﺎﻀﺘﻣ
hcof	ﻥﺩﺮﮐﻥﺎﯾﺮﻋ
tfif	ﻩﺰﯿﮕﻧﺍ
kroc	ﺭﺎﯿﺷ
hdum	ﺖﯾﺩﻮﻬﯾ
pses	گیرنده
plok	ﻩﺪﻨﻨﮐﻞﯿﻤﮑﺗ
lyet	ﯽﺳﺪﻋ
pwek	pegativeﺩﺭﻮﻣ
kfas	ﻥﺎﻃﺮﺳ
pwen	ﻭﺮﮔ
nrun	یادآور
clek	ﺖﺸﻧ
pcif	دفاع
glas	ﯽﮔﺪﯿﭽﯿﭘ
zwit	ﻑﺮﺣﺮﭘ
kces	کفایت
crem	ﯽﺷﻭﺮﻓﻩﺩﺮﺧ
grap	ﻦﺘﻓﺮﮔ
kwip	ﻪﻠﺧﺍﺪﻣ
dyut	ﻒﯿﻔﺨﺗ
crus	ﺐﺗﺍﺮﻣﻪﻠﺴﻠﺳ
gyet	ﻢﺸﯾ
gram	ﻥﺩﺮﮐﻪﭼﻭﺮﻗﻥﺍﺪﻧﺩ
kyip	ﮏﻟﻮﻣﺭﺎﻣ
nyet	ﯽﯾﻻ
crop	ﺭﺎﺸﺑﺍ
glon	ﻦﻟﺎﮔ
mrok	ﻪﺸﭘ
fluc	روان
dwic	ﻑﺍﺮﺤﻧﺍ
slec	جستجوگر
srec	انقضای
blut	ﻦﺘﻓﺮﮔﯽﺘﺸﮐ
myok	ﮏﯿﯾﺍﺯﻮﻣ
tlek	ﻦﯿﮔﻼﭘ
nruk	ﯽﻧﻮﻔﻋ
nwoc	ازاینببعد
bjut	ﻥﺩﺯﻪﻤﺗﺎﺒﻤﭼ
hges	ﯼﺭﺍﺩﺭﺎﺑ
twoc	ﺭﺎﺑﺭﺍﻮﺧ
kyos	ﺖﺴﯿﻧﻮﻤﮐ
mrek	ﻥﺩﺮﮐﺕﺎﻣ
clip	ندامت
pwok	prosecutiveﺩﺭﻮﻣ
dwot	ﺭﻮﺗﺎﺘﮑﯾﺩ
zyac	ﯽﮕﺘﻔﯿﺷ
jlic	ﻩﺭﺍﻮﻫﺎﻣ
slop	ﯽﺘﺣﺍﺭﺶﻔﮐ
ryip	ﺖﺒﺴﻧﻪﺑ
psim	ﯽﺒﯾﺮﻘﺗ
byet	ﺭﺎﮐﯽﺑ
cyop	ﯽﻣﺮﮔﺮﺳ
rwun	ﺭﺎﯿﻌﻣ
blop	ﺯﺎﯿﭘ
syok	ﯽﻣﺎﺣ
klos	ﻦﯾﺮﻠﮐ
lwot	ﺪﯾﺮﻠﮐ
byic	ﯼﺮﺘﮐﺎﺑ
lyik	ﻩﺪﻨﺒﺴﭼ
blok	ﯽﺘﺴﯾﺯ
jlac	ﻥﺩﺮﮐﻞﻌﺟ
bret	ﺖﯾﺎﺑ
krif	ﺢﺷﺮﺗ
blet	ﻪﻟﺎﺑ
nruc	ﺭﺍﺭﺩﺍ
tsus	ﺮﯿﺳ
dyak	ﻂﺳﻮﺘﻣﻪﻘﺒﻃ
tcem	ﮎﺮﺒﻧﺍ
cyoc	ﺰﯿﮕﻧﺍﺮﺑﺶﻟﺎﭼ
trep	ﯽﮕﻧﺮﻓﺕﻮﺗ
dlun	ﯽﮔﺩﻮﻟﺍ
hlup	ﻡﻮﺒﻟﺍ
hbep	ﻝﺎﺑﺲﯿﺑﯼﺯﺎﺑ
praf	ﯽﯾﺎﯾﺭﺩﯼﺩﺯﺩ
pwis	ﯽﻔﺻﻭﻪﺟﻭ
grek	ﮊﺍﺭﺎﮔ
kruk	ﻞﻐﺑﺮﯾﺯﺏﻮﭼ
hfof	ﺮﻔﺴﻓ
rwut	ﯼﺭﺎﺘﺧﺎﺳ
myam	ﻩﺎﮕﺷﺯﺭﻭ
krec	ﻞﯿﻘﺛﺮﺟ
jras	پیمانکار
zrik	اعلامکردن
blam	سالنرقص
klip	ﺮﮔﺖﻌﻨﺻ
hwef	پرداختنشده
zlac	ﺯﻮﻣ
gret	ژنراتور
lwuk	ﻩﺪﻧﺩ
nyek	ﻞﮑﯿﻧ
