hnit	ಕರ್ತೃ
ryen	ಲೆಕ್ಕಿಸದೆ
hcem	ಭೂಕಂಪ
hbos	ಪ್ರಯೋಗಾಲಯ
nrek	ಕೆಲಸಗಾರ
ryim	ಲಯ
nyic	ವ್ಯಾಖ್ಯಾನಿಸುವ
dwas	ರಾಯಭಾರ
rwok	ಪ್ರೇರೇಪಿಸುವ
kram	ಅಸಾಮರ್ಥ್ಯ
ksim	ಘೋಷಣಾತ್ಮಕಚಿತ್ತ
clok	ಚಾಕೊಲೇಟ್
pcec	ವಿಶೇಷ
nyis	ವಿರಕ್ತ
tyoc	ಕಾಕತಾಳೀಯ
grak	ಆರಂಭದಿಂದ
zlat	ಕೈಗವಸು
hjuk	ಮಂಡಿಯೂರು
trif	ಭೌಗೋಳಿಕ
djit	ವ್ಯವಸ್ಥಿತ
pson	ಅಜೇಯ
mwis	ಬಂಡವಾಳ
cwec	ಮೌಖಿಕ
hdek	ಜಾತ್ಯತೀತ
blik	ಗಿಡುಗ
sloc	ಮನೋವಿಜ್ಞಾನ
brap	ಸ್ಕ್ರ್ಯಾಪ್
jlat	ಕಡಲುಗಳ್ಳರ
dros	ಡೋಸ್
slam	ಸಾಲ್ಮನ್
pwun	ಪುಡಿಂಗ್
gwik	ಕಾಂತೀಯ
pcop	ಪಂಪ್
myen	ಇದೇ
ksen	ಆಮ್ಲಜನಕ
mrap	ಫೋರ್ಮನ್
tfot	ಪ್ರಮಾಣಪತ್ರ
ksus	ಕ್ಲಸ್ಟರ್
trok	ವಾಕ್ಚಾತುರ್ಯ
tloc	ಸ್ಥಾನಕ್ಕೆ
zyan	ಅಂಬಿಗ
nlun	ಲಾಗಿನ್
hlop	ದೂರದರ್ಶಕದ
jlin	ಕಾಗುಣಿತ
lyut	ಮೋಡ
hsof	ಸರ್ಫ್
fyik	ವಿಸ್ಕಿ
klet	ತುಲನಾತ್ಮಕವಾಗಿ
hwof	ವಿಲೋ
hlum	ಒಂಟೆ
myet	ಹವ್ಯಾಸಿ
klis	ಪ್ರತ್ಯೇಕತೆ
hbaf	ಜೀವನಚರಿತ್ರೆ
gwac	ಕತ್ತೆ
hwum	ವದಂತಿಯನ್ನು
pwik	ದೃಷ್ಟಿಕೋನದಿಂದ
pron	ಪರ
myes	ಮಾಸಿಕ
mwen	ಅನ್ಯಮನಸ್ಕತೆ
kfic	ರಜೆ
klek	ಕ್ಲಿಕ್
cwon	ಅಂಡಾಕಾರದ
lyak	ಸ್ಥಿತಿಸ್ಥಾಪಕ
kwon	ನಿಘಂಟು
hjam	ಹ್ಯಾಮ್
rwon	ಮಳೆಬಿಲ್ಲು
crip	ಇದರ
zwan	ಸಂಭವಿಸುವ
srok	ಸಂಪಾದಕೀಯ
craf	ದೈಹಿಕ
tlok	ಟ್ಯಾಂಕ್
brip	ಚಿಟ್ಟೆ
tfap	ಚಾರ್ಟ್
jwat	ಅವಳಿ
pros	ಆಪರೇಟಿಂಗ್
psun	ಶಕುನ
clet	ಶೋಚನೀಯಸ್ಥಿತಿ
hbus	ಬಿದಿರು
dyas	ವ್ಯಾಪಾರಿ
klun	ಕ್ರೋಢೀಕರಣ
jlit	ಅವಿರೋಧ
hdom	ದುಃಸ್ವಪ್ನ
kron	ಇಂಗಾಲದ
hzam	ಜಾಮ್
cyot	ಕೇಳುಗನ
hmem	ವಸ್ತು
lwam	ವರ್ಣಮಾಲೆಯ
fras	ಚೆದುರಿದ
psoc	ಪಂಚ್
hgum	ಗಮ್
brek	ಬ್ರೇಕ್
glit	ಸ್ಥಿರತೆ
frun	ಕೊಳೆತ
gris	ಆಕ್ರಮಣಕಾರಿ
mroc	ಘರ್ಷಣೆ
bzit	ಜೇಡ
plut	ಆಲೂಗಡ್ಡೆ
glac	ದುರಾಶೆ
gzac	ಗುಣಿಸಿ
prun	ಸ್ಪಿನ್
jlet	ಕ್ಯಾಲೆಂಡರ್
nyim	ನಾಮನಿರ್ದೇಶನ
tlos	ಟ್ರಿಲಿಯನ್
slut	ಸಲಾಡ್
fwit	ಸಕಾರಾತ್ಮಕಮನೋಭಾವದಲ್ಲಿರುವ
pyen	ಅರ್ಜಿಗಳನ್ನು
nlon	ಅತ್ಯಲ್ಪ
dren	ಪ್ರದರ್ಶಿಸಲು
drun	ಅಸಮಾಧಾನ
cyok	ಭುಜಎಗರಿಸು
hfop	ಫುಟ್ಬಾಲ್
ryac	ಪಾಲುದಾರಿಕೆ
gzin	ಪ್ರವರ್ತಕ
hgip	ಎಲೆಕೋಸು
tyet	ಅಥ್ಲೆಟಿಕ್
hdof	ideophone
hwup	ಅಮೂಲ್ಯ
lwek	ಸನ್ನೆ
syec	ಸೆನೆಟರ್
jyak	ಅವಕಾಶ
mlim	ಇರುವೆ
fwic	ಪರಿಣಾಮಕಾರಿಯಾಗಿ
gzit	ಗರ್ಭಿಣಿ
blas	ರಿಲಯನ್ಸ್
jrin	ಪ್ರತಿದಿನ
gwak	ಪಾದದ
drik	ವಿಚಿತ್ರ
prif	ವೇರಿಯಬಲ್
jwit	ವೈವಿಧ್ಯತೆ
krip	ತಾರತಮ್ಯ
ryot	awed
nwut	ಕಾಲುದಾರಿಯ
kcif	ಸಕ್ರಿಯವಾಗಿ
jrak	ಕಪ್ಪೆ
twek	exessiveಸಂದರ್ಭದಲ್ಲಿ
psot	ಅಟೋನ್ಮೆಂಟ್
pfon	ಸ್ಪಾಂಜ್
sluk	ಅಳಿಲು
nlim	irrealisಚಿತ್ತ
ksaf	ಕೊರತೆ
glak	ಜ್ವಾಲಾಮುಖಿ
plen	ಸಮತೋಲನ
kfaf	ಸ್ಕಾರ್ಫ್
kyon	ದುರ್ಬಳಕೆ
jlik	ಭೂವೈಜ್ಞಾನಿಕ
psop	ಪಾಸ್ಪೋರ್ಟ್
kfis	ಖಾಲಿ
fyon	ಆಕರ್ಷಣೆಯನ್ನು
nram	ಅನೈತಿಕ
hbuk	ಬಿಸ್ಕತ್ತು
gras	ಟ್ರಾನ್ಸ್
hyos	ಆತಂಕಕ್ಕೆ
flim	ಚಿತ್ರ
plet	ಟ್ಯಾಬ್ಲೆಟ್
rwam	ಪರಮಾಣು
blis	ವೆನಿಲ್ಲಾ
zlit	ಏಡ್ಸ್
fyut	ಸೂಕ್ಷ್ಮರುಚಿಯ
crim	ಪಿರಮಿಡ್
hjif	ಕಾನೂನುಬಾಹಿರ
crif	ಸಂಕೋಚ
lwap	ಲೂಟ್
tyon	ಖಗೋಳ
mrim	ಜಟಿಲ
drut	ವಿವರಣಾತ್ಮಕ
nrim	ವಿದ್ಯಾರ್ಥಿವೇತನ
kruc	ಆಮೆ
kwam	ಸಲಹೆಗಾರ
jrik	ಕ್ರಿಕೆಟ್
dlut	ಸೂಚಿಸಲು
pyot	ಪಾರಿವಾಳ
dyon	ರೂಪಾಂತರ
prap	ಆಯೋಜಕರು
bzin	ಬ್ಯಾಡ್ಜ್
tyek	ತ್ರಿಕೋನ
trec	ಖಜಾಂಚಿ
nron	ಹೈಡ್ರೋಜನ್
pyet	ಪ್ರಿಂಟರ್
tsok	ಚಾಕ್
zyin	ದೀರ್ಘಕಾಲದ
slek	ಸೈಕಲ್
jyin	ಎಂಜಿನಿಯರಿಂಗ್
ryas	ಪ್ರಸರಣ
zrak	ರಿಫ್ರೆಶ್
nyas	ನರ್ತಕಿ
gric	ವಲಸೆ
zlak	ಉಲ್ಲಂಘಿಸಲು
tces	ಟೆನಿಸ್
hjun	ಬಿರುಗಾಳಿಯ
twen	ನೇಯ್ಗೆ
kyet	ಸಂಗ್ರಾಹಕ
gwit	ಬೆನ್ನುಮೂಳೆಯ
kyot	ಸ್ವರಮೇಳ
fwin	ಆವರ್ತನ
tfuc	ಮಗ್ಗ
dlet	ಕೋಶವನ್ನು
pfik	ಚಿಂತಕ
bjet	ಬಜೆಟ್
trek	ತಂತ್ರ
kros	ಸ್ಫಟಿಕ
gjit	ಕತ್ತರಿ
gwic	ಸ್ವಿಚ್
frik	ಸೈದ್ಧಾಂತಿಕ
tluc	ಟವಲ್
pruc	ಗಸ್ತು
glic	ಹಿಮನದಿ
krun	ಸಂಪೂರ್ಣತೆ
bjin	ಭವಿಷ್ಯ
tlaf	ಭಾಗವಹಿಸಲು
tfet	ತಯಾರಕ
bras	ಪಾರ್ಶ್ವದ
dwik	ಆರೋಪಿಯ
clec	ನಿಷ್ಕಾಸ
cres	ಚೆಸ್
tcef	ಚೆರ್ರಿ
tcom	ಮುಗ್ಗರಿಸು
nyot	ಅನುವಾದಕ
tyok	ಟ್ರಕ್
cyip	ಮೀರಿಸಿ
grot	ಸಾಸಿವೆ
bris	ನಿಸ್ತಂತು
nlam	ಹರಾಜು
slif	ಜರಡಿ
hgos	ತುಕ್ಕು
swoc	ತತ್ತರಿಸುವ
jyat	ದಿವಾಳಿ
slum	ಇಸ್ಲಾಂಧರ್ಮ
hjes	ಜನಗಣತಿ
dzat	ಹೆಬ್ಬೆರಳಿನ
slun	ಅಮಾನತು
nwot	ನಿರಂತರತೆಯನ್ನು
gyic	ಗಿಟಾರ್
pfas	ಪಕ್ಷಪಾತ
zyik	ಸತು
blen	ಹೊಳೆಯುವ
hyem	ಎಲ್ಮ್
hnep	ಸ್ಕ್ರಾಂಬಲ್
nyut	knitted
ryam	ಸರ್ವನಾಮಮಾರ್ಕರ್
clim	ಮಸಾಲೆ
jret	ತೀಕ್ಷ್ಣತೆ
tfon	ಕೀಟಲೆ
jwac	ಜಾವಾ
hrep	ಪಾಕವಿಧಾನ
dyac	ಫ್ರ್ಯಾಂಚೈಸ್
myip	ಮೀಟರ್
rwis	ಜನಾಂಗೀಯ
hkem	ಕಾಮೆಟ್
nwon	ಆವಿಷ್ಕಾರದಲ್ಲಿ
zwin	ನಿಷೇಧ
dyis	ಮಧ್ಯಯುಗದ
mrec	ಗುಬ್ಬಚ್ಚಿ
fyot	ಅಡಿಟಿಪ್ಪಣಿ
mlon	ಮಾಪನ
pfis	ಅನುಮೋದನೆಯನ್ನು
rwot	ಪರಿಭ್ರಮಿಸುತ್ತದೆ
hfok	ಮಿತವ್ಯಯದ
glof	ಗಾಲ್ಫ್
zron	ಶೂನ್ಯ
hzip	ಜಿಪ್
hwom	ನಿರಾಶ್ರಿತ
bjic	ಅಗಿಯುವ
pcim	ಪೂರೈಸಲು
hjip	ಚಿಪ್
bwac	ಆಕಳಿಕೆ
mlos	ಮೋಲ್
mrip	ಕುಂಬಾರಿಕೆ
bron	ಭ್ರೂಣದ
ksoc	ನಿರ್ಣಯ
cyum	ಯೀಸ್ಟ್
jyan	ಪರಿಭಾಷೆ
plim	ಪ್ಲಮ್
mwet	ಸ್ಮಶಾನದಲ್ಲಿ
ryet	ಪದವಿಧರ
glik	ನೀರಾವರಿ
plap	ಬಂಡವಾಳಶಾಹಿ
tsif	ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
gyak	ಶಾರ್ಕ್
djon	ಡೀಫಾಲ್ಟ್
nwun	ಸಮಯಕ್ಕೆ
cles	ನಂಬಿಕೆಯ
dris	ಹೆಚ್ಚು
hkef	ಕೆಫೆ
blus	ಆಂಬುಲೆನ್ಸ್
blap	ಕೈಚೀಲ
bjak	ಮೋಹಕ
klim	ಗಂಟುಮೋರೆ
gyac	ವಿಜ್ಞಾನಿ
jyit	ಸಮಚಿತ್ತತೆ
dzit	ವಾಸ್ತವಿಕ
bwak	ಹೊರಾಂಗಣ
dyot	ರೇಡಿಯೋ
bwon	ಹುರುಳಿ
fris	ಅನೌಪಚಾರಿಕ
klut	ಊಹಿಸಿದ್ದಾರೆ
tfek	ಸ್ಟೀಕ್
nrok	ಸಾರಜನಕ
zyat	ರೇಜರ್
bram	ಮುಟ್ಟರ್
ryis	ಪರಿಚಯಾತ್ಮಕ
nlip	ವಿಶ್ಲೇಷಿಸಲು
nros	ವ್ಯತಿರಿಕ್ತ
hcof	ವಿವಸ್ತ್ರಗೊಳ್ಳು
tfif	ಪ್ರೋತ್ಸಾಹ
kroc	ಫುರ್ರೊ
hdum	ಜುದಾಯಿಸಂ
pses	ಸ್ವೀಕರಿಸುವವರ
plok	ಪೂರಕ
lyet	ಲೆನ್ಸ್
pwek	pegativeಸಂದರ್ಭದಲ್ಲಿ
kfas	ಕ್ಯಾನ್ಸರ್
pwen	ಪ್ಯಾದೆಯು
nrun	ಜ್ಞಾಪನೆ
clek	ಸೋರಿಕೆ
pcif	ಸಮರ್ಥನೆ
glas	ಸಂಕೀರ್ಣತೆ
zwit	ವಾಚಾಳಿ
kces	ಪೂರ್ಣತೆ
crem	ಚಿಲ್ಲರೆ
grap	ದೋಚಿದ
kwip	ಮಧ್ಯಸ್ಥಿಕೆ
dyut	ರಿಯಾಯಿತಿ
crus	ಕ್ರಮಾನುಗತ
gyet	ಜೇಡ್
gram	ಸಿಡುಗುಟ್ಟು
kyip	ಹಲ್ಲಿ
nyet	ಪ್ಯಾಡ್
crop	ಜಲಪಾತ
glon	ಗ್ಯಾಲನ್
mrok	ಸೊಳ್ಳೆ
fluc	ನಿರರ್ಗಳವಾಗಿ
dwic	ವಿಚಲನ
slec	ಪರಿಶೋಧಕ
srec	expiring
blut	ಕುಸ್ತಿಯಾಡಲು
myok	ಮೊಸಾಯಿಕ್
tlek	ಪ್ಲಗ್
nruk	ಸಾಂಕ್ರಾಮಿಕ
nwoc	henceforward
bjut	ಚಿಕ್ಕ
hges	ಗರ್ಭಧಾರಣೆಯ
twoc	ಕಿರಾಣಿ
kyos	ಕಮ್ಯುನಿಸ್ಟ್
mrek	ವಿಸ್ಮಯಗೊಳಿಸು
clip	ಪಶ್ಚಾತ್ತಾಪ
pwok	prosecutiveಸಂದರ್ಭದಲ್ಲಿ
dwot	ಸರ್ವಾಧಿಕಾರಿ
zyac	ಮುಂದಾಲೋಚನೆ
jlic	ಉಪಗ್ರಹ
slop	ಸ್ಲಿಪ್ಪರ್
ryip	ಪ್ರಮಾಣಾನುಗುಣ
psim	ಅಂದಾಜು
byet	ನಿರುದ್ಯೋಗಿ
cyop	ಹವ್ಯಾಸ
rwun	ಮಾನದಂಡ
blop	ಬಲ್ಬ್
syok	ಬೆಂಬಲಿಗ
klos	ಕ್ಲೋರಿನ್
lwot	ಕ್ಲೋರೈಡ್
byic	ಬ್ಯಾಕ್ಟೀರಿಯಾ
lyik	ಜಿಗುಟಾದ
blok	ಜೈವಿಕ
jlac	ಕಲ್ಪನೆಮಾಡು
bret	ಬೈಟ್
krif	ಸ್ರವಿಸುವಿಕೆಯನ್ನು
blet	ಬ್ಯಾಲೆ
nruc	ಮೂತ್ರ
tsus	ಬೆಳ್ಳುಳ್ಳಿ
dyak	ಮಧ್ಯಮವರ್ಗ
tcem	ಇಕ್ಕುಳ
cyoc	ಸವಾಲಿನ
trep	ಸ್ಟ್ರಾಬೆರಿ
dlun	ಮಾಲಿನ್ಯ
hlup	ಆಲ್ಬಮ್
hbep	ಬೇಸ್ಬಾಲ್
praf	ಕಡಲ್ಗಳ್ಳತನ
pwis	ಕೃದಂತ
grek	ಗ್ಯಾರೇಜ್
kruk	ಊರುಗೋಲು
hfof	ರಂಜಕ
rwut	ರಚನಾತ್ಮಕ
myam	ವ್ಯಾಯಾಮಶಾಲೆ
krec	ಕ್ರೇನ್
jras	ಗುತ್ತಿಗೆದಾರ
zrik	ತಿಳಿಸಲು
blam	ಬಾಲ್ರೂಂ
klip	ಕುಶಲಕರ್ಮಿಗಳ
hwef	ಪೇಯ್ಡ್
zlac	ಬಾಳೆ
gret	ಜನರೇಟರ್
lwuk	ಪಕ್ಕೆಲುಬಿನ
nyek	ನಿಕಲ್
blos	ಬಸ್
sles	ಸೆನ್ಸಾರ್
tlif	ಟೈಲ್
kses	ಸಾಸೇಜ್
mwot	ಟೊಮೆಟೊ
lyot	ಸ್ವಯಂ
tsom	ಪೊಟ್ಯಾಸಿಯಮ್
brut	ವಾಸ್ತವ
djap	ಬೀಜಗಣಿತ
hjok	ಸಾರ್ವತ್ರಿಕ
kfen	ಪರಿಕಲ್ಪನೆಗಳು
pcok	ಆಪ್ಟಿಕಲ್
bzut	ಅಲುಗು
syek	ನಿರುದ್ಯೋಗ
mruc	ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
bwas	ಬ್ರೌಸರ್
klif	ಕ್ಯಾಲ್ಸಿಯಂ
rwet	ದೂರಸ್ಥಭೂತಕಾಲದಲ್ಲಿ
srif	ಐತಿಹಾಸಿಕಉದ್ವಿಗ್ನ
hwem	ಸ್ಪೆಕ್ಟ್ರಮ್
syom	ಸೋಡಿಯಂ
tyos	ಟ್ರಸ್ಟೀ
jyic	ಒತ್ತೆಯಾಳು
hguk	ಬುರುಡೆ
dwun	ಸುಕ್ಕು
swip	ಶೀರ್ಷಕ
tlec	ಟಿಕ್
blaf	ಅತ್ಯಾಚಾರ
tsem	ನಾಸ್ತಿಕತೆ
mloc	ಮಾನಿಟರ್
gyot	ಷರತ್ತುಬದ್ಧ
trop	ತನಿಖೆ
rwap	ತ್ರೈಮಾಸಿಕ
hjep	ಲಿಂಗ
pyim	ಪ್ಲಾಟಿನಂ
dlon	ಉಭಯ
pcep	ಶ್ವಾಸಕೋಶದ
twuk	ಉಜ್ಜುವಿಕೆ
tyec	ಟ್ಯಾಗ್
syup	ಸೂಪರ್
trom	ಟ್ರಾಲಿ
nyip	ಸ್ಥಳೀಯವಾಗಿ
glis	ಗ್ಯಾಸೋಲಿನ್
gjik	ಮೂತ್ರಪಿಂಡ
hjos	ಉಪೇಕ್ಷಿತ
hjuc	ಲೂಟಿ
swek	ಕೆಲಸದನಡುವೆಯು
psek	ಆರ್ಸೆನಿಕ್
twok	ಅಂಕಿಅಂಶಗಳ
tsep	ಮಿಡತೆ
slos	ಸಮಾಜವಾದಿ
nwim	ಸಂವೇದನಾಸಾಕ್ಷ್ಯಾದಚಿತ್ತ
tlop	ಮೇಜುಬಟ್ಟೆ
trus	ವಿವಾದಾತ್ಮಕ
pwot	ಬಾರು
djot	ಕೆಸರು
nloc	ಸ್ನಬ್
mwon	ಮ್ಯಾಂಡರಿನ್
hjek	ಜಾಕಿ
crom	ಸಹಕಾರ
myon	ನ್ಯುಮೋನಿಯಾ
twec	ಸನ್ನಿವೇಶದಲ್ಲಿ
ryek	ರಾಕೆಟ್
dlic	ಲಾಭಾಂಶ
kwet	ಜಾರು
bwen	ಗೀಳು
plon	ಹಂಚಿಕೆಯಲ್ಲಿ
syon	ಪಂತ್
djis	ಡಿಜಿಟಲ್
byut	ಹೆಣ್ಣುನಾಯಿ
hyep	ಕಣ್ಣುಗುಡ್ಡೆಯ
dwon	ಕರ್ಣೀಯ
byis	ಅಜಾಗೃತ
brec	ಹುಬ್ಬು
cyec	ಸೀನು
hwop	ವ್ಯಾಟ್
clus	ಉಲ್ಲಾಸದ
kfun	ಆಕ್ಯುಪೆನ್ಸೀ
nwum	ಹಿಂದೂಧರ್ಮ
fyim	ನಿರಾಶ್ರಿತರ
cwos	ಷಟಲ್
tfoc	twinge
pwon	ಪ್ರೋಟೀನ್
sraf	ಸ್ವಯಂತೃಪ್ತಿ
hbom	ವಾಂತಿ
gyen	ಜೀನ್
drim	ಹೊಸವಿದ್ಯಾರ್ಥಿ
trem	accoutrements
tsup	ಚೂರು
slok	ಸಮಾಜಶಾಸ್ತ್ರ
kwoc	ಸ್ಕ್ವ್ಯಾಷ್
bwam	ಮತದಾರ
mlok	ಚಲನಶೀಲತೆ
kyen	ಪ್ರಾದೇಶಿಕ
hmop	ಚಲನೆಯಹತ್ತುವಿಕೆ
rwek	ಹಿಂದಿನ
kfup	ಘನ
grok	ಕ್ಯಾರೆಟ್
drap	entrap
lwis	ಆಣ್ವಿಕ
ksuc	ಅಕೌಂಟೆಂಟ್
tsop	ಗಬ್ಬು
kyok	ಸೌತೆಕಾಯಿ
nroc	ಕಾಮಕೇಳಿ
jlot	ದ್ರಾವಕ
psof	ಫಾಸ್ಫೇಟ್
hgif	ಉಲ್ಲಾಸ
kfim	ಕ್ಷಾರೀಯ
psos	ಜಿಮ್ನಾಸ್ಟಿಕ್ಸ್
pfen	ಪರಿಶೀಲನೆ
kcom	ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
krom	ಅಲ್ಪವಿರಾಮ
tluk	ತಪ್ಪಿಸಿಕೊಳ್ಳಲು
hyom	ಅಯೋಡಿನ್
nwuc	ಚಲನೆಯಇಳಿಯುವಿಕೆ
gjac	ಗರ್ಭಪಾತದ
pcom	ಪಾಡ್
dzic	ಡಿಸೈನರ್
grun	ನಿಮ್ಮನ್ನು
dzot	ದಾನಿ
hzek	ಮ್ಯಾಂಗನೀಸ್
kfot	ಕೀಬೋರ್ಡ್
jlas	ವಿಶ್ವಾಸಾರ್ಹವಲ್ಲ
lyim	ಗಣ್ಯ
jyen	ಯೆನ್
pcaf	ಆವರಣದ
rwip	ರಗ್ಬಿ
blip	ಬೈಬಲ್
kyoc	ಫಲೋತ್ಪಾದನೆ
lyon	ಹುಣ್ಣು
flis	ಮಣಿದ
nrif	ಮೆಲ್ಲಗೆ
kfam	ಕ್ವಾಂಟಮ್
swes	ಸ್ವೆಟರ್
lwon	ವಿಕಾಸಾತ್ಮಕ
drec	ಛೇದನ
gjap	ಸ್ಪಾ
lyec	ರೇಖೀಯ
tyom	ಅಸಾಂಗತ್ಯ
pwuk	superessiveಸಂದರ್ಭದಲ್ಲಿ
flaf	ಆಲ್ಫಾ
myim	ಪ್ರತಿರಕ್ಷಣಾ
pcek	ಅಪಹರಣ
bjac	ಬ್ರೆವರಿ
bzac	ಸಂಕ್ಷೇಪಗೊಳಿಸಿ
bzak	ಕಾಲ್ಚೀಲದ
twes	ದೂರದರ್ಶನ
dwut	ಸಾಕ್ಷ್ಯಚಿತ್ರ
ksom	ಬ್ರಹ್ಮಾಂಡದ
lyis	ಅರಣ್ಯ
lwim	ಅಲ್ಯೂಮಿನಿಯಂ
ksok	ಜಾತಕ
sruc	ಚುರುಕುಗೊಳಿಸಲು
dlif	ಡಾಲ್ಫಿನ್
byik	ಕೊಲೆಗಾರ
tfec	ಲೇಖನ
hjaf	ಸಸ್ತನಿ
ryok	ಪ್ರೋಟೋಕಾಲ್
dwis	ಡೈಆಕ್ಸೈಡ್
jlon	ಕೊಲೊನ್
brus	ಆಡಳಿತಶಾಹಿ
gjak	ಗ್ಯಾಲಕ್ಸಿ
lyip	ವೈದ್ಯಕೀಯ
ryem	ರೇಡಿಯಂ
href	ಅಪರೂಪವಾದ
prok	ರೆಫ್ರಿಜಿರೇಟರ್
slep	ಕಾಮುಕ
dret	ಪುನರಾವರ್ತನೆ
kluk	ಪುರಾತತ್ವ
dlis	ವೈಲಕ್ಷಣ್ಯವನ್ನು
kfip	ಸ್ವೀಕಾರಾರ್ಹವಲ್ಲ
mlec	ಮಸಾಜ್
pfif	ವಿವರಣೆಯನ್ನು
nrec	ಸಂವೇದನಾ
pfet	ಚಿಗುರೆಲೆಯು
hzoc	ಆಧಾರವಾದ
dlam	ಆದ್ದರಿಂದ
nlec	ಮಾನವಶಾಸ್ತ್ರ
kluc	ಟೇಸ್ಟಿ
dyet	ಸೆಡಾನ್
tyif	ಸಕರ್ಮಕ
krus	cower
nluc	ಸೂರ್ಯಕಾಂತಿ
lyun	ಅಯಾನು
zrot	ಕೈವರ್ತನೆ
ksif	ಸುಳ್ಳೆಂದು
psif	ಹೊರಸೂಸುವಿಕೆ
crup	ಅತಿಕ್ರಮಣ
fret	ಶೋಧಕ
grut	ಇನ್ವರ್ಟ್
ksec	ಸಹಪಾಠಿ
jric	ವಿವರದಲ್ಲಿ
mrop	ಮೈಕ್ರೋವೇವ್
srus	ಪದಚ್ಯುತಗೊಳಿಸುವ
gyas	ಕೇಶವಿನ್ಯಾಸಕಿ
floc	ಜಾನಪದ
plek	ಕ್ಯಾಪಿಲರಿ
nwop	ಪೃಷ್ಠದ
nrom	ನಿಯಂತ್ರಕ
twos	ಭಯೋತ್ಪಾದನೆ
lwok	ಘೋಷಣೆ
dwet	ಹೆಚ್ಚುವರಿಸಮಯ
slem	ಸಂಸ್ಕರಿಸು
grip	ಗ್ರಿಲ್
gwas	ಅದ್ಭುತ
kwok	ಕೋಬಾಲ್ಟ್
gwon	ಓಟ್
hdop	ಚಲನೆಯupriver
glam	ಗುದದ
bwot	ಗೋವಿನ
bren	ಕರುಳಿನ
byot	ವೀಡಿಯೊ
bjik	ಬಹಿಷ್ಕಾರ
kwim	ರಸಪ್ರಶ್ನೆ
cwek	ಹಾಕಿ
grif	ಗೆರಿಲ್ಲಾ
hgem	ಮೆಗ್ನೀಸಿಯಮ್
hyes	ಅರಿವು
fram	ಫಾರ್ಮಸಿ
nwos	ಹೆಬ್ಬಯಕೆಯಿಲ್ಲದ
ryap	ಮರುಹೊಂದಿಸಿ
cwim	ವಿಶ್ವಾಸಾರ್ಹತೆ
klep	ಕೆಲ್ಪ್
psec	ಹಣವನ್ನು
djic	ವಿಶ್ವಾದ್ಯಂತ
kfut	ಕರ್ಫ್ಯೂ
crep	ಹ್ಯಾಂಬರ್ಗರ್
frim	ಪ್ರಮೇಯ
gjas	ಬೆಂಕಿಹೊತ್ತಿಸಬಲ್ಲದು
hdef	ಡೆಬಿಟ್
ryum	ಯುರೇನಿಯಂ
pluk	ನಿರ್ಣಯಿಸಲು
krop	ಸಂಘಟಿಸಲು
nraf	ತೆರಿಗೆದಾರರ
tyes	ಸಮಗ್ರ
plip	ಅಭಿಪ್ರಾಯಕೊಡು
hgom	ಗಾಮಾ
hgus	ಗುಣಾಂಕ
cwuc	ಹೀಟರ್
zret	ಕಳೆಯಿರಿ
nles	ವಿಶ್ಲೇಷಕ
trof	ಅಕರ್ಮಕ
hmof	ಮಾಲ್
hzim	ಬಿಸ್ಮತ್
dzac	ಡಿನ್ನರ್
psok	ಪೋಸ್ಟ್ಕಾರ್ಡ್
blon	ಒಂದೆಡೆ
djet	ದಾರಿಬಿಟ್ಟುಹೋಗು
ksum	ಷೇರುದಾರ
mrup	ಸೂಕ್ಷ್ಮಜೀವಿ
clif	ಹೆಲಿಕ್ಸ್
cloc	ಆಕೃತಿ
tfes	ಆಹಾರಒದಗಿಸುವವ
gjis	ಜೀನ್ಸ್
jren	ಜೋಡಣೆ
tlep	ಡೇಟಾಬೇಸ್
kcup	ಕೂಪನ್
glot	ವೋಲ್ಟೇಜ್
glut	ಕ್ಯಾಲ್ಕುಲೇಟರ್
srep	ಸೈಬರ್ಸ್ಪೇಸ್
nwes	ಹೂಡಿಕೆದಾರರ
ksef	ಎಕ್ಸ್ರೇ
bzis	ವೀಸಾ
frut	ಮೂಲಸೌಕರ್ಯ
nyuk	ಮಿಂಚುಹುಳು
dyik	ಡಿಟೆಕ್ಟರ್
plec	ಸಂಯೋಜನಾ
brom	ಬ್ರೋಮಿನ್
plop	ಪಲ್ಲಾಡಿಯಮ್
zlik	ಸಿಲಿಕಾನ್
flut	ವೋಲ್ಟ್
ksop	ಕಾಸ್ಮೆಟಿಕ್
gjun	ಅಂದಗೊಳಿಸುವ
kfok	ಬಿಕ್ಕಳಿಸುತ್ತಾ
hpof	ಪಾಪ್ಕಾರ್ನ್
hzuk	ಮೃಗಾಲಯದ
nyoc	ಅರ್ಥವನ್ನು
jwak	ಯೋಗ
brim	ಬೇರಿಯಂ
kles	ತಲೆಕಡಿ
mwam	ಹೌದು
fwik	ಸುಡುಮದ್ದಿನ
djas	ಜಾಝ್
dyim	ಆಡಿಯೋ
tsum	ಟಂಗ್ಸ್ಟನ್
drip	ಚೆಂಡುಪುಟಿಸಿ
lyaf	ಜೀವನಾಂಶ
prom	ಪ್ರೋಗ್ರಾಮರ್
nrup	ಇನ್ಪುಟ್
hfes	ಅನುವರ್ತಕ
rwaf	ಸೇವಂತಿಗೆ
