hnit	ඉන්ෆිනිටිව්
hqit	විකිරණශීලීතාවය
kxim	කිලෝග්රෑම්
hxen	renter
hxot	සීලබ්බතපරාමාසයෙන්
kyif	Copier
fwet	පැවතිමඅගය
txet	උපකුලකය
hs6n	අනුක්රමික
hxet	eavesdrop
xrat	හෙපටයිටිස්වෛරසය
hqan	impound
hr6t	iridium
bxat	කලාපපළල
dxet	ඩෙස්ක්ටොප්
hxis	ඝාතීය
hxok	මූලස්ථානය
hxek	misplace
srem	cerium
hp6t	partitive
pxik	partitiveනඩුව
kxet	කැසට්
pruk	සුපිරිවෙළෙඳසැල
hvit	ධෛර්යයලැබේවායි
xlin	නොබැඳි
frip	ගුප්තකේතනය
hvep	overpay
hxon	අතළොස්සට
kxit	උපරිම
hqin	සම්මන්ත්රණය
tr6n	ස්ටීරියෝ
ht6n	ගාංචු
hvat	ඉදිරියේදීපැවැත්වීමටනියමිත
sl6s	සෙල්සියස්අංශක
hn6n	නියොන්
ts6t	තත්යකාලය
hvin	ක්රමවත්
pxat	පුවත්පතක
myoc	මොඩියුලය
ps6s	පැස්ටා
bwek	බෑග්
dlok	deluxe
fraf	ගිනිපවුර
hr6k	පුරාවස්තුවක්
txat	දිවාආහාරවේලාව
hqon	සිහින්වකැපූළුෑනූ
pxun	ප්ලූටෝනියම්
ks6n	සේවාපරිගණකයක්
slef	සෝපානය
xrit	ජීවිතආරක්ෂකයා
hvut	overcrowd
xrim	යිට්රියම්
hx6t	augmentative
hqum	පරිශීලකනාමය
hl6n	සොරාගත්බැවිනි
gron	ආගන්
pxan	ප්රවර්ධන
hvac	පිඟන්සෝදන්නා
xlan	ගෝලීයකරණය
txon	තරංගආයාමය
xrik	ප්රතිචකී්රකරණ
hxap	ගමන්මල්ල
hxac	නැවතආරම්භ
xyat	හෙපටයිටිස්
cwep	ටිකනොකියාම
hxos	torus
txif	කරනුලබේ
qlat	realtor
txot	මැදභාගයේසරත්සෘතුවේ
hxam	මිලිග්රෑම්
pxis	පික්සල්
pwif	පෙරදසුනෙහි
txam	ටැන්ටල්
myek	තාපගතික
hbop	බලෙන්ඇතුල්වන්න
hqot	සංශුද්ධද්රව්යයක්
xlic	රෝදපුටුවකට
gxit	ජනසංහාරය
hvan	ගිනිනිවීම
glim	ගැලියම්
pfop	මතුවන
hzum	සර්කෝනියම්
xlon	ක්ෂණිකඇමතුම්
qlin	එකක්අනිකටසම්බන්ධව
kxam	ස්කැන්ඩියම්
blim	බෙරිලියම්
kxik	වින්යාස
nr6n	වසයෙන්කි්රයාකාරී
hpef	predicative
hruf	රවුටරය
kxan	ක්රමාරෝපිත
hxic	මාර්ගෝපදේශය
xlip	වොලිබෝල්
dyek	දෝශනිරාකරණවාර්ථා
hxop	අත්ඔරලෝසුව
qrot	නියුට්රෝන
nwip	නයෝබියම්
hs6t	නේවාසිකාගාරයඅලූත්වැඩියාකිරීමේ
grem	ජර්මේනියම්
tles	metalloid
hp6k	prolativeනඩුව
qyin	ජෛවවිවිධත්වය
txak	ප්රතිජීවකඖෂධ
mlun	immobilization
txan	ඇක්ටිනියමයක
xran	ගගනගාමී
dres	විහිදුවා
tr6t	පාරභෞමික
hk6t	අෂ්ඨක
hxus	විවෘතමූලාශ්ර
xlat	crackpot
mraf	මැරතන්
ts6n	මැදභාගයේවසන්ත
ht6s	ඕටිසම්රෝගය
nlif	අයනීකරණය
txut	සංගණ්යබව
hm6n	විමෝචනය
kxis	පසුරු
xrin	ලබන
xren	නැවතයොමුකිරීම
bxak	පිටුසලකුණුකිරීම
pfos	ගැතිවැකිය
hvis	මුහුණු
hd6n	හරය
brum	අධ්යක්ෂමන්ඩලකාමරය
hqis	ස්වෝත්තමවාදී
hk6n	සම්පාදනය
xyit	මාරුයතුරු
xyin	එක්දෙවන
hxun	යැපෙමින්අන්ත
hvas	චරිත
glok	බ්ලොග්
hvak	වක්රද
pxit	ipලිපිනය
hvet	එහාපැත්තේ
xram	සැෆ්මල්
hc6n	obviousness
qran	කුරාන
zyen	සෙනෝන්
hqas	ධුරයත්,
bzas	තර්කණයෙන්
hj6n	මානවනොවන
hnof	nonremittal
txas	සම්පාදකයින්
hbum	බුද්ධාගම
ts6s	අඬදබර
pxin	අමුද්රව්ය
hr6n	සලාක
hxim	මැදභාගයේගිම්හාන
dxit	මැදභාගයේශීත
hxaf	කැණීම
nlus	ශාක
txap	තත්වතීරුව
vrit	ghostwriter
kxak	පිස්සුනටනවා
bxin	මිනිස්සිරුර
hqik	වැහිකබාය
hxes	හර්ට්ස්
hxif	hypnothize
xras	පැයකටවරක්
pl6k	paralegal
dxat	rashness
hxip	ප්රතිදේහ
vrat	කොටකලිසම්
hqek	පියුරු
qrit	ධ්රැවීයතාව
pxot	තැපැල්කාර්යාලය
hxom	නිසරුලිපි
hqic	විචාරකයෙකු
lwun	නිල්ජීන්
hp6n	මේරීම
dxan	අනුයුක්ත
xrak	නළුභූමිකාව
dxak	රියඅනතුරකින්
hven	කන්ටේනර්
mwap	විකටතීරු,
qlan	වර්ණඅන්ධතාවය
xros	undressing
srom	ප්රදර්ශනාගාරය
hc6t	කතාබහකරමින්
qrat	මුණින්අතට
hn6t	නිෂේධනයක්
hqet	වෙබ්අඩවිය
fres	දීමටඅවශ්ය
froc	තැලීමට
xlak	අධිසබැඳුමක්
vlat	volubility
dvan	යානයෙන්
gxin	යටත්
ryes	පිළිගැනීමේ
kxot	සම්බන්ධක
xyan	සීමානීර්ණය
vlan	,වෙළඳදැන්වීම්
ryom	තෝරියම්පරමාණුවක්
hluf	මහලුවයස
hquk	එන්නත්
lyum	thuliumපරමාණුවක්
tyem	terbiumපරමාණුවක්
hp6m	praseodymium
txic	මුල්පිටුව
mros	,මාකුඹුර
dyam	rhodiumපරමාණුවක්
pc6n	නඩුඅංකය
nyos	එනලිපි
pyek	ප්රක්ෂේපණ
kxon	ක්රිප්ටෝන්
hxuc	මුදවාගැනීම
qrik	කේන්ද්රනඩුව
xwin	නොදැනුවත්කම
kxic	නිවන
hvot	හරස්කාර්යබද්ධගැලීම්සටහන
dxot	යෝගට්
hqut	ලොග්අවුට්
pxen	දෙපාර්තමේන්තු
drok	ඉලක්කයකොකා
flon	ජංගමදුරකථන
txos	මධ්යමහඬ
hqok	අනියම්නඩුව
xwik	රෝගියානඩුව
hx6n	prehodiernal
txik	දබරැඟිල්ල
hqen	යවන්නාගේ
mlap	අනිෂ්ටමෘදුකාංග
hvun	suasion
hvon	දිරා
vran	තැපැල්වාහක
pfes	මහාචාර්ය
pwip	කවියෙකු
hqam	ව්යායාමය
gxat	නීත්යානුකූලභාවය
ks6t	රෝගකාරක
vrin	සාමාජිකයන්බඳවාගැනීමේ
kxip	පටයක්මණ්ඩලය
sr6n	disapproving
vlit	විශ්ලේෂණ
tyup	නගරාසන්නයේ
mrom	morpheme
xron	headphone
gxak	වියදම්අධික
hrof	ට්රෝජන්අශ්වයා
xlas	අංශභාග
dzet	redecorate
txac	භාර
xrot	භාවිතයටනොගත්
txis	තිතක්අනුකෘති
syif	SIඒකක
xrac	පුදුමහිතෙන
brif	ද්විමයඅගය
dlos	බහුවිධනඩුව
txun	ගුණාංග
dvat	නරකගුණැති
psom	මුල්වරටඅත්
gjek	නම්වෙනත්
nlem	ස්කන්ධඒකකය
qret	සිල්ලරගබඩා
txip	ත්රිත්වලක්ෂයේ
dlek	තනිතනිව
lwut	ගලනවත්මන්
dxis	නාටකාකාරලෙස
hs6m	සීසියම්
vlak	රේල්කාර්
hn6m	netium
kxap	කාඩ්බෝඩ්
bxan	පිටත්වන්නේ
myem	මැයිමාසයවන
gxik	සිවිල්අයිතිවාසිකම්
hxoc	ගුවන්හමුදා
xrok	දාන්නම්
kr6t	තිරපිටපතක්
txok	ස්වයංක්රීයව
hxep	ස්කේට්බෝඩ්
srop	ස්මාර්ට්ජංගමදුරකථනය
pxak	CapsLock
hk6k	ජනසංගීතය
hl6k	eulersඅංකය
pyom	පොලෝනියම්පරමාණුවක්
xyam	තැලියම්පරමාණුවක්
hvic	ආක්රමණික
lyok	locativeනඩුව
xlot	තට්ටුනිවාස
txen	ෙල්ඛනගතකිරීම
kxac	ප්රතිප්රහාරය
qrak	වැඩවර්ජන
hbup	පිහිනුම්තටාකය
txuk	කෙටිපරිපථයකි
tsef	ෙට්පර්ඩ්
bxit	වෙබ්සත්කාරක
ksem	කියවීමටපමණක්
byim	රුබිඩියම්පරමාණුවක්
hvam	වැනේඩියම්පරමාණුවක්
lw6n	ලැන්තනම්
frum	ෆ්ලුවොරීන්පරමාණුව
nyom	neodymium
mlom	multalඅංකය
kxas	පුද්ගලිකව
xret	terabyte
hs6k	සෙවුම්යන්ත්රය
frus	corroding
gxan	galaxyස්ත්රීපුරුෂ
vlas	vocalizations
glet	ගෑස්අභිබවමින්
hvim	ධාවන
bxip	දෛශිකමය
qrin	තරුස්ත්රීපුරුෂ
bvak	abessiveනඩුව
pxon	අනුපයෝජ්ය
dvik	adessiveනඩුව
dvek	agentiveනඩුව
hlef	නියෝජිතයාකොකා
kwek	නඩුව
kxen	පොදුස්ත්රීපුරුෂ
ht6m	සඳහනක්ආකෘතිපත්රය
tsuf	ට්රාන්ස්ඉලක්කම
hf6n	fining
tc6t	සෘජුවස්තුවක්
gvik	ergativeනඩුව
gxon	කට්ටි
ksep	ධාරකෙය්
vyin	සිනමාහල
pyos	කර්මකාරක
hnef	පරිමිතක්රියාපදයේ
xwit	ප්රාථමිකඅරමුණ
hqim	gnomicමනෝභාවය
jlak	සාමාන්යයීකරණය
vrik	අවසන්අංශු
qyan	අතාත්විකඒකකය
kxaf	ආලෝකයේවේගය
xyic	තතුබාන
qyit	තීරනාත්මකඅවස්ථාවක
hvek	evitativeනඩුව
bvik	subessiveනඩුව
hzes	ආවේශනඩුව
prus	පරිගණකවෛරසය
ples	ප්රොසෙසරයක්
pxif	පොලිස්නිලධාරියා
dvak	lativeනඩුව
brun	රටේසංචාරයකට
tsi_k	antessiveනඩුව
tyum	rutheniumපරමාණුවක්
vyak	adverbialනඩුව
pxim	අගමැති
syum	ස්ට්රොන්ටියම්පරමාණු
sy6n	suspiciousness
hy6n	ස්ත්රීපුරුෂභාවයසජීවීකරණය
pxac	සංවේදීප්රීතිය
vlin	වාහනස්ත්රීපුරුෂ
qwin	ඛනිජස්ත්රීපුරුෂ
hr6s	යොමු
tf6n	ටෝනර්
xris	පරිශීලකඅතුරුමුහුණත
hw6n	දිවුරුම්දීමේ
xlen	වාචිකනාමපදයක්
pyec	පැතුරුම්පත්
vlim	අථත්යමතකයසඳහා
bres	වදන්සැකසුම්
hqip	ක්ලවුඩ්
vlic	අථත්යයන්ත්රයක්
pfam	spammer
dyap	දෙවනභාෂාව
txek	අර්ථදැක්වීමමූල
dxen	තොරතුරුකැණීම්
byip	ව්යාපාරිකපුද්ගලයා
hs6c	ආත්මවිශ්වාසය
txim	සඳහන්
hb6t	සිද්ධියවෙනස්
hdem	ඩොමේන්නාමය
dxon	විවිධඅවස්ථාවට
lwaf	flashධාවකය
sl6t	crastinalනොසන්සුන්කාරී
xyik	නම්යඩිස්ක
fyif	නොකැමැත්තෙන්හඬ
bvin	විශ්වයස්ත්රීපුරුෂ
hm6p	මව්
tfip	අධිෂ්ඨානපූර්වකවක්රියාපදයෙන්
jlen	ප්රදේශවාසීන්ටස්ත්රීපුරුෂ
xrap	ඉරිසහිත
tc6n	පර්යේෂණස්ත්රීපුරුෂ
sl6n	කලාත්මකස්ත්රීපුරුෂ
xrek	රෝගියාකොකා
xwan	වියුක්තස්ත්රීපුරුෂ
dxif	වීඩියෝසම්මන්ත්රණ
dyip	වක්රකතාව
zrek	exocentricනඩුව
hvuk	අශෝභන
xwat	perfectiveපසුගිය
hr6m	rhenium
txaf	මුලපුරනු
hmef	පවසනවාවෙනුවටක්රියාපදයේ
tx6t	පෙළසකසනය
txes	සාමූහිකනාමපදයක්
bvat	බැලුවොත්
bvuk	absolutiveනඩුව
ry6t	රේඩියනය
vlis	අතථ්යයථාර්තය
qren	ග්රහස්ත්රීපුරුෂ
gvak	ව්යාකරණනඩුව
bxok	තට්ට
mrum	පරිගණකවැඩසටහනක්
ps6t	මෙහෙයුම්පද්ධතිය
hfom	phoneme
tlem	පමණක්හැකිමතකයේකියවීමට
pwam	චරපුරුශමෘදුකාංග
kfif	මූලිකbenefactive
qwit	තාර්කිකත්වය
nlaf	ස්ථාපනය
nwok	සංඝටිතනඩුව
dzas	dissatisfy
swuk	අතිමහත්නඩුව
syos	සාරාංශගත
kr6n	විදුලිධාරාවක්
dvin	සජීවීස්ත්රීපුරුෂ
pxom	propositiveමනෝභාවය
vris	පරස්පරයහඬ
rwos	දූවිලි
dr6t	distractor
ht6k	විදුලිසංදේශ
slaf	සමාජජාලකරණය
lyuk	බලයටවගන්තිය
qras	උසස්
ty6n	teminal
gwet	ඉක්මනින්අනාගතකාලය
hp6s	applicativeහඬ
tsof	antipassiveහඬ
ht6p	continutiveඅංශයක්
hn6f	necessitativeමනෝභාවය
pfip	උදාසීනකෘදන්ත
glap	මෙවලම්තීරුව
sy6k	පැවැත්මටවගන්තිය
qyat	දීප්තතීව්රතාව
hy6t	ව්යාකරණවස්තුව
vyan	උච්චාරණය
sluf	singulativeඅංකය
dvit	අධිකකාලය
qyak	තනිපියවරක්රියාපදයේ
bzik	භෞතිකවිද්යාව
xlet	උසස්ම
hqap	වර්තමානකෘදන්ත
qwat	ද්රව්යයේප්රමාණය
qyik	සම්බන්ධකඅංශු
sr6t	සුපිරිඅවධිතරල
hfem	epentheticmorpheme
tl6t	දුරස්ථඅනාගතකාලය
mrif	මයික්රෆෝනය
pcuk	postpositionalනඩුව
tfim	සසම්භාවීප්රවේශමතකය
fwim	ethium
ly6t	allocutiveගිවිසුම
hvap	අනුචලනතීරුව
hfep	frequentativeඅංශයක්
bvan	distributiveසර්වනාමයකි
fyun	ඉපිලුම්ලක්ෂ්යසංඛ්යාව
xyas	මකමින්
hvif	ක්රියාපදයඇමිණීය
xyis	පසුගියඋදාසීනකෘදන්ත
tl6n	මධ්යමසැකසුම්ඒකකය
tfok	locativeදිශාවනඩුව
qwan	නිතරමවිමසනප්රශ්න
