hnit	รูปกริยาในภาษาอังกฤษ
txet	เซตย่อย
hs6n	ลำดับ
hxet	ดักฟัง
xrat	การตัดผม
hqan	ยึด
hr6t	อิริเดียม
bxat	แบนด์วิดธ์
dxet	เดสก์ทอป
hxis	ที่ชี้แจง
hxok	สำนักงานใหญ่
hxek	ใส่ผิดที่
srem	ซีเรียม
hp6t	ซึ่งแบ่งแยก
pxik	ซึ่งแบ่งแยกกรณี
kxet	เทปคาสเซ็ท
pruk	ตลาด
hvit	จิตตานุภาพ
xlin	ออฟไลน์
frip	การเข้ารหัสลับ
hvep	จ่ายเงินมากเกินไป
hxon	ประสาน
kxit	เพิ่ม
hqin	สัมมนา
tr6n	ระบบเสียงสเตอริโอ
ht6n	สปริง
hvat	ที่จะเกิดขึ้น
sl6s	เซลเซียส
hn6n	ธาตุนีอ็อน
ts6t	จริงเวลา
hvin	เพรียวลม
pxat	แผงหนังสือ
myoc	โมดูล
ps6s	พาสต้า
bwek	กระเป๋าเอกสาร
dlok	หรูหรา
fraf	ไฟร์วอลล์
hr6k	สิ่งประดิษฐ์
txat	เวลาอาหารกลางวัน
hqon	ออริกาโน
pxun	พลูโตเนียม
ks6n	เวิร์กสเตชัน
slef	บันไดเลื่อน
xrit	ทหารรักษาพระองค์
hvut	หนาแน่น
xrim	อิตเทรียม
hx6t	ซึ่งเพิ่มขึ้น
hqum	ชื่อผู้ใช้
hl6n	พนักงานขาย
gron	อาร์กอน
pxan	โปรโมชั่น
hvac	เครื่องล้างจาน
xlan	โลกาภิวัตน์
txon	ความยาวคลื่น
xrik	รีไซเคิล
hxap	กระเป๋าเป้สะพายหลัง
hxac	เริ่มใหม่
xyat	โรคตับอักเสบ
cwep	เงินเดือน
hxos	ฐานรองดอก
txif	อักษร
qlat	นายหน้า
txot	กลางฤดูใบไม้ร่วง
hxam	มิลลิกรัม
pxis	พิกเซล
pwif	ภาพตัวอย่าง
txam	แทนทาลัม
myek	อุณหพลศาสตร์
hbop	หยุดใน
hqot	ตัวละลาย
xlic	เก้าอี้เข็น
gxit	การทำลายชนชาติ
hvan	ดับเพลิง
glim	แกลเลียม
pfop	ป๊อปขึ้น
hzum	เซอร์โคเนียม
xlon	สายด่วน
qlin	ไม่เชิงเส้น
kxam	แคน
blim	เบริลเลียม
kxik	กำหนดค่า
nr6n	เซลล์ประสาท
hpef	ที่ใช้เป็นส่วนของกริยา
hruf	เราเตอร์
kxan	ปัจจัย
hxic	ข้อแนะนำ
xlip	วอลเลย์บอล
dyek	การแก้ปัญหา
hxop	นาฬิกาข้อมือ
qrot	นิวตรอน
nwip	วัตถุไนไอเบียม
hs6t	ห้องน้ำ
grem	เจอร์เมเนียม
tles	กึ่งโลหะ
hp6k	prolativeกรณี
qyin	ความหลากหลายทางชีวภาพ
txak	ยาปฏิชีวนะ
mlun	ตรึง
txan	แอกทิเนียม
xran	มนุษย์อวกาศ
dres	ขยาย
tr6t	ต่างดาว
hk6t	octet
hxus	เปิดแหล่ง
xlat	สติไม่สมประกอบ
mraf	มาราธอน
ts6n	กลางฤดูใบไม้ผลิ
ht6s	ความหมกหมุ่น
nlif	ทำให้เป็นละออง
txut	ความเด่น
hm6n	เปล่ง
kxis	คลิปศิลปะ
xrin	การผ่าตัด
xren	เปลี่ยนเส้นทาง
bxak	ที่คั่นหนังสือ
pfos	มือโปรวลี
hvis	อุจจาระ
hd6n	ตัวหาร
brum	ห้องประชุมคณะกรรมการ
hqis	รักชาติ
hk6n	รวบรวม
xyit	เปลี่ยนสำคัญ
xyin	หนึ่งวินาที
hxun	subsisting
hvas	บทบาท
glok	บล็อก
hvak	เลี้ยวลด
pxit	IPที่อยู่
hvet	ต่อไปไปยัง
xram	ดอกคำฝอย
hc6n	ความชัดเจน
qran	คัมภีร์โกหร่าน
zyen	ธาตุสีน็อน
hqas	สาบานใน
bzas	หมดอาลัยตายอยาก
hj6n	ไม่เป็นมนุษย์
hnof	อย่างปัดๆ
txas	เครื่องชง
hbum	พุทธศาสนา
ts6s	การทะเลาะ
pxin	ส่วนผสม
hr6n	ปันส่วน
hxim	กลางฤดูร้อน
dxit	ฤดูหนาวกลาง
hxaf	ขุดค้น
nlus	พืชบ้าน
txap	สถานะบาร์
vrit	นักเขียนนิรนาม
kxak	คนโง่รอบ
bxin	เป็นมนุษย์ร่างกาย
hqik	เสื้อกันฝน
hxes	เฮิรตซ์
hxif	สะกดจิต
xras	ทุกๆชั่วโมง
pl6k	ทนาย
dxat	ความหุนหันพลันแล่น
hxip	แอนติบอดี
vrat	กางเกงขาสั้น
hqek	การก่อร่างใหม่
qrit	กระแสไฟฟ้า
pxot	เสาสำนักงาน
hxom	ขยะอีเมล
hqic	ผู้วิจารณ์
lwun	สีน้ำเงินกางเกงยีน
hp6n	การสุก
dxan	การแนบ
xrak	นักแสดงชายบทบาท
dxak	อุบัติเหตุ
hven	ภาชนะบรรจุ
mwap	ตลกเพิก
qlan	สีตาบอด
xros	เสื้อผ้า
srom	โชว์รูม
hc6t	การพูดคุย
qrat	กลับหัวกลับหางลง
hn6t	การยับยั้ง
hqet	เว็บเว็บไซต์
fres	ระดมเงินทุน
froc	การปลอม
xlak	เชื่อมโยงหลายมิติ
vlat	volubility
dvan	ฝั่ง
gxin	การชนะ
ryes	พนักงานต้อนรับ
kxot	การเชื่อมต่อ
xyan	การปักปันเขต
vlan	ผู้ลงโฆษณา
ryom	ทอเรียมอะตอม
hluf	แก่อายุ
hquk	ฉีด
lyum	thuliumอะตอม
tyem	เทอร์เบียมอะตอม
hp6m	praseodymium
txic	บ้านหน้า
mros	คนขับรถยนต์
dyam	โรเดียมอะตอม
pc6n	การทดลองจำนวน
nyos	กล่องจดหมาย
pyek	เครื่องฉาย
kxon	คริปทอน
hxuc	ช่วยเหลือ
qrik	ส่วนกลางกรณี
xwin	การขาดประสบการณ์
kxic	เครื่องดับเพลิง
hvot	ผัง
dxot	โยเกิร์ต
hqut	เข้าสู่ระบบออก
pxen	แผนก
drok	เป้าหมายไก
flon	โทรศัพท์มือถือโทรศัพท์
txos	กลางเสียงพูด
hqok	เอียงกรณี
xwik	ผู้ป่วยกรณี
hx6n	hodiernalก่อน
txik	ดัชนีนิ้ว
hqen	ผู้ส่ง
mlap	มัลแวร์
hvun	suasion
hvon	สวมใส่ออก
vran	อีเมลผู้ให้บริการ
pfes	ศาสตราจารย์
pwip	กวี
hqam	งานออก
gxat	ถูกต้องตามกฎหมาย
ks6t	เป็นเหตุแห่ง
vrin	ผู้รับคนใหม่
kxip	คลิปคณะกรรมการ
sr6n	ซึ่งไม่พอใจ
vlit	ประเมิน
tyup	ชานเมือง
mrom	หน่วยคำ
xron	หูโทรศัพท์
gxak	แพง
hrof	โทรจันม้า
xlas	เป็นอัมพาต
dzet	ประดับใหม่
txac	ยอมจำนน
xrot	ไม่ได้ใช้
txis	จุดมดลูก
syif	ศรีหน่วย
xrac	อย่างแปลกใจ
brif	ค่าไบนารี
dlos	เป็นกิริยาช่วยกรณี
txun	คุณลักษณะ
dvat	ไม่ดีบรรเทา
psom	เป็นครั้งแรกมือ
gjek	ถ้าที่อื่น
nlem	หน่วยของมวล
qret	ขายปลีกเก็บ
txip	สามจุด
dlek	เป็นรายบุคคล
lwut	การไหลหมุนเวียน
dxis	เป็นคุ้งเป็นแคว
hs6m	ซีเซียม
vlak	รถไฟฟ้า
hn6m	Nerium
kxap	กระดาษแข็ง
bxan	แยกย้ายกันไป
myem	เดือนพฤษภาคม
gxik	พลเรือนสิทธิมนุษยชน
hxoc	อากาศบังคับ
xrok	เพื่อนร่วมงาน
kr6t	ภาพหน้าจอ
txok	อัตโนมัติ
hxep	สเกตบอร์ด
srop	มาร์ทโฟน
pxak	หมวกล็อค
hk6k	พื้นบ้านเพลง
hl6k	ออยเลอร์จำนวน
pyom	พอโลเนียมอะตอม
xyam	แทลเลียมอะตอม
hvic	ที่บุกรุก
lyok	เกี่ยวกับตำแหน่งกรณี
xlot	แฟลต
txen	ปรับย้อนหลัง
kxac	ตอบโต้
qrak	ผู้ทำลายการหยุดงานประท้วง
hbup	ว่ายน้ำสระ
txuk	สั้นวงจรไฟฟ้า
tsef	เรียว
bxit	เว็บเจ้าภาพ
ksem	อ่านเท่านั้น
byim	รูบิเดียมอะตอม
hvam	วานาเดียมอะตอม
lw6n	แลนทานัม
frum	ฟลูออรีนอะตอม
nyom	นีโอดิเมียม
mlom	multalจำนวน
kxas	ปรับแต่ง
xret	เทราไบต์
hs6k	ค้นหาเครื่องยนต์
frus	กัดกร่อน
gxan	กาแล็กซีเพศ
vlas	การเปล่งเสียง
glet	แก๊สที่เหยียบ
hvim	Runtime
bxip	บิตแมป
qrin	ดาวเพศ
bvak	abessiveกรณี
pxon	ใช้งานไม่ได้
dvik	adessiveกรณี
dvek	agentiveกรณี
hlef	ตัวแทนไก
kwek	ไปยังกรณี
kxen	ร่วมกันเพศ
ht6m	การอ้างอิงฟอร์ม
tsuf	ทรานส์ตัวเลข
hf6n	ใสสะอาด
tc6t	โดยตรงวัตถุ
gvik	ergativeกรณี
gxon	การกระจายตัวของ
ksep	ตัวรับ
vyin	หนังโรงละคร
pyos	อยู่เฉยๆเสียงพูด
hnef	จำกัดคำกริยา
xwit	ประถมวัตถุ
hqim	gnomicอารมณ์
jlak	ลักษณะทั่วไป
vrik	สุดท้ายอนุภาค
qyan	หน่วยจินตนาการ
kxaf	ความเร็วของแสง
xyic	ฟิชชิ่ง
qyit	ที่สำคัญอีกจุดหนึ่ง
hvek	evitativeกรณี
bvik	subessiveกรณี
hzes	ผีสิงกรณี
prus	คอมพิวเตอร์ไวรัส
ples	หน่วยประมวลผล
pxif	ตำรวจเจ้าหน้าที่
dvak	lativeกรณี
brun	การท่องเที่ยว
tsi_k	antessiveกรณี
tyum	รูทีเนียมอะตอม
vyak	เกี่ยวกับกริยาวิเศษณ์กรณี
pxim	สำคัญรัฐมนตรี
syum	ธาตุโลหะชนิดหนึ่งอะตอม
sy6n	ความมีพิรุธ
hy6n	มีชีวิตเพศ
pxac	ความเห็นอกเห็นใจความปิติยินดี
vlin	พาหนะเพศ
qwin	แร่เพศ
hr6s	การอ้างอิง
tf6n	หมึกพิมพ์
xris	ผู้ใช้งานอินเตอร์เฟซ
hw6n	การสาบาน
xlen	วาจาคำนาม
pyec	สเปรดชีต
vlim	เสมือนหน่วยความจำ
bres	คำหน่วยประมวลผล
hqip	เมฆการคำนวณ
vlic	เสมือนเครื่อง
pfam	สแปมเมอร์
dyap	ที่สองภาษา
txek	รากที่n-
dxen	ข้อมูลการทำเหมืองแร่
byip	ธุรกิจคน
hs6c	ตนเองความมั่นใจ
txim	หมาย
hb6t	เปลี่ยนแปลงของเหตุการณ์
hdem	โดเมนชื่อ
dxon	ต่างเหตุการณ์
lwaf	แฟลชขับรถ
sl6t	crastinalเครียด
xyik	ห้อยดิสก์
fyif	สะท้อนกลับเสียงพูด
bvin	จักรวาลเพศ
hm6p	เมนบอร์ด
tfip	เกี่ยวกับสกรรมกริยาคำกริยา
jlen	ท้องถิ่นเพศ
xrap	ลาย
tc6n	การวิจัยเพศ
sl6n	ศิลปะเพศ
xrek	ผู้ป่วยไก
xwan	นามธรรมเพศ
dxif	การประชุมทางไกลผ่านระบบวิดีโอ
dyip	ทางอ้อมการพูด
zrek	exocentricกรณี
hvuk	ความรู้สึก
xwat	อดีตเพอร์เฟ
hr6m	รีเนียม
txaf	ทริกเกอร์
hmef	ไม่มีตัวตนคำกริยา
tx6t	ข้อความบรรณาธิการ
txes	โดยรวมคำนาม
bvat	mistreating
bvuk	absolutiveกรณี
ry6t	เรเดียน
vlis	เสมือนความจริง
qren	ของดาวเคราะห์เพศ
gvak	ไวยากรณ์กรณี
bxok	หัวโล้น
mrum	คอมพิวเตอร์โครงการ
ps6t	การดำเนินงานระบบ
hfom	ฟอนิม
tlem	อ่านเท่านั้นหน่วยความจำ
pwam	สปายแวร์
kfif	แกนbenefactive
qwit	ความมีเหตุผล
nlaf	การติดตั้ง
nwok	ที่สมาคมกรณี
dzas	ขัดใจ
swuk	สุดยอดกรณี
syos	ที่สรุป
kr6n	ไฟฟ้าปัจจุบัน
dvin	ไม่มีชีวิตเพศ
pxom	propositiveอารมณ์
vris	ซึ่งกันและกันเสียงพูด
rwos	ละอองในอากาศ
dr6t	รำคาญ
ht6k	การสื่อสารโทรคมนาคม
slaf	สังคมเครือข่าย
lyuk	ต่อเนื่องประโยค
qras	ผู้บังคับบัญชา
ty6n	สถานีปลายทาง
gwet	ในไม่ช้าอนาคตเครียด
hp6s	ปรับใช้เสียงพูด
tsof	antipassiveเสียงพูด
ht6p	continuativeแง่มุม
hn6f	necessitativeอารมณ์
pfip	อยู่เฉยๆคำกริยา
glap	แถบเครื่องมือ
sy6k	อัตถิภาวนิยมประโยค
qyat	เรืองแสงความรุนแรง
hy6t	วัตถุไวยากรณ์
vyan	การออกเสียง
sluf	singulativeจำนวน
dvit	มากเกินไประยะเวลา
qyak	เดียวการกระทำคำกริยา
bzik	ฟิสิกส์
xlet	สุดยอดระดับ
hqap	นำเสนอคำกริยา
qwat	จำนวนของสสาร
qyik	เกี่ยวพันอนุภาค
sr6t	supercriticalของเหลว
hfem	epentheticหน่วยคำ
tl6t	รีโมทอนาคตเครียด
mrif	ไมโครโฟน
pcuk	postpositionalกรณี
tfim	สุ่มทางเข้าหน่วยความจำ
fwim	ethidium
ly6t	allocutionข้อตกลง
hvap	เลื่อนบาร์
hfep	frequentativeแง่มุม
bvan	เกี่ยวกับการจำหน่ายสรรพนาม
fyun	ลอยจุดจำนวน
xyas	การลบออก
hvif	กริยาต่อท้าย
xyis	อดีตอยู่เฉยๆคำกริยา
tl6n	ศูนย์กลางการประมวลผลหน่วย
tfok	เกี่ยวกับตำแหน่งทิศทางกรณี
qwan	บ่อยๆถามคำถาม
