hnit	የሌለው
qlat	ደላላ
txot	አጋማሽበልግ
hxam	milligram
pxis	ፒክስል
pwif	ቅድመ-እይታ
txam	ታንታለም
myek	thermodynamic
hbop	በሃይልመግባት
hqot	solute
xlic	ባለመንኰራኩርወምበር
gxit	የዘርማጥፋት
hvan	እሳትመዋጋት
glim	ጋልየም
pfop	ብቅታ
hzum	zirconium
xlon	መስመር
qlin	ጥተኛ
kxam	scandium
blim	beryllium
kxik	ማዋቀር
nr6n	የነርቭ
hpef	predicative
hruf	ራውተር
kxan	ብዜት
hxic	መመሪያ
xlip	መረብኳስ
dyek	አርም
hxop	መናደዳችን
qrot	በኒውትሮን
nwip	niobium
hs6t	ሽንትቤት
grem	germanium
tles	metalloid
hp6k	prolativeመያዣ
qyin	ሕይወታዊ
txak	አንቲቢኦቲክ
mlun	ሠልጥነናል
txan	actinium
xran	ጠፈርተኛ
dres	decompress
tr6t	ግዑዛን
hk6t	የባለ
hxus	ክፍትምንጭ
xlat	ወፈፌ
mraf	የማራቶን
ts6n	አጋማሽጸደይ
ht6s	ኦቲዝም
nlif	ionize
txut	notability
hm6n	አመንጪ
kxis	ቅንጥብስነጥበብ
xrin	በማግኘትላይ
xren	አቅጣጫበማስያዝ
bxak	ዕልባት
pfos	ፕሮሐረግ
hvis	ሰገራ
hd6n	ተከፋይ
brum	በቦርድ
hqis	chauvinist
hk6n	አዝጋጀ
xyit	shiftቁልፍን
xyin	አንድሰከንድ
hxun	የቻለ
hvas	ሚናዎች
glok	ጦማር
hvak	meandering
pxit	አይፒአድራሻ
hvet	ቀጥሎ
xram	safflower
hc6n	obviousness
qran	ቁርዓን
zyen	xenon
hqas	ውስጥእምላለሁ
bzas	blase
hj6n	ያልሆኑየሰው
hnof	nonremittal
txas	አውጪዎች
hbum	ቡዲዝም
ts6s	ጠብ
pxin	ንጥረነገሮች
hr6n	መጠንወሰነ
hxim	አጋማሽላይየበጋ
dxit	አጋማሽክረምት
hxaf	ቆፈረ
nlus	ለማደግ
txap	የሁኔታአሞሌ
vrit	ghostwriter
kxak	ዙሪያሞኝ:
bxin	የሰውአካል
hqik	የዝናብልብስ
hxes	ኸርዝ
hxif	hypnothize
xras	በየሰዓቱ
pl6k	የህግነክ
dxat	rashness
hxip	antibody
vrat	ቁምጣ
hqek	reshaping
qrit	polarity
pxot	ፖስታቤት
hxom	አላስፈላጊመልዕክት
hqic	ገምጋሚ
lwun	ሰማያዊየዣን
hp6n	የብስለት
dxan	በማያያዝ
xrak	ተዋናይሚና
dxak	ድንገት
hven	መያዣዎች
mwap	የቀልድድርድር
qlan	ቀለምዕውር
xros	undressing
srom	ማሳያክፍል
hc6t	መለዋወጤን
qrat	የላዩወደታች
hn6t	inhibition
hqet	ድህረገፅ
fres	fundraise
froc	ከነበረብኝ
xlak	አገናኝ
vlat	volubility
dvan	ወረድን
gxin	ድል
ryes	ሪሰፕሸኒስት
kxot	አያያዦች
xyan	delimitation
vlan	ማስታወቂያአስነጋሪ
ryom	thoriumአቶም
hluf	የዕድሜመግፋት
hquk	ወጋ
lyum	thuliumአቶም
tyem	terbiumአቶም
hp6m	praseodymium
txic	መነሻገጽ
mros	ሞተርቢስክሌተኛ
dyam	rhodiumአቶም
pc6n	የሙከራቁጥር
nyos	የገቢመልዕክትሳጥን
pyek	ፕሮጀክተር
kxon	krypton
hxuc	rescuing
qrik	ተኮርመያዣ
xwin	አላዋቂነታችሁን
kxic	ማጥፊያ
hvot	ወራጅ
dxot	ዮጉርት
hqut	ውጣ
pxen	departmental
drok	ግብቀስቅሴ
flon	ሞባይል
txos	መካከለኛድምፅ
hqok	ዘወርዋራመያዣ
xwik	በትዕግሥትመያዣ
hx6n	prehodiernal
txik	አውራጣት
hqen	ላኪ
mlap	ተንኮልአዘልዌር
hvun	suasion
hvon	ደከመ
vran	መልዕክትተያያዥሞደም
pfes	ፕሮፌሰር
pwip	ግጥምገጣሚ
hqam	ይሠራል
gxat	ህጋዊነት
ks6t	ከፔል
vrin	መልማይ
kxip	ቅንጥብሰሌዳ
sr6n	የሚቃወሙ
vlit	በግምገማ
tyup	በከተማዳርያለመንደር
mrom	morpheme
xron	የጆሮማዳመጫ
gxak	ዉድ
hrof	የትሮይፈረስ
xlas	ሽባ
dzet	redecorate
txac	አሳልፎ
xrot	ያልዋለ
txis	ነጥብማትሪክስ
syif	ሲአሃዶች
xrac	በሚገርምሁኔታ
brif	ሁለትዮሽእሴት
dlos	ሞዳልጉዳይ
txun	ባህሪያት
dvat	ይነጫነጩ
psom	የመጀመሪያውእጅ
gjek	ሌላከሆነ
nlem	የጅምላመለኪያ
qret	የችርቻሮመደብር
txip	ሦስትዮሽነጥብ
dlek	በተናጠል
lwut	ፍሰትየአሁኑ
dxis	በከፍተኛሁኔታ
hs6m	cesium
vlak	በካቦ
hn6m	netium
kxap	ካርቶን
bxan	ሲሄዱ
myem	ግንቦትወር
gxik	ሰብዓዊመብቶች
hxoc	አየርኃይል
xrok	የሥራባልደረባዬ
kr6t	ቅጽበታዊገጽእይታ
txok	በራስ-ሰር
hxep	በመንሸራተቻ
srop	ዘመናዊስልክ
pxak	የበላይቁልፍ
hk6k	የአገረሰብሙዚቃ
hl6k	eulersቁጥር
pyom	poloniumአቶም
xyam	thalliumአቶም
hvic	ወራሪ
lyok	locativeመያዣ
xlot	የተነፈሱ
txen	ትእዝዝ
kxac	አጸፋዊጥቃት
qrak	strikebreaker
hbup	መዋኛገንዳ
txuk	አጭርየወረዳ
tsef	ወደአንገቱ
bxit	የድርአስተናጋጅ
ksem	ለማንበብብቻየተፈቀደ
byim	rubidiumአቶም
hvam	vanadiumአቶም
lw6n	lanthanum
frum	fluorineአቶም
nyom	neodymium
mlom	multalቁጥር
kxas	ለግል
xret	ቴራባይት
hs6k	የመፈለጊያማሸን
frus	corroding
gxan	ጋላክሲፆታ
vlas	አወጣጥ
glet	የነዳጅመስጫፔዳሉን
hvim	የሚፈጀውንጊዜ
bxip	ከቢትማፕ
qrin	ኮከብፆታ
bvak	abessiveመያዣ
pxon	አይገኝም
dvik	adessiveመያዣ
dvek	agentiveመያዣ
hlef	ወኪልቀስቅሴ
kwek	ጉዳዩ
kxen	የጋራጾታ
ht6m	የጥቅስቅጽ
tsuf	ተደረገውንአኅዝ
hf6n	በሚያስኬድ
tc6t	ቀጥተኛነገር
gvik	ergativeመያዣ
gxon	መራቆት
ksep	receptor
vyin	ቲያትር
pyos	ተገብሮድምፅ
hnef	የተገደብንግስ
xwit	ዋናውነገር
hqim	gnomicስሜት
jlak	ከምትታየው
vrik	የመጨረሻቅንጣት
qyan	ምናባዊአሃድ
kxaf	የብርሃንንፍጥነት
xyic	ማስገር
qyit	ወሳኝነጥብ
hvek	evitativeመያዣ
bvik	subessiveመያዣ
hzes	ዕብድጉዳይ
prus	የኮምፒውተርቫይረስ
ples	አንጎለ
pxif	ፖሊስመኮን
dvak	lativeመያዣ
brun	ሥልጠናዬን
tsi_k	antessiveመያዣ
tyum	rutheniumአቶም
vyak	adverbialመያዣ
pxim	ጠቅላይሚኒስትር
syum	strontiumአቶም
sy6n	suspiciousness
hy6n	ፆታአነቃ
pxac	የሌሎችንችግርደስታ
vlin	ተሽከርካሪፆታ
qwin	የማዕድንፆታ
hr6s	ሪፈራል
tf6n	ቶነር
xris	የተጠቃሚበይነገጽ
hw6n	መሳደብ
xlen	የቃላትተውላጠስም
pyec	ሉህ
vlim	ምናባዊማህደረትውስታ
bres	ማቀናበሪያ
hqip	የደመናማስላት
vlic	ምናባዊማሽን
pfam	በሚልክበት
dyap	ሁለተኛቋንቋ
txek	ከውሂብሥር
dxen	ማዕድንማውጣት
byip	የንግድሰው
hs6c	በራስመተማመን
txim	መናገሩ
hb6t	ክስተትለውጥ
hdem	የጎራስም
dxon	የተለየክስተት
lwaf	ፍላሽአንጻፊ
sl6t	የተካረረcrastinal
xyik	ፍሎፒዲስክ
fyif	አገናዛቢድምፅ
bvin	የአጽናፈፆታ
hm6p	motherboard
tfip	ተሻጋሪግስ
jlen	አካባቢፆታ
xrap	ሽንትር
tc6n	ምርምርፆታ
sl6n	ጥበባዊጾታ
xrek	ታጋሽየሆነመንስኤ
xwan	ረቂቅጾታ
dxif	የቪዲዮኮንፍረንስ
dyip	ቀጥተኛያልሆነንግግር
zrek	exocentricመያዣ
hvuk	ይጭራል
xwat	ባለፉትperfective
hr6m	rhenium
txaf	ተቀስቅሷል
hmef	የሌለውግስ
tx6t	ጽሁፍአርታኢ
txes	የጋራስምየግሡ
bvat	መበደልን
bvuk	absolutiveመያዣ
ry6t	የራዲያን
vlis	ምናባዊእውነታ
qren	የፕላኔቶችጾታ
gvak	ሰዋሰዋዊመያዣ
bxok	በራራስ
mrum	የኮምፒውተርፕሮግራም
ps6t	የአሰራርሂደት
hfom	phoneme
tlem	ብቻማህደረትውስታያንብቡ
pwam	ስፓይዌር
kfif	ኮርbenefactive
qwit	የአስተዋይነት
nlaf	ጭነውት
nwok	associativeመያዣ
dzas	dissatisfy
swuk	ወደርየማይገኝለትጉዳይ
syos	ጠቅለል
kr6n	የኤሌክትሪክኃይል
dvin	ግዑዛንጾታ
pxom	propositiveስሜት
vris	ወንፈል,ድምፅ
rwos	aerosol
dr6t	distractor
ht6k	ቴሌኮሙኒኬሽን
slaf	ማህበራዊድር
lyuk	ተከታታይሐረግ
qras	በበላይ
ty6n	teminal
gwet	የተካረረበቅርቡወደፊት
hp6s	applicativeድምፅ
tsof	antipassiveድምፅ
ht6p	continutiveገጽታ
hn6f	necessitativeስሜት
pfip	ተገብሮቦዝአንቀጽ
glap	አሞሌ
sy6k	existentialሐረግ
qyat	ከፀሏይጫና
hy6t	ሰዋሰዋዊነገር
vyan	መጥራት
sluf	singulativeቁጥር
dvit	ከመጠንበላይቆይታ
qyak	ነጠላእርምጃግስ
bzik	ፊዚክስ
xlet	ወደርየማይገኝለትዲግሪ
hqap	በአሁኑጊዜቦዝ
qwat	ንጥረነገርመጠን
qyik	connectiveቅንጣት
sr6t	supercriticalፈሳሽ
hfem	epentheticmorpheme
tl6t	የርቀትወደፊትየተካረረ
mrif	ማይክሮፎን
pcuk	postpositionalመያዣ
tfim	የዘፈቀደመዳረሻማህደረትውስታ
fwim	ethium
ly6t	allocutiveስምምነት
hvap	ጥቅልልአሞሌ
hfep	frequentativeገጽታ
bvan	distributiveተውላጠስም
fyun	ተንሳፋፊነጥብቁጥር
xyas	የመሣሪያን
hvif	ግሥለጠፈ
xyis	ባለፉትተገብሮቦዝአንቀጽ
tl6n	ማዕከላዊፕሮሰሲንግዩኒት
tfok	locativeአቅጣጫመያዣ
qwan	ተደጋግሞየሚነሱጥያቄዎች
