hnit	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
dlik	ﺔﻴﻌﻳﺮﺸﺘﻟﺍﺔﻄﻠﺴﻟﺍ
cwic	لحسنالحظ
srun	ﺱﻮﺒﻋ
crec	تدمير
jlan	ﺶﻣﺎﻫ
kcip	ﻞﻄﺑ
blin	ﺭﺎﻴﻠﻣ
ryik	ﺔﻴﺋﺎﻴﻤﻴﻛﺓﺩﺎﻣ
mlas	ﺾﺒﻧ
flit	ﺭﺎﻴﻃ
hzet	ﺪﻘﻋ
cwik	مهيب
twet	ﺓﺭﻮﻨﺗ
mwik	ﻲﻋﻮﺒﺳﺃ
tfis	ﻲﻨﻘﺗ
tlon	ﺔﺒﻛﺮﻣ
cram	طرى
grac	ﺰﻳﺰﻌﺗ
kraf	ﺏﺍﺮﻏ
trup	ﺔﻤﺴﻟﺍ
hduk	ﺪﻴﺻﺓﺭﺎﻨﺻ
cruk	ﺮﻤﻧ
nrap	مدبرةالمنزل
crot	ﻊﻳﺮﺳﻖﻳﺮﻃ
mlip	ﺎﻴﺸﻴﻠﻴﻣ
hfoc	ﺮﻳﻮﺼﺗ
nres	ﺔﻫﺍﺰﻧ
plos	ﺪﺋﺍﺯ
tfam	ﻑﺎﻔﺷ
nlic	ﺮﺸﻋﺔﻌﺴﺗ
hwok	ﻞﻫﺄﺗ
nlen	ﻝﺎﻘﻣ
fyic	ﺓءﺎﻔﻛ
hwuk	ﺪﻳﺮﻓ
hgok	ﻱﻮﻀﻋ
flic	ﺕﻮﻫﻻ
flot	ﻮﻔﻄﺗ
hboc	تجبر
hwoc	ﺓﺮﺣﺎﺳ
syot	ﻮﻳﺩﻮﺘﺳ
cwip	ﺎﻴﻧﺎﺒﻣﺎﺷ
hbes	ﺔﻳﺍﺭ
lwic	ﻕﻼﻃ
blot	ﺔﻘﻋﺎﺻ
cwot	سبي
cwam	ﺪﻳﺭﻭ
prik	ﻝﻮﻬﺠﻤﻠﻟﻲﻨﺒﻣ
hfum	ﺓﻮﻏﺭ
grik	ﻰﺼﺣ
zrin	ﺭﺰﺌﻣ
gren	ﺐﻛﻮﻛ
hfuc	قيامة
claf	ﻑﻮﻓﺭ
flas	ﺔﺣﻭﺮﻣ
hjot	ﻲﺋﺍﻮﺘﺳﺍ
hbim	ﻲﻃﺎﺒﺘﻋﺍ
krek	ﻖﺒﺋﺯ
hbec	خير
tsaf	ﺭﺎﺤﺘﻧﺍ
pwas	ﻒﺘﻧ
plot	ﻲﻓﺎﺤﺻ
kfak	أنفق
blak	ﺔﻓﺮﺷ
hdos	ﺔﻤﺻﻭ
kwis	ﻲﻜﻴﺳﻼﻛ
kcos	ﻢﻬﺗﺍ
psen	ﺵﺎﻌﻣ
kres	ﻞﻌﻔﻟﺍ
hzon	ﺩﺮﻗ
srim	ﻊﻴﻗﻮﺗ
glin	ﺔﻌﻧﺎﻤﻣ
mlut	ﺔﻌﻤﺴﻟﺍﺔﺌﻴﺳ
myot	ﺩﺍﺮﻴﺘﺳﺍ
fwac	مؤسس
troc	ﺔﻠﻌﺷ
hgaf	ﺔﻐﻠﻟﺍﺪﻋﺍﻮﻗ
hyop	ﺖﺨﻳ
ksip	ﺽﺮﻘﻨﻣ
sres	نزهة
hnup	ﺔﺒﻗ
hzun	ﺪﻴﻨﻋ
mric	ﺔﻠﻀﻋ
gjat	ﻢﺠﺣ
hros	ﻙﺮﻓ
zrac	ﻥﺎﺒﺟ
tros	ﺺﻤﺤﻣﺰﺒﺧ
myus	ﺭﺄﻓ
dwac	ﺭﺍﻮﺣ
byak	ﺰﻋﺎﻣ
htef	ﻁﺎﻴﺧ
hfek	ﺮﻫﺩﺰﺗ
dzan	ﺽﺮﻓ
nyon	ﻝﻮﻬﺠﻣ
zrit	ﻲﻤﺳﺭﻞﻴﺠﺴﺗ
pcos	رياضات
hjec	ﺮﻬﺻ
dlas	ﻑﺬﺣ
mras	ﺔﻠﻈﻣ
mram	ﻥﺪﻌﻣ
cwut	ﺔﻧﺪﻫ
hbok	ﻂﺑ
swun	ﻥﻮﺑﺎﺻ
dwak	ﺔﻴﻣﺩ
plif	ﻼﻴﻓ
slon	ﺔﻃﺎﻴﺧ
tfut	ﺄﻨﻫ
djac	ﺢﻟﺎﺼﺗ
hjas	ﻊﻤﻗ
kric	ﺐﻧﺭﺃ
kwot	ﻞﺻﻮﻣ
gzan	ﻥﺎﻤﺿ
clot	ﺐﻋﻻ
ksek	ﺓﺮﺸﺣ
psam	ﻊﺿﻭ
mwut	ﺔﻣﻮﺑ
htem	بشكلدائم
clon	ﻥﺎﻤﻛ
dzin	ﻢﻴﻘﻣ
rwim	ﻲﻟﺍﻮﺘﻟﺍﻰﻠﻋ
hyof	مفيد
dron	ﻦﻴﻨﺗ
dwit	ﻲﻌﻤﺳﺮﻫﺎﻇ
sroc	تصدير
hzot	نهاية
djik	ﺚﻳﺮﺗ
kfik	ﻦﻴﻌﻟﺍﻦﻔﺟ
ryun	ﻢﻴﻈﻨﺗ
hmes	ﺓﺪﻤﻋ
rwac	ﺕﺍﺪﻌﻤﻟﺍ
sruk	سيرك
sros	ﺔﻴﻠﻗﺃ
bzan	ﺐﻐﺷﻝﺎﻤﻋﺍﺐﻐﺷ
kset	ﺍﺮﺘﺴﻛﺭﻭﺃ
bjon	ﺩﺪﻘﻣﺮﻳﺰﻨﺧﻢﺤﻟ
hjut	غيرمحدود
tfen	الدفاع
zwac	ﺉﻭﺎﺴﻣ
dyin	تداول
myis	ﻲﻘﻴﺳﻮﻣ
mlis	ﺎﻴﻠﻘﻋ
pret	ﻢﺋﻼﻣﺮﻴﻏ
tsek	ﻪﻳﺭﺎﻤﻌﻤﻟﺍﻪﺳﺪﻨﻬﻟﺍ
hlom	ﻥﻮﻤﻴﻟ
ksos	ﻝﺎﻌﺳ
crok	ﺱﺍﺮﻟﺍﻉﺍﺪﺻ
flin	ﺔﺑﻮﺼﺧ
mrun	ﺭﺎﺠﻨﻟﺍ
swec	ﻲﺋﺍﻮﺸﻋ
syuk	ﺔﻘﻌﻠﻣ
blun	ﺔﻧﻮﻟﺎﺑ
tcep	ﺮﻴﺷﺎﺒﻃ
fric	مرطبات
rwik	ﻱﺩﻮﻤﻋ
rwen	منع
flet	ﻲﺟﺎﺘﻨﺘﺳﺍﺮﻫﺎﻇ
pfac	ﺮﺷﺎﻨﻟﺍ
srek	ﻞﺧ
tfun	ﻖﻔﻧ
pwet	ﺰﻐﻟ
gyik	ﺕﺎﻴﺿﺎﻳﺮﻟﺍ
fwot	ﻰﺷﻼﺗ
lwin	ﻥﺯﺍﻮﺘﻣ
jwin	ﺪﺒﻛ
bwik	sublativeﺔﻟﺎﺣ
hdup	ﺲﻄﻏ
hnop	ﺭﺎﻜﺘﺣﺍ
bwic	ﺔﺻﺍﻮﻏ
ryen	ﺮﻈﻨﻟﺍﺾﻐﺑ
hcem	ﻝﺍﺰﻟﺯ
hbos	ﺮﺒﺘﺨﻣ
nrek	ﻞﻣﺎﻋ
ryim	ﻉﺎﻘﻳﺇ
nyic	ﺮﺴﻓ
dwas	ﺓﺭﺎﻔﺴﻟﺍ
rwok	ﺓﺭﺎﺛﺇ
kram	ﺰﺠﻋ
ksim	ﻲﺤﻳﺮﺼﺗﺝﺍﺰﻣ
clok	ﺔﺗﻻﻮﻛﻮﺷ
pcec	ﺎﻈﺣ
nyis	ﻚﺳﺎﻨﻟﺍ
tyoc	ﺔﻓﺪﺻ
grak	ﺵﺪﺧ
zlat	ﺯﺎﻔﻗ
hjuk	ﻊﻛﺭ
trif	ﺎﻴﻓﺍﺮﻐﺟ
djit	ﻲﺠﻬﻨﻣ
pson	لايقهر
mwis	ﺭﺎﻤﺜﺘﺳﺍ
cwec	ﻲﻈﻔﻟ
hdek	ﻲﻧﺎﻤﻠﻋ
blik	ﺮﻘﺼﻟﺍﺮﺋﺎﻃ
sloc	ﺲﻔﻨﻟﺍﻢﻠﻋ
brap	ﺓﺩﺮﺧ
jlat	ﻥﺎﺻﺮﻗ
dros	ﺔﻋﺮﺟ
slam	ﻥﻮﻤﻠﺴﻟﺍﻚﻤﺳ
pwun	ﻎﻧﺩﻮﺑ
gwik	ﺏﺍﺬﺟ
pcop	ﺔﺨﻀﻣ
myen	ﻞﺜﻤﻟﺎﺑ
ksen	ﻦﻴﺠﺴﻛﺃ
mrap	مراقبعمال
tfot	ﺓﺩﺎﻬﺷ
ksus	ﺔﻠﺘﻛ
trok	ﺔﻏﻼﺑ
tloc	ﺔﺟﺭﺪﻟﺍ
zyan	ﻑﺍﺬﺠﻣ
nlun	ﻝﻮﺧﺪﻟﺍﻞﻴﺠﺴﺗ
hlop	ﺏﻮﻜﺴﻠﺗ
jlin	ﺔﻴﺋﻼﻣﻹﺍ
lyut	غائم
hsof	ﺢﻔﺼﺗ
fyik	ﻲﻜﺴﻳﻭ
klet	ﺎﻴﺒﺴﻧ
hwof	ﻑﺎﺼﻔﺻ
hlum	ﻞﻤﺟ
myet	ﻱﻭﺎﻬﻟﺍ
klis	ﻝﺰﻋ
hbaf	ﺔﻴﺗﺍﺫﺓﺮﻴﺳ
gwac	ﺭﺎﻤﺤﻟﺍ
hwum	ﺔﻌﺋﺎﺷ
pwik	ﺭﻮﻈﻨﻣ
pron	ﺪﻳﺆﻤﻟﺍ
myes	ﺎﻳﺮﻬﺷ
mwen	فكرةخيالية
kfic	ﺔﻠﻄﻋ
klek	ﺮﻘﻧﺍ
cwon	ﻱﻮﻀﻴﺑ
lyak	ﻁﺎﻄﻣ
kwon	ﺱﻮﻣﺎﻗ
hjam	ﺮﻳﺰﻨﺧﻢﺤﻟ
rwon	ﺮﻄﻤﻟﺍﺱﻮﻗ
crip	أنشر
zwan	تحدث
srok	الافتتاحية
craf	عريف
tlok	ﻥﺍﺰﺧ
brip	ﺔﺷﺍﺮﻓ
tfap	ﺔﻄﻳﺮﺧ
jwat	ﻡﺃﻮﺘﻟﺍ
pros	التشغيل
psun	فأل
clet	بؤس
hbus	ﻥﺍﺭﺰﻴﺧ
dyas	ﺮﺟﺎﺗ
klun	ﻢﻛﺍﺮﺗ
jlit	ﻉﺎﻤﺟﻹﺎﺑ
hdom	ﺱﻮﺑﺎﻛ
kron	ﻥﻮﺑﺮﻛ
hzam	ﻰﺑﺮﻣ
cyot	ﻊﻤﺘﺴﻣ
hmem	ﻒﺤﺘﻣ
lwam	ﺔﻳﺪﺠﺑﻷﺍ
fras	ﺮﺜﻌﺒﺗ
psoc	ﺔﻤﻜﻟ
hgum	ﻎﻤﺻ
brek	ﻞﻣﺍﺮﻓ
glit	ﺭﺍﺮﻘﺘﺳﺍ
frun	ﻦﻔﻌﺗ
gris	ﻲﻧﺍﻭﺪﻌﻟﺍ
mroc	ﻙﺎﻜﺘﺣﺍ
bzit	ﺕﻮﺒﻜﻨﻋ
plut	ﺲﻃﺎﻄﺒﻟﺍ
glac	ﻊﺸﺟ
gzac	ﺏﺮﺿ
prun	ﻊﻳﺮﺳﻥﺍﺭﻭﺩ
jlet	ﻢﻳﻮﻘﺗ
nyim	ﺢﻴﺷﺮﺗ
tlos	ﻥﻮﻴﻠﻳﺮﺗ
slut	ﺔﻄﻠﺳ
fwit	ﺖﺒﺜﻣﺝﺍﺰﻣ
pyen	ﺕﺎﻘﻴﺒﻄﺘﻟﺍ
nlon	ﻲﻤﺳﻻﺍ
dren	ﺮﻫﺎﻈﺘﻟﺍ
drun	ﺎﺿﺮﻟﺍﻡﺪﻋ
cyok	ﻪﻴﻔﺘﻛﺰﻫ
hfop	ﻡﺪﻗﺓﺮﻛ
ryac	ﺔﻛﺍﺮﺷ
gzin	ﺪﺋﺍﺭ
hgip	ﺐﻧﺮﻜﻟﺍ
tyet	ﻲﺿﺎﻳﺭ
hdof	idiophone
hwup	عديمالقيمة
lwek	ﺔﻌﻓﺍﺭ
syec	ﺥﻮﻴﺸﻟﺍﺲﻠﺠﻣﻮﻀﻋ
jyak	استيعاب
mlim	ﺔﻠﻤﻧ
fwic	ﻝﺎﻌﻓﻮﺤﻧﻰﻠﻋ
gzit	ﻞﻣﺎﺣ
blas	ﺩﺎﻤﺘﻋﺍ
jrin	ﻡﻮﻳﻞﻛ
gwak	ﻞﺣﺎﻜﻟﺍ
drik	ﺐﻳﺮﻏﻞﻜﺸﺑ
prif	ﺮﻴﻐﺘﻣ
jwit	ﻉﻮﻨﺗ
krip	ﺰﻴﻴﻤﺗ
ryot	بالرعب
nwut	ﻒﻴﺻﺭ
kcif	ﻁﺎﺸﻨﺑ
jrak	ﻉﺪﻔﺿ
twek	ﻁﺮﻔﻣﺔﻟﺎﺣ
psot	كفارة
pfon	ﺞﻨﻔﺳﺇ
sluk	ﺏﺎﺠﻨﺳ
nlim	irrealisﺝﺍﺰﻣ
ksaf	نقص
glak	ﻥﺎﻛﺮﺑ
plen	ﻥﺯﺍﻮﺗ
kfaf	ﺡﺎﺷﻭ
kyon	ﻝﻼﻐﺘﺳﺍ
jlik	ﺔﻴﺟﻮﻟﻮﻴﺠﻟﺍ
psop	ﺮﻔﺴﻟﺍﺯﺍﻮﺟ
kfis	شغور
fyon	ﺏﺍﺬﺠﻧﻻﺍ
nram	ﻕﻼﺧﻻﺍﻢﻳﺪﻋ
hbuk	ﺖﻳﻮﻜﺴﺑ
gras	ﺓﻮﺸﻧ
hyos	قلق
flim	ﻢﻠﻴﻓ
plet	ﺡﻮﻟ
rwam	ﺓﺭﺬﻟﺍ
blis	ﺎﻴﻠﻴﻧﺎﻔﻟﺍ
zlit	ﺯﺪﻳﻹﺍ
fyut	ﺔﻴﺳﺎﺴﺤﻟﺍﺪﻳﺪﺷ
crim	ﻡﺮﻫ
hjif	ﻲﻋﺮﺷﺮﻴﻏ
crif	ءﺎﻴﺣ
lwap	ﺩﻮﻋ
tyon	ﻚﻠﻔﻟﺍﻢﻠﻋ
mrim	ﺔﻫﺎﺘﻣ
drut	وصفي
nrim	ﺔﻴﺳﺍﺭﺩﺔﺤﻨﻣ
kruc	ﺓﺎﻔﺤﻠﺳ
kwam	ﺭﺎﺸﺘﺴﻣ
jrik	ﺖﻴﻜﻳﺮﻛ
dlut	ﻝﺩ
pyot	ﺔﻣﺎﻤﺣ
dyon	ﻒﻴﻜﺗ
prap	ﻞﻣﺎﻋ
bzin	ﺓﺭﺎﺷ
tyek	ﺚﻠﺜﻣ
trec	ﻕﻭﺪﻨﺻﻦﻴﻣﺃ
nron	ﻦﻴﺟﻭﺭﺪﻴﻫ
pyet	ﺔﻌﺑﺎﻃ
tsok	ﻖﻨﺧ
zyin	ﻦﻣﺰﻣ
slek	ﺔﺟﺍﺭﺩ
jyin	ﺔﺳﺪﻨﻫ
ryas	ﺔﻛﺮﺣﻞﻗﺎﻧ
zrak	اعادةتنشيط
nyas	ﺔﺼﻗﺍﺭ
gric	ﺓﺮﺠﻫ
zlak	ﻙﺎﻬﺘﻧﺍ
tces	ﺲﻨﺗ
hjun	عاصف
twen	ﺞﺴﻧ
kyet	الجامع
gwit	ﻱﺮﻘﻔﻟﺍﺩﻮﻤﻌﻟﺍ
kyot	ﺮﺗﻭ
fwin	ﺩﺩﺮﺗ
tfuc	ﻝﻮﻧ
dlet	ﻞﻴﻟﺩ
pfik	ﺮﻜﻔﻣ
bjet	ﺔﻴﻧﺍﺰﻴﻣ
trek	ﺔﻴﺠﻴﺗﺍﺮﺘﺳﺇ
kros	ﺰﺗﺭﺍﻮﻛ
gjit	ﺺﻘﻣ
gwic	ﻝﻮﺤﺗ
frik	ﻱﺮﻈﻧ
tluc	ﺔﻔﺸﻨﻣ
pruc	ﺔﻳﺭﻭﺩ
glic	ﺪﻴﻠﺠﻟﺍﺮﻬﻧ
krun	كمال
bjin	ﺆﺒﻨﺗ
tlaf	ﻙﺭﺎﺷ
tfet	ﺔﻌﻨﺼﻤﻟﺍﺔﻛﺮﺸﻟﺍ
bras	ﻲﺒﻧﺎﺟ
dwik	ﻪﻴﻠﻋﻰﻋﺪﻤﻟﺍ
clec	ﻡﺩﺎﻌﻟﺍ
cres	ﺞﻧﺮﻄﺷ
tcef	ﺯﺮﻜﻟﺍ
tcom	ﺮﺜﻌﺗ
nyot	مترجم
tyok	ﺔﻨﺣﺎﺷ
cyip	تجاوز
grot	ﻝﺩﺮﺧ
bris	ﻲﻜﻠﺳﻻ
nlam	ﻲﻨﻠﻋﺩﺍﺰﻣ
slif	ﻝﺎﺑﺮﻏ
hgos	ﺃﺪﺻ
swoc	ﺮﻘﺘﺴﻣﺮﻴﻏ
jyat	مفلس
slum	ﻡﻼﺳﻹﺍ
hjes	ﺩﺍﺪﻌﺘﻟﺍ
dzat	ﻊﺑﺎﺻﻷﺍﺱﻭﺅﺭﻰﻠﻋ
slun	ﻖﻴﻠﻌﺗ
nwot	ﺔﻳﺭﺍﺮﻤﺘﺳﻻﺍ
gyic	ﺭﺎﺘﻴﻏ
pfas	ﺯﺎﻴﺤﻧﺍ
zyik	ﻚﻧﺯ
blen	ﻊﻣﻻ
hyem	ﺭﺍﺩﺭﺪﻟﺍﺐﺸﺧ
hnep	ﻢﺣﺍﺰﺗ
nyut	ﻙﻮﺒﺤﻣ
ryam	ﺮﻴﻤﺿﺔﻣﻼﻋ
clim	ﻞﺑﺎﺗ
jret	حدة
tfon	ﺶﻔﻧ
jwac	ﺎﻓﺎﺟ
hrep	ﺔﻔﺻﻭ
dyac	ﺯﺎﻴﺘﻣﺍ
myip	ﺮﺘﻣ
rwis	ﻲﻗﺮﻋ
hkem	ﺐﻧﺬﻤﻟﺍ
nwon	ﺭﺎﻜﺘﺑﺍ
zwin	ﺮﻈﺣ
dyis	ﻰﻄﺳﻮﻟﺍﻥﻭﺮﻘﻟﺍﻦﻣ
mrec	ﺭﻮﻔﺼﻋ
fyot	ﺔﻴﺷﺎﺣ
mlon	ﺱﺎﻴﻗ
pfis	تصديق
rwot	ﺭﺍﺪﻣ
hfok	ﺪﺼﺘﻘﻣ
glof	ﻒﻟﻮﺟ
zron	ﺮﻔﺻ
hzip	ﻱﺪﻳﺮﺒﻟﺍﺰﻣﺮﻟﺍ
hwom	بلامأوى
bjic	مضغ
pcim	ﻖﻴﻘﺤﺗ
hjip	ﺔﻗﺎﻗﺭ
bwac	ﺏءﺎﺜﺗ
mlos	ﺪﻠﺨﻟﺍ
mrip	ﺭﺎﺨﻔﻟﺍﺔﻋﺎﻨﺻ
bron	ﻦﻴﻨﺟ
ksoc	ﺝﺎﺘﻨﺘﺳﻻﺍ
cyum	ﺓﺮﻴﻤﺧ
jyan	ﺕﺎﺤﻠﻄﺼﻤﻟﺍ
plim	ﻕﻮﻗﺮﺑ
mwet	مقبرة
ryet	ﺝﺮﺨﺗ
glik	ﻱﺭ
plap	ﻲﻟﺎﻤﺳﺃﺭ
tsif	ﺔﻧﻭﺮﻣ
gyak	ﺵﺮﻘﻟﺍﻚﻤﺳ
djon	ﻲﺿﺍﺮﺘﻓﻻﺍ
nwun	دقيق
cles	ﺔﻴﻌﻗﺍﻮﻟﺍ
dris	ﺪﻳﺍﺰﺘﻣﻮﺤﻧﻰﻠﻋ
hkef	ﻰﻬﻘﻣ
blus	ﻑﺎﻌﺳﺍﻩﺭﺎﻴﺳ
blap	ﺐﻴﺟﺔﻈﻔﺤﻣ
bjak	شاطح
klim	ﺮﺸﻛ
gyac	ﻢﻟﺎﻋ
jyit	ﺵﺄﺟﺔﻃﺎﺑﺭ
dzit	ﻲﻌﻗﺍﻭ
bwak	ﻖﻠﻄﻟﺍءﺍﻮﻬﻟﺍﻲﻓ
dyot	ﻮﻳﺩﺍﺭ
bwon	ﺎﻴﻟﻮﺻﺎﻓ
fris	ﻲﻤﺳﺭﺮﻴﻏ
klut	ﻞﻣﺄﺗ
tfek	ﻢﺤﻟﺔﺤﻳﺮﺷ
nrok	ﻦﻴﺟﻭﺮﺘﻧ
zyat	ﺔﻗﻼﺤﻟﺍﺱﻮﻣ
bram	ﻢﺘﻤﺗ
ryis	استهلالي
nlip	ﻞﻴﻠﺤﺗ
nros	ﺔﻀﻗﺎﻨﺘﻤﻟﺍ
hcof	ﻪﺴﺑﻼﻣﻊﻠﺧ
tfif	ﺰﻓﺎﺣ
kroc	ﻢﻠﺛ
hdum	ﺔﻳﺩﻮﻬﻳ
pses	مستلم
plok	ﺔﻠﻤﻜﺗ
lyet	ﺔﺳﺪﻋ
pwek	pegativeﺔﻟﺎﺣ
kfas	ﻥﺎﻃﺮﺳ
pwen	ﻦﻫﺭ
nrun	تذكير
clek	ﺏﺮﺴﺗ
pcif	تبرئة
glas	ﺪﻴﻘﻌﺗ
zwit	ﻡﻼﻜﻟﺍﺮﻴﺜﻛ
kces	كفاية
crem	ﺔﺋﺰﺠﺘﻟﺍ
grap	ﻉﺍﺰﺘﻧﺍ
kwip	ﻞﺧﺪﺗ
dyut	ﺮﻌﺴﻟﺍﺾﻴﻔﺨﺗ
crus	ﻲﻣﺮﻬﻟﺍﻞﺴﻠﺴﺘﻟﺍ
gyet	ﻢﺸﻳ
gram	ﻚﺑﺎﺸﺗ
kyip	ﺔﻴﻠﺤﺳ
nyet	ﺓﺩﺎﺳﻭ
crop	ﻝﻼﺷ
glon	ﻥﻮﻟﺎﻏ
mrok	ﺽﻮﻌﺑ
fluc	بطلاقة
dwic	ﻑﺍﺮﺤﻧﻻﺍ
slec	مستكشف
srec	تنتهي
blut	ﻉﺭﺎﺼﺗ
myok	ءﺎﺴﻔﻴﺴﻓ
tlek	ﺲﺑﺎﻗ
nruk	ﺪﻌﻣ
nwoc	منالآنفصاعدا
bjut	ﺾﺑﺭ
hges	ﻞﻤﺣ
twoc	ﺔﻟﺎﻘﺑ
kyos	ﻲﻋﻮﻴﺷ
mrek	ﺶﻫﺪﺗ
clip	ندم
pwok	ﺔﻴﺋﺎﻀﻘﻟﺍﺔﻘﺣﻼﻤﻟﺍﺔﻟﺎﺣ
dwot	ﺭﻮﺗﺎﺘﻛﺩ
zyac	ﻙﺎﻤﻬﻧﺍ
jlic	ﺔﻴﻋﺎﻨﺼﻟﺍﺭﺎﻤﻗﻷﺍ
slop	ﻝﺎﻌﻨﻟﺍ
ryip	ﺐﺳﺎﻨﺘﻣ
psim	ﻲﺒﻳﺮﻘﺗ
byet	ﻞﻤﻌﻟﺍﻦﻋﻦﻴﻠﻃﺎﻋ
cyop	ﺔﻳﺍﻮﻫ
rwun	ﺭﺎﻴﻌﻣ
blop	ﺡﺎﺒﺼﻣ
syok	ﺪﻳﺆﻣ
klos	ﺭﻮﻠﻜﻟﺍ
lwot	ﺪﻳﺭﻮﻠﻛ
byic	ﺎﻳﺮﻴﺘﻜﺑ
lyik	ﺝﺰﻟ
blok	ﻲﺟﻮﻟﻮﻴﺑ
jlac	ﻖﻠﺘﺧﺍ
bret	ﺖﻳﺎﺑ
krif	ﺯﺍﺮﻓﺇ
blet	ﻪﻴﻟﺎﺒﻟﺍﺺﻗﺭ
nruc	ﻝﻮﺑ
tsus	ﻡﻮﺛ
dyak	ﺔﻄﺳﻮﺘﻤﻟﺍﺔﻘﺒﻄﻟﺍ
tcem	ﻂﻘﻠﻣ
cyoc	ﻱﺪﺤﺘﻟﺍ
trep	ﺔﻟﻭﺍﺮﻔﻟﺍ
dlun	ﺙﻮﻠﺗ
hlup	ﻡﻮﺒﻟﺃ
hbep	ﻝﻮﺒﺴﻴﺒﻟﺍ
praf	ﺔﻨﺻﺮﻗ
pwis	ﻞﻋﺎﻔﻟﺍﻢﺳﺇ
grek	ﺝﺍﺮﻛ
kruk	ﺯﺎﻜﻋ
hfof	ﺭﻮﻔﺳﻮﻔﻟﺍ
rwut	ﻱﻮﻴﻨﺑ
myam	ﻡﻮﻳﺯﺎﻨﻤﺠﻟﺍ
krec	ﻉﺎﻓﺮﻣ
jras	مقاول
zrik	أبلغ
blam	قاعةرقص
klip	ﻦﻴﻴﻓﺮﺤﻟﺍ
hwef	غيرمدفوع
zlac	ﺯﻮﻣ
gret	مولدكهرباء
lwuk	ﻊﻠﺿ
nyek	ﻞﻜﻴﻨﻟﺍ
blos	ﺔﻠﻓﺎﺣ
sles	ﺐﻴﻗﺮﻟﺍ
tlif	ﺓﺪﻴﻣﺮﻗ
kses	ﻖﺠﺳ
mwot	ﺓﺭﻭﺪﻨﺑ
lyot	السيارات
tsom	ﻡﻮﻴﺳﺎﺗﻮﺑ
brut	ﺔﻴﺿﺍﺮﺘﻓﺍ
djap	ﺮﺒﺠﻟﺍﻢﻠﻋ
hjok	ﻡﺎﻋ
kfen	المفاهيم
pcok	ﻱﺮﺼﺑ
bzut	ﺡﺰﺣﺰﺗ
syek	ﺔﻟﺎﻄﺑ
mruc	ﺔﻗﺮﻳ
bwas	ﺢﻔﺼﺘﻤﻟﺍ
klif	ﻡﻮﻴﺴﻠﻜﻟﺍ
rwet	ﺪﻌﺑﻦﻋﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
srif	ﻲﺨﻳﺭﺎﺗﺮﺗﻮﺗ
hwem	ﻒﻴﻃ
syom	ﻡﻮﻳﺩﻮﺻ
tyos	ﻢﻴﻗ
jyic	ﺔﻨﻴﻫﺭ
hguk	ﺕﺎﺒﻧﻉﺮﻗ
dwun	ﺪﻌﺠﺗ
swip	ﺭﺎﻤﺴﻣ
tlec	ﺔﻣﻼﻋ
blaf	ﺏﺎﺼﺘﻏﺍ
tsem	ﺩﺎﺤﻟﻹﺍ
mloc	ﻪﺷﺎﺷ
gyot	ﻲﻃﺮﺷ
trop	ﺭﺎﺒﺴﻣ
rwap	ربعسنوي
hjep	ﺲﻨﺟ
pyim	ﻦﻴﺗﻼﺑ
dlon	ﻲﺋﺎﻨﺛﺩﺪﻋ
pcep	ﺔﺋﺭ
twuk	تجوب
tyec	ﺔﻗﺎﻄﺑ
syup	ﻖﺋﺎﻓ
trom	ﺔﺑﺮﻋ
nyip	ﺎﻴﻠﺤﻣ
glis	ﻦﻴﻟﻭﺯﺎﻐﻟﺍ
gjik	ﻰﻠﻜﻟﺍ
hjos	غيرالمراقب
hjuc	ﺐﻬﻧ
swek	منهك
psek	ﺦﻴﻧﺭﺯ
twok	ﻲﺋﺎﺼﺣﺇ
tsep	ﺏﺪﻨﺟ
slos	ﻲﻛﺍﺮﺘﺷﻻﺍ
nwim	ﻲﺴﺣﺮﻫﺎﻇﺝﺍﺰﻣ
tlop	غطاءطاولة
trus	ﻝﺪﺠﻠﻟﺓﺮﻴﺜﻣ
pwot	ﺩﻮﻘﻣ
djot	ﺐﺳﺍﻭﺭ
nloc	ﺲﻄﻓﺃ
mwon	ﻲﻔﺳﻮﻴﻟﺍ
hjek	ﺲﺋﺎﺳ
crom	ﻥﻭﺎﻌﺗ
myon	ﻱﻮﺋﺮﻟﺍﺏﺎﻬﺘﻟﻻﺍ
twec	ﺎﻌﻗﻮﻣﻦﻴﻋ
ryek	ﺥﻭﺭﺎﺻ
dlic	ﺡﺎﺑﺭﺍﺕﺎﻌﻳﺯﻮﺗ
kwet	ﺞﻟﺰﺗ
bwen	ﺱﻮﻫ
plon	ﺺﻴﺼﺨﺗ
syon	لهاث
djis	ﻲﻤﻗﺭ
byut	ﺔﺒﻠﻜﻟﺍ
hyep	ﻦﻔﺟ
dwon	ﻱﺮﻄﻗ
byis	ﻲﻋﻮﻟﺍﻥﻭﺩ
brec	ﻦﻴﻌﻟﺍﺐﺟﺎﺣ
cyec	ﺲﻄﻋ
hwop	واط
clus	ﺡﺮﻣ
kfun	الإشغال
nwum	ﺔﻴﺳﻭﺪﻨﻬﻟﺍ
fyim	ﺊﺟﻻ
cwos	ﻙﻮﻜﻣ
tfoc	طعنة
pwon	ﻦﻴﺗﻭﺮﺑ
sraf	راضالنفس
hbom	ءﻲﻗ
gyen	ﻦﻴﺟ
