hnit	απαρέμφατο
ryes	ρεσεψιονίστ
kxot	υποδοχές
xyan	οροθεσία
vlan	διαφημιστής
ryom	θόριοάτομο
hluf	παλιάεποχή
hquk	κάνωένεση
lyum	θούλιοάτομο
tyem	τέρβιοάτομο
hp6m	πρασεοδύμιο
txic	σπίτισελίδα
mros	αυτοκινητιστής
dyam	ρόδιοάτομο
pc6n	δίκηαριθμός
nyos	inbox
pyek	προβολέας
kxon	κρυπτόν
hxuc	διάσωση
qrik	κεντρικόςπερίπτωση
xwin	απειρία
kxic	πυροσβεστήρας
hvot	διάγραμμαροής
dxot	γιαούρτι
hqut	κούτσουροέξω
pxen	τμήματος
drok	στόχοςσκανδάλη
flon	κινητότηλέφωνο
txos	μέσοφωνή
hqok	λοξόςπερίπτωση
xwik	ασθενήςπερίπτωση
hx6n	προhodiernal
txik	δείκτης
hqen	αποστολέας
mlap	κακόβουλολογισμικό
hvun	καταπίεση
hvon	φθορά-out
vran	μεταφορέαςμηνυμάτων
pfes	καθηγητής
pwip	ποιητής
hqam	προπόνηση
gxat	νομιμότητα
ks6t	αιτιολογικός
vrin	στρατολογών
kxip	συνδετήραςεπιτροπή
sr6n	αποδοκιμάζοντας
vlit	αξιολογικές
tyup	προάστιο
mrom	μόρφημα
xron	ακουστικών
gxak	δαπανηρός
hrof	γενναίοκαιφιλεργόάτομοάλογο
xlas	παράλυτος
dzet	ανακαινίζω
txac	υποταγή
xrot	αχρησιμοποίητος
txis	τελείαμήτρα
syif	σιμονάδες
xrac	απροσδόκητα
brif	δυαδικήτιμή
dlos	τροπικόςπερίπτωση
txun	γνωρίσματα
dvat	ευέξαπτο
psom	απόπροσωπικήπείρα
gjek	else-if
nlem	ανάμονάδαμάζας
qret	λιανεμποριοκατάστημα
txip	τριπλόσημείο
dlek	μεμονωμένα
lwut	ροήρεύματος
dxis	δραματικά
hs6m	καίσιο
vlak	αυτοκινηταμαξών
hn6m	Nerium
kxap	χαρτόνι
bxan	πουαναχωρούν
myem	μήναςΜάιος
gxik	πολιτικάδικαιώματα
hxoc	πολεμικήαεροπορία
xrok	συνεργάτης
kr6t	screenshot
txok	αυτομάτως
hxep	skateboard
srop	smartphone
pxak	καλύμματακλειδαριά
hk6k	παραδοσιακήμουσική
hl6k	euler'sαριθμός
pyom	πολώνιοάτομο
xyam	θάλλιοάτομο
hvic	εισβολή
lyok	τοπικήπτώσηπερίπτωση
xlot	διαμερίσματα
txen	επαναδιατύπωση
kxac	αντεπίθεση
qrak	απεργοσπάστης
hbup	πισίνα
txuk	βραχυκύκλωμα
tsef	κωνικό
bxit	ιστόςπλήθος
ksem	διαβάζωμόνο
byim	ρουβίνιοάτομο
hvam	βανάδιοάτομο
lw6n	λανθάνιο
frum	φθόριοάτομο
nyom	νεοδύμιο
mlom	multalαριθμός
kxas	καθιστώπροσωπικόν
xret	terabyte
hs6k	έρευνακινητήρας
frus	διαβρώνεται
gxan	γαλαξίαςγένος
vlas	φωνές
glet	γκάζι
hvim	runtime
bxip	bitmap
qrin	αστέριγένος
bvak	abessiveπερίπτωση
pxon	δυσεύρετος
dvik	adessiveπερίπτωση
dvek	agentiveπερίπτωση
hlef	μέσοσκανδάλη
kwek	ναπερίπτωση
kxen	κοινόςγένος
ht6m	παραπομπήμορφή
tsuf	transαριθμός
hf6n	γιατηνεπιβολήπροστίμων
tc6t	απευθείαςαντικείμενο
gvik	ergativeπερίπτωση
gxon	θρυμματισμός
ksep	αισθητήριονεύρο
vyin	κινηματογράφος
pyos	παθητικόςφωνή
hnef	πεπερασμένοςρήμα
xwit	πρωταρχικόςαντικείμενο
hqim	gnomicδιάθεση
jlak	γενίκευση
vrik	τελικόςσωματίδιο
qyan	φανταστικήμονάδα
kxaf	ταχύτητατουφωτός
xyic	phishing
qyit	κρίσιμοσημείο
hvek	evitativeπερίπτωση
bvik	subessiveπερίπτωση
hzes	κατεχόμενοςπερίπτωση
prus	υπολογιστή-virus
ples	επεξεργαστή
pxif	αστυνομίααξιωματικός
dvak	τικήπερίπτωση
brun	τουριστικός
tsi_k	antessiveπερίπτωση
tyum	ρουθήνιοάτομο
vyak	επιρρηματικόςπερίπτωση
pxim	πρωθυπουργός
syum	στρόντιοάτομο
sy6n	καχυποψία
hy6n	έμψυχοςγένος
pxac	κατανόησηχαρά
vlin	όχημαγένος
qwin	ορυκτόγένος
hr6s	παραπομπή
tf6n	τονίζων
xris	μεταχειριζόμενοςδιεπαφή
hw6n	ορκωμοσία
xlen	προφορικόςουσιαστικό
pyec	υπολογιστικόφύλλο
vlim	πραγματικόςμνήμη
bres	λέξηεπεξεργαστή
hqip	σύννεφοχρήσηυπολογιστή
vlic	πραγματικόςμηχανή
pfam	spammer
dyap	δεύτεροςγλώσσα
txek	νύοστηρίζα
dxen	δεδομέναεξόρυξη
byip	επιχείρησηπρόσωπο
hs6c	εαυτόςεμπιστοσύνη
txim	αναφερόμενος
hb6t	αλλαγήτουσυμβάν
hdem	πεδίοορισμούόνομα
dxon	διαφορετικόςσυμβάν
lwaf	λάμψηοδηγώ
sl6t	crastinalσευπερένταση
xyik	ετοιμόρροποςδίσκος
fyif	αυτοπαθήςφωνή
bvin	σύμπανγένος
hm6p	μητρικήπλακέτα
tfip	μεταβατικόςρήμα
jlen	τοποθεσίαγένος
xrap	ριγέ
tc6n	έρευναγένος
sl6n	καλλιτεχνικόςγένος
xrek	ασθενήςσκανδάλη
xwan	περίληψηγένος
dxif	τηλεδιάσκεψη
dyip	έμμεσοςομιλία
zrek	exocentricπερίπτωση
hvuk	προκαλώντας
xwat	τοπαρελθόντελειοποιητικός
hr6m	ρήνιο
txaf	ενεργοποιείται
hmef	απρόσωποςρήμα
tx6t	κείμενοσυντάκτης
txes	συλλογικόςουσιαστικό
bvat	κακομεταχείριση
bvuk	absolutiveπερίπτωση
ry6t	ακτίνιο
vlis	πραγματικόςπραγματικότητα
qren	πλανητικόςγένος
gvak	γραμματικέςπερίπτωση
bxok	φαλακρός
mrum	ηλεκτρονικόςυπολογιστήςπρόγραμμα
ps6t	λειτουργικόςσύστημα
hfom	φωνήμα
tlem	διαβάζωμόνομνήμη
pwam	spyware
kfif	πυρήναςbenefactive
qwit	λογική
nlaf	Εγκατάσταση
nwok	συνειρμικήπερίπτωση
dzas	δυσαρεστώ
swuk	υπερθετικόςπερίπτωση
syos	συνοψίζοντας
kr6n	ηλεκτρικόςρεύμα
dvin	άψυχοςγένος
pxom	propositiveδιάθεση
vris	αμοιβαίοςφωνή
rwos	αεροζόλ
dr6t	ΌργανοΚράτησης
ht6k	τηλεπικοινωνία
slaf	κοινωνικόςδικτύωσης
lyuk	διαδοχικόςρήτρα
qras	ανωτέρους
ty6n	τερματικό
gwet	σύντομαμελλοντικόςσευπερένταση
hp6s	applicativeφωνή
tsof	antipassiveφωνή
ht6p	continuativeάποψη
hn6f	necessitativeδιάθεση
pfip	παθητικόςμετοχή
glap	γραμμήεργαλείων
sy6k	υπαρξιακόςρήτρα
qyat	φωτεινόςένταση
hy6t	γραμματικές-αντικείμενο
vyan	προφέροντας
sluf	singulativeαριθμός
dvit	υπερβολικόδιάρκεια
qyak	μονόκλινοδράσηρήμα
bzik	φυσική
xlet	υπερθετικόςβαθμός
hqap	παρόνμετοχή
qwat	ποσότουουσία
qyik	συνδετικόςσωματίδιο
sr6t	υπερκρίσιμορευστό
hfem	epentheticμόρφημα
tl6t	μακρινόςμελλοντικόςσευπερένταση
mrif	μικρόφωνο
pcuk	postpositionalπερίπτωση
tfim	τυχαίοςπρόσβασημνήμη
fwim	αιθιδίου
ly6t	Ομιλίασυμφωνία
hvap	πάπυροςμπαρ
hfep	frequentativeάποψη
bvan	διανεμητικέςαντωνυμία
fyun	floating-point-αριθμός
xyas	διαγραφή
hvif	ρήμα-κατάληξη
xyis	τοπαρελθόνπαθητικόςμετοχή
tl6n	κεντρικόςεπεξεργασίαμονάδα
tfok	τοπικήπτώσηκατευθυντήριοςπερίπτωση
qwan	συχνάερωτηθείςερωτήσεις
